ou_mean,ou_std,ITP4_r,ITP4_cv
0.0077777777777777,0.0466666666666666,17.500597371565114,0.8320618624437501
-0.0233333333333333,0.0311111111111111,2.8805256869773,0.772991202213605
0.0077777777777777,0.0622222222222222,19.721624850657108,0.8394523501705515
0.0233333333333333,0.0544444444444444,17.937873357228195,0.9707112066460727
0.0077777777777777,0.0544444444444444,18.8673835125448,0.8440533505699368
0.0077777777777777,0.0077777777777777,2.3166069295101552,0.4278062229852512
-0.07,0.07,5.339307048984469,0.7713927510943196
-0.07,0.0077777777777777,0.0,
0.0544444444444444,0.07,13.010752688172044,1.1690452237624895
-0.0077777777777777,0.0077777777777777,0.0,
0.0544444444444444,0.0622222222222222,9.416965352449223,1.1969037452053262
0.0388888888888888,0.0466666666666666,9.264038231780168,1.0905426059220364
0.0388888888888888,0.07,17.893667861409796,1.081153369658772
0.0388888888888888,0.0233333333333333,0.9032258064516129,0.5330550433061593
-0.0544444444444444,0.07,8.025089605734767,0.7739135354957521
-0.07,0.0311111111111111,0.013142174432497013,
-0.07,0.0,0.0,
-0.0388888888888888,0.0,0.0,
0.0388888888888888,0.0,36.0,0.005432702349681065
-0.0233333333333333,0.0622222222222222,13.41816009557945,0.7842640185607459
-0.07,0.0155555555555555,0.0,
-0.0077777777777777,0.07,18.698924731182796,0.7706268910049376
0.0233333333333333,0.0311111111111111,9.133811230585424,0.8176190682132665
-0.0388888888888888,0.0233333333333333,0.04898446833930705,
-0.0233333333333333,0.0077777777777777,0.0,
0.07,0.0,0.0,
-0.0077777777777777,0.0,0.0,
0.0544444444444444,0.0233333333333333,0.06451612903225806,0.29163315071836593
-0.07,0.0544444444444444,1.991636798088411,0.7519471970517049
0.0544444444444444,0.0,0.0,
-0.0233333333333333,0.0388888888888888,5.7729988052568695,0.758182156858475
0.0233333333333333,0.0622222222222222,19.685782556750297,0.9522852468178881
0.0388888888888888,0.0155555555555555,0.8136200716845878,0.36466719818778465
-0.0544444444444444,0.0233333333333333,0.0047789725209080045,
0.0077777777777777,0.0311111111111111,13.166069295101552,0.7771511502313949
0.07,0.0155555555555555,0.0,
-0.0388888888888888,0.0466666666666666,4.6009557945041815,0.769428258048913
-0.0233333333333333,0.0233333333333333,0.6666666666666666,1.071543791749915
-0.0388888888888888,0.0155555555555555,0.0,
-0.0388888888888888,0.0544444444444444,7.044205495818399,0.7689954694477519
-0.0388888888888888,0.0311111111111111,0.7120669056152927,
0.07,0.0544444444444444,2.793309438470729,1.1250715352976133
0.0077777777777777,0.07,20.73237753882915,0.8137374609801382
0.07,0.0466666666666666,1.2114695340501793,0.7880801802112465
0.0544444444444444,0.0388888888888888,1.3823178016726403,0.8307412963112066
0.0077777777777777,0.0155555555555555,8.149342891278375,0.6533639335136686
0.0388888888888888,0.0311111111111111,2.4551971326164876,0.7386380240374895
-0.0544444444444444,0.0311111111111111,0.10513739545997611,
0.07,0.0233333333333333,0.0011947431302270011,
0.07,0.0077777777777777,0.0,
0.0544444444444444,0.0544444444444444,6.009557945041816,1.1660886917310265
-0.0544444444444444,0.0388888888888888,0.7598566308243727,0.6608714721605187
0.0233333333333333,0.07,20.751493428912784,0.9284200550216914
0.0233333333333333,0.0077777777777777,20.185185185185187,0.4225974189768711
-0.0388888888888888,0.0077777777777777,0.0,
-0.0388888888888888,0.0622222222222222,9.353643966547192,0.7809685202894278
-0.0233333333333333,0.0466666666666666,8.634408602150538,0.7763791849344184
-0.0077777777777777,0.0233333333333333,4.192353643966547,0.7485735839619282
0.0388888888888888,0.0077777777777777,9.863799283154123,0.3725108348847551
-0.07,0.0622222222222222,3.5675029868578254,0.7565451478210222
0.0388888888888888,0.0622222222222222,15.37037037037037,1.1157377121134033
-0.0077777777777777,0.0388888888888888,11.375149342891278,0.7899551043429971
-0.0544444444444444,0.0544444444444444,3.939068100358423,0.7595779377381269
0.0388888888888888,0.0388888888888888,5.819593787335723,0.9608002884875886
0.0544444444444444,0.0077777777777777,0.0,
0.0077777777777777,0.0233333333333333,11.497013142174433,0.7562907259543817
-0.07,0.0388888888888888,0.17801672640382318,
-0.0077777777777777,0.0466666666666666,13.720430107526882,0.7876986090547187
-0.07,0.0233333333333333,0.0,
0.0233333333333333,0.0466666666666666,15.922341696535245,0.9640020858243165
0.0233333333333333,0.0155555555555555,9.393070489844684,0.6171955847282784
-0.0544444444444444,0.0077777777777777,0.0,
-0.0544444444444444,0.0622222222222222,6.010752688172043,0.7679132355286536
-0.0077777777777777,0.0544444444444444,15.872162485065711,0.7870410728719794
0.0233333333333333,0.0233333333333333,5.672640382317802,0.6759905071223703
0.0077777777777777,0.0388888888888888,15.302270011947432,0.8092696844863283
0.07,0.0622222222222222,5.027479091995221,1.2031789633982297
0.0077777777777777,0.0,0.0,
0.07,0.0311111111111111,0.06929510155316607,1.3195541334523273
0.07,0.07,8.066905615292711,1.2173545420441432
-0.0233333333333333,0.0544444444444444,11.164874551971327,0.7800189991411695
0.0233333333333333,0.0,18.0,0.0007174258718505108
0.0233333333333333,0.0388888888888888,12.850657108721625,0.9136686393788724
-0.0077777777777777,0.0155555555555555,0.7479091995221028,0.5784380079538094
-0.0233333333333333,0.0,0.0,
0.0544444444444444,0.0311111111111111,0.36678614097968937,0.5656601929024807
-0.0388888888888888,0.07,11.455197132616487,0.7836590119282578
-0.0233333333333333,0.07,15.15173237753883,0.7801733955913918
-0.07,0.0466666666666666,0.8267622461170848,0.6422612688510079
-0.0077777777777777,0.0622222222222222,17.351254480286737,0.7822494945423106
0.0544444444444444,0.0155555555555555,0.0047789725209080045,
-0.0233333333333333,0.0155555555555555,0.015531660692951015,
-0.0544444444444444,0.0,0.0,
-0.0544444444444444,0.0155555555555555,0.0,
0.0388888888888888,0.0544444444444444,12.505376344086022,1.1057400017431482
-0.0544444444444444,0.0466666666666666,2.112305854241338,0.7582708632451044
-0.0388888888888888,0.0388888888888888,2.336917562724014,0.7352772478566496
-0.0077777777777777,0.0311111111111111,7.994026284348865,0.7589400457786278
0.0544444444444444,0.0466666666666666,3.3978494623655915,1.0789635247683853
0.07,0.0388888888888888,0.31780167264038234,0.6869423099846431
