ou_mean,ou_std,IT2_r,IT2_cv,IT3_r,IT3_cv,ITP4_r,ITP4_cv,IT5A_r,IT5A_cv,IT5B_r,IT5B_cv,CT5B_r,CT5B_cv,PT5B_r,PT5B_cv,IT6_r,IT6_cv,CT6_r,CT6_cv
0.0373684210526315,0.0052631578947368,45.39349112426036,0.21039613275863767,37.27460210715086,0.209288840496143,31.475507765830347,0.34122334785782793,35.33983286908078,0.1648638931455736,32.90021231422505,0.1608318840127375,18.208067940552016,0.17560708922958818,28.927813163481954,0.25097783159323706,34.39841427155599,0.1621460080476886,15.163528245787909,0.17826123258956075
0.04,0.0168421052631578,31.10355029585799,1.146180204610392,12.465590674736607,0.8547049263820495,0.1816009557945042,0.38769121300254467,10.139275766016713,0.41313255419054956,0.881104033970276,0.39079822042838114,0.0,,33.93630573248408,0.5564470760750363,0.0,,0.0,
0.0373684210526315,0.0031578947368421,45.32544378698225,0.12614552980298416,36.98453261600538,0.125738090849686,37.83393070489845,0.28743837091130936,34.91643454038997,0.09705890922120128,32.789808917197455,0.09427556549216504,22.940552016985137,0.09975507024815462,28.76008492569002,0.1518459398010129,34.325074331020815,0.0953335594873335,21.89494549058474,0.09822473935351196
0.0189473684210526,0.0168421052631578,23.050295857988164,0.6145775094998808,17.98139430620937,0.5937482795554552,11.732377538829152,0.6601149349468381,14.236768802228413,0.5701441732238903,2.7048832271762207,0.5997067189409696,0.04670912951167728,0.5017380781534133,11.668789808917197,0.6666054546147108,1.8681863230921705,0.5788103083881336,0.023785926660059464,0.4355529114216147
0.04,0.0010526315789473,49.38461538461539,0.04103304353774145,40.49988791750729,0.04183500605613645,37.55436081242533,0.04548331532735713,37.52646239554318,0.031982275898328506,35.010615711252655,0.031087763739540013,13.023354564755838,0.033023800150602974,32.8343949044586,0.04940635625647189,36.781962338949455,0.03169900240607294,12.154608523290387,0.03235679175380332
0.04,0.0073684210526315,30.914201183431953,0.2892462024626809,36.53777180004483,0.28655345148221195,8.579450418160096,0.3667499671614092,44.96378830083565,0.228600046256983,21.18471337579618,0.2393089450799555,0.43736730360934184,0.3000853409215387,33.36942675159236,0.3241463757870147,23.46778989098117,0.24268688963317825,0.5183349851337958,0.2750139007979039
0.0373684210526315,0.0126315789473684,37.905325443786985,0.7368929387330687,19.318314279309572,0.4900363235357379,1.7013142174432496,0.36996103002430036,35.42618384401114,0.34883290769277786,0.6942675159235668,0.3373838080321067,0.0,,30.84288747346072,0.4990389368616701,0.06541129831516353,0.41283282078186206,0.0,
0.0163157894736842,0.0168421052631578,20.079881656804734,0.6253897000078962,15.48912799820668,0.6062173980594875,12.443249701314217,0.6790666569051149,13.623955431754874,0.5939677646042765,4.250530785562633,0.5788295709457545,0.14437367303609341,0.5263103956330015,9.199575371549894,0.6654203673033522,3.285431119920714,0.5772744439245387,0.08721506442021804,0.4599048540138539
0.021578947368421,0.0021052631578947,21.964497041420117,0.11025531718894253,16.87962340282448,0.10688108151495682,15.956989247311828,0.09556352885615169,19.47632311977716,0.07563045238163386,18.07430997876858,0.0728247844532837,12.152866242038217,0.1162671347633694,0.11040339702760085,,19.426164519326065,0.07020634140210258,12.10802775024777,0.11732902976064083
0.0294736842105263,0.0136842105263157,35.14497041420118,0.5238594138199709,28.02779645819323,0.5060220784423884,8.9557945041816,0.4539262269862955,26.008356545961004,0.4224057231747492,1.8577494692144374,0.4546819320015336,0.0,,20.957537154989385,0.5714106632880019,1.0911793855302279,0.4773694339471382,0.0,
0.0163157894736842,0.0084210526315789,15.372781065088757,0.43526303092070123,11.282223716655459,0.42756350703961665,11.347670250896057,0.4225783467666011,14.462395543175488,0.3481110187383978,13.286624203821656,0.33424064125279485,7.437367303609342,0.43523944297315165,2.5774946921443735,0.5277615037729184,14.57185332011893,0.32234299078214984,7.4043607532210105,0.4198372481982247
0.04,0.0147368421052631,29.79585798816568,1.1629851150490311,8.282672046626317,0.661807910732494,0.2986857825567503,0.38063040270030624,21.802228412256266,0.3690847766629907,0.9808917197452229,0.36164365196203097,0.0,,34.26539278131635,0.5226343619195285,0.0,,0.0,
0.0110526315789473,0.011578947368421,10.994082840236686,0.5599003282483602,7.591795561533289,0.5303915805379145,7.836320191158901,0.5510273410642827,10.654596100278551,0.48768085005532424,9.157112526539278,0.4761030071799567,4.006369426751593,0.5015732351809492,1.9363057324840764,0.5639516094025031,10.203171456888008,0.46145708725229395,4.009910802775025,0.49141137465838014
0.0084210526315789,0.0010526315789473,0.0,,0.0,,0.0,,0.03064066852367688,,0.0,,0.0,,0.0,,0.7651139742319127,,0.0,
0.0268421052631578,0.02,31.36390532544379,0.6314062824037895,25.307554360008968,0.6175017534088013,3.3130227001194745,0.5942588706596965,4.18941504178273,0.5535804801751594,0.4309978768577495,0.5310785317764558,0.0,,21.101910828025478,0.6764606190327453,0.002973240832507433,,0.0,
0.0321052631578947,0.0126315789473684,38.485207100591715,0.509419278100248,30.066577000672496,0.47778346643917297,6.994026284348865,0.4193455069470538,30.821727019498606,0.3923371741669467,1.821656050955414,0.444321011330057,0.0,,23.796178343949045,0.530866597755952,1.2646184340931614,0.4546373363717531,0.028741328047571853,0.45058667116984186
0.0084210526315789,0.0178947368421052,12.846153846153847,0.6744084751988308,9.425689307330195,0.6406677869147297,9.663082437275985,0.7134991446465653,10.242339832869082,0.6346801042315646,6.477707006369426,0.6401570302441372,0.9087048832271762,0.5941085483265391,4.687898089171974,0.6578452330848025,5.472745292368682,0.5898301533961725,0.8939544103072349,0.6111012818854091
0.0057894736842105,0.0021052631578947,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.004955401387512388,,0.0,
0.0242105263157894,0.0021052631578947,25.78994082840237,0.10123811779853997,20.190091907644025,0.09467198334958424,18.85185185185185,0.08779984302791323,22.2033426183844,0.07069752291059361,20.590233545647557,0.06862860783399814,14.94267515923567,0.09136104308927447,4.477707006369426,0.3736556710488835,21.97621407333994,0.0667134324843555,14.965312190287413,0.09285913373362799
0.0321052631578947,0.0189473684210526,35.57396449704142,0.6664852746952081,27.75543600089666,0.6803995075003152,2.105137395459976,0.5041653683490915,6.155988857938719,0.4865969067824372,0.5944798301486199,0.5128904047546713,0.0,,26.0,0.6338758972071553,0.0,,0.0,
0.0136842105263157,0.0084210526315789,11.976331360946746,0.464422674200742,8.216095045953821,0.46717944529812366,8.36678614097969,0.4341013439331125,11.749303621169917,0.37983019649866256,10.662420382165605,0.36847503953682464,5.10615711252654,0.4347985699964574,1.1231422505307855,,12.050545094152627,0.34952802556682,5.194251734390486,0.44070998506366305
0.0242105263157894,0.0042105263157894,25.680473372781066,0.20267514083672444,20.145707240529028,0.18813611247529344,19.42293906810036,0.2304574759273719,22.194986072423397,0.14275732825317888,20.59235668789809,0.13844192281044715,14.887473460721868,0.1790392483841045,7.452229299363057,0.39975512186477186,22.036669970267592,0.13475380651201738,14.928642220019821,0.17975512527755025
