pop_name,ou_mean_min,ou_mean_max
SOM2,-0.06,0.03
SOM3,-0.06,0.03
SOM4,-0.06,0.04
SOM5A,-0.06,0.04
SOM5B,-0.06,0.04
SOM6,-0.06,0.04
