ou_mean,ou_std,ITS4_r,ITS4_cv
-0.0255555555555555,0.0444444444444444,20.876941457586618,0.8054719011704882
0.06,0.0111111111111111,0.0,
0.0477777777777777,0.05,24.393070489844682,0.9288614332129995
0.0355555555555555,0.0277777777777777,14.838709677419354,1.1783952272671505
-0.0377777777777777,0.0222222222222222,1.913978494623656,0.7422387109621237
0.06,0.0388888888888888,11.241338112305854,1.043883027074318
-0.0133333333333333,0.0388888888888888,24.264038231780166,0.7676114228972772
0.0355555555555555,0.05,29.332138590203105,0.8497968176285997
0.0111111111111111,0.0277777777777777,30.630824372759857,0.7858046220459096
-0.0255555555555555,0.0388888888888888,17.967741935483872,0.8065114046956164
0.0477777777777777,0.0111111111111111,0.0,
0.0233333333333333,0.0222222222222222,16.95221027479092,1.2453801112341523
-0.0011111111111111,0.0388888888888888,29.550776583034647,0.7191006627857791
-0.05,0.0,0.0,
0.0111111111111111,0.0055555555555555,28.121863799283155,0.4284222136535172
0.0477777777777777,0.0,0.0,
0.06,0.0333333333333333,6.562724014336918,1.0437494149144197
-0.05,0.0055555555555555,0.0,
0.0111111111111111,0.0333333333333333,31.77180406212664,0.7486424149317131
-0.0011111111111111,0.0444444444444444,30.611708482676224,0.7188544661142736
-0.05,0.0444444444444444,10.405017921146953,0.8293497365688629
-0.0011111111111111,0.0277777777777777,26.671445639187574,0.7319376601987673
-0.0011111111111111,0.0222222222222222,24.424133811230586,0.7423734183396766
0.0355555555555555,0.0444444444444444,27.69772998805257,0.8921570524197349
0.0111111111111111,0.0222222222222222,28.032258064516128,0.907372455097871
-0.0255555555555555,0.0222222222222222,6.229390681003585,0.7473306141278775
-0.0377777777777777,0.0388888888888888,12.189964157706093,0.8253536424430615
-0.0133333333333333,0.0055555555555555,0.007168458781362007,
-0.0377777777777777,0.0111111111111111,0.0023894862604540022,
0.0477777777777777,0.0444444444444444,21.46594982078853,0.9825439177019452
-0.0255555555555555,0.0277777777777777,10.710872162485066,0.7968359941198692
-0.0133333333333333,0.0277777777777777,18.675029868578257,0.779741889923411
-0.0011111111111111,0.0333333333333333,28.3273596176822,0.723989643885109
0.0355555555555555,0.0111111111111111,0.010752688172043012,
0.0233333333333333,0.05,32.68936678614098,0.7647980293248783
0.0111111111111111,0.0444444444444444,32.80406212664277,0.7258450738221757
-0.0133333333333333,0.05,27.746714456391874,0.7521377048726361
0.0355555555555555,0.0055555555555555,0.0,
-0.0011111111111111,0.0,0.0,
0.0355555555555555,0.0333333333333333,20.930704898446834,1.0636036019722743
0.0355555555555555,0.0222222222222222,6.2807646356033455,1.253319454753663
0.0111111111111111,0.0388888888888888,32.28673835125448,0.7325415536969633
0.0233333333333333,0.0277777777777777,25.256869772998805,1.0293028047636599
-0.0255555555555555,0.0055555555555555,0.0,
-0.0377777777777777,0.0444444444444444,15.27837514934289,0.8285344075295646
-0.0133333333333333,0.0111111111111111,2.7323775388291516,0.6185576112081407
0.0477777777777777,0.0055555555555555,0.0,
0.0111111111111111,0.0,35.0,7.407479334117801e-15
-0.0011111111111111,0.05,31.44324970131422,0.7182803327696866
0.0233333333333333,0.0166666666666666,4.542413381123058,1.1479216762539404
0.06,0.0222222222222222,0.5459976105137395,1.2562453641146294
-0.0011111111111111,0.0166666666666666,20.537634408602152,0.734947448518187
-0.0133333333333333,0.0333333333333333,21.892473118279568,0.7772131730194793
0.0233333333333333,0.0055555555555555,0.0,
-0.05,0.0166666666666666,0.010752688172043012,
0.0233333333333333,0.0388888888888888,30.743130227001195,0.8174316388062708
-0.05,0.0333333333333333,4.332138590203106,0.7796323688146612
0.06,0.0444444444444444,15.464755077658303,1.0314193846035606
-0.0133333333333333,0.0222222222222222,14.448028673835125,0.7728751089605597
0.06,0.0055555555555555,0.0,
-0.0255555555555555,0.0166666666666666,2.072879330943847,0.7085867545437624
0.0111111111111111,0.0111111111111111,3.845878136200717,0.7100127305274453
0.0233333333333333,0.0444444444444444,31.887694145758662,0.7836653931027547
0.0355555555555555,0.0388888888888888,24.966547192353644,0.9527453821304416
-0.0133333333333333,0.0444444444444444,26.1194743130227,0.7572001532254209
-0.0133333333333333,0.0166666666666666,8.935483870967742,0.7399120057858425
-0.0377777777777777,0.0166666666666666,0.21863799283154123,
-0.0255555555555555,0.05,23.08004778972521,0.7996409726445771
-0.05,0.0388888888888888,7.348864994026284,0.7971277942789249
-0.0255555555555555,0.0333333333333333,14.74910394265233,0.8094604522980037
-0.0377777777777777,0.05,17.967741935483872,0.8279540628152444
-0.0255555555555555,0.0111111111111111,0.08721624850657109,
-0.0011111111111111,0.0111111111111111,15.424133811230586,0.6783628197449121
0.0477777777777777,0.0277777777777777,6.7084826762246115,1.1152835116231894
0.0477777777777777,0.0222222222222222,2.020310633213859,1.1740755830455651
-0.05,0.0111111111111111,0.0,
0.06,0.05,19.026284348864994,0.997324123093798
0.0233333333333333,0.0333333333333333,29.08363201911589,0.8870776496036556
-0.05,0.05,13.296296296296296,0.846879159288779
0.0233333333333333,0.0,0.0,
0.06,0.0,0.0,
-0.0377777777777777,0.0055555555555555,0.0,
0.0111111111111111,0.0166666666666666,19.320191158900837,0.9243620048958374
-0.0133333333333333,0.0,0.0,
-0.0377777777777777,0.0333333333333333,8.634408602150538,0.7976519899130924
0.0233333333333333,0.0111111111111111,0.16606929510155316,0.6180486238692376
0.0477777777777777,0.0388888888888888,17.854241338112306,1.048126662290384
-0.0011111111111111,0.0055555555555555,7.068100358422939,0.523683002951517
-0.0377777777777777,0.0,0.0,
0.06,0.0166666666666666,0.026284348864994027,
-0.0377777777777777,0.0277777777777777,4.97610513739546,0.7553600694756041
0.0477777777777777,0.0166666666666666,0.1816009557945042,
0.06,0.0277777777777777,2.7431302270011946,1.0840173606286605
0.0355555555555555,0.0166666666666666,0.956989247311828,0.881897071734056
-0.05,0.0222222222222222,0.3918757467144564,
0.0111111111111111,0.05,33.33452807646356,0.7251897976340475
0.0477777777777777,0.0333333333333333,12.72520908004779,1.102358743591062
-0.0255555555555555,0.0,0.0,
-0.05,0.0277777777777777,1.8721624850657108,0.7856423407646839
0.0355555555555555,0.0,0.0,
