ou_mean,ou_std,IT2_V_num_-200_0,IT2_V_mean_-200_0,IT2_V_median_-200_0,IT2_V_num_-200_-70,IT2_V_mean_-200_-70,IT2_V_median_-200_-70,IT2_V_num_-70_-50,IT2_V_mean_-70_-50,IT2_V_median_-70_-50,IT2_V_num_-50_0,IT2_V_mean_-50_0,IT2_V_median_-50_0,IT3_V_num_-200_0,IT3_V_mean_-200_0,IT3_V_median_-200_0,IT3_V_num_-200_-70,IT3_V_mean_-200_-70,IT3_V_median_-200_-70,IT3_V_num_-70_-50,IT3_V_mean_-70_-50,IT3_V_median_-70_-50,IT3_V_num_-50_0,IT3_V_mean_-50_0,IT3_V_median_-50_0
-0.0142105263157894,0.0313157894736842,319540,-110.7044560118007,-110.40566458285417,306427,-112.87663293902497,-111.63573208089964,11553,-63.28990346690499,-64.51194443533306,1560,-35.17026772502698,-40.359560914025565,319826,-107.6118512908085,-107.6626457686632,310445,-108.99673252482042,-108.39937110026699,8690,-63.83105767904672,-64.89229120155625,691,-36.01364838685644,-41.492601656638634
0.0089473684210526,0.0092105263157894,318164,-69.25102225899649,-69.83011975842996,156548,-76.02532524066453,-75.16987684639476,154952,-63.8393104576529,-64.63153517867556,6664,-35.94549762928626,-41.34737432552741,319166,-69.69974102318544,-69.94548659089,158521,-75.33983635519171,-74.51120936309388,157264,-64.72477137181613,-65.55727001922064,3381,-36.66515809741679,-42.23336476715938
0.0147368421052631,0.0257894736842105,313625,-70.21115278018375,-70.81759745916094,163265,-83.11439273888381,-81.12742042389245,117815,-61.57245662286924,-62.1639539712823,32545,-36.7534946427386,-41.22090798980279,315098,-69.9758049951537,-70.86961528315823,165666,-81.3705672849879,-79.51734150885952,121268,-62.04514189693099,-62.78093291055903,28164,-37.09734181831771,-41.36948386014714
0.0234210526315789,0.0092105263157894,311803,-58.78157528299275,-60.506561204373625,18847,-72.2509157477694,-71.742250374824,257996,-60.74845867093008,-60.94998698235576,34960,-37.0051248741277,-42.62583734570084,313323,-58.93896131210625,-60.53852703242862,15266,-72.18630478457102,-71.61813077271898,264777,-60.79254837370422,-60.99358620084441,33280,-38.11500798099554,-43.722203184544355
0.0031578947368421,0.0221052631578947,317758,-82.08429128135346,-82.09065903205783,246744,-88.54643472795257,-86.75604180545594,62396,-62.89515593410689,-63.87659459023345,8618,-35.99821174307994,-41.321385668219094,318767,-81.88201508277412,-81.9659851155737,256424,-86.88478639199022,-85.55031012978948,57066,-63.57729651697129,-64.57709317505126,5277,-36.73258159436597,-41.83933667530235
-0.0171052631578947,0.0055263157894736,319996,-116.2597756094481,-116.2312454579112,319996,-116.2597756094481,-116.2312454579112,0,,,0,,,319996,-111.67697174219958,-111.68157661850174,319996,-111.67697174219958,-111.68157661850174,0,,,0,,
-0.0084210526315789,0.0221052631578947,319741,-100.03264821660895,-99.93338153720481,306629,-101.65294619882971,-100.8281186444902,12231,-64.06216511093434,-65.16217951503688,881,-35.47490573661944,-40.657709403201586,319923,-98.65979645272739,-98.73741417278677,312138,-99.51921470410885,-99.17973204288768,7515,-65.23545520188593,-66.43422510091791,270,-35.42583478746789,-40.807876431982805
-0.0113157894736842,0.0239473684210526,319807,-105.11445206693674,-104.97938482484429,310531,-106.39761288920906,-105.6516740580934,8646,-64.14558805112182,-65.23680192156692,630,-34.885221875964774,-39.90815846850183,319954,-102.96028577178308,-103.03628033814013,314627,-103.61768512856014,-103.36361344637514,5179,-64.95038181680984,-66.01947520125702,148,-35.51234765095258,-39.93774869419614
0.0060526315789473,0.0128947368421052,318623,-74.55700978511925,-74.72645029865544,215731,-80.22721578879924,-79.12402911376826,97918,-64.02036129474213,-64.9922865576894,4974,-36.05446364536372,-41.505447597842476,319384,-75.11019401006028,-75.21674487091202,231774,-79.30560097358224,-78.43436212838827,85171,-64.802563852437,-65.84961416947418,2439,-36.37502164088616,-41.75086491089016
0.0147368421052631,0.0221052631578947,314071,-68.89587973552496,-69.62225987680398,153625,-80.97772911210446,-79.16477346840107,131891,-61.76371079319183,-62.35518469917952,28555,-36.838264028861815,-41.63592659587173,315517,-68.90969187609619,-69.85992783073445,156251,-79.52939373902177,-78.00407417405191,135123,-62.278267165978555,-63.03653899699775,24143,-37.29468816161293,-41.907085802159195
