ou_mean,ou_std,TC_V_num_-200_0,TC_V_mean_-200_0,TC_V_median_-200_0,TC_V_num_-200_-70,TC_V_mean_-200_-70,TC_V_median_-200_-70,TC_V_num_-70_-50,TC_V_mean_-70_-50,TC_V_median_-70_-50,TC_V_num_-50_0,TC_V_mean_-50_0,TC_V_median_-50_0,TCM_V_num_-200_0,TCM_V_mean_-200_0,TCM_V_median_-200_0,TCM_V_num_-200_-70,TCM_V_mean_-200_-70,TCM_V_median_-200_-70,TCM_V_num_-70_-50,TCM_V_mean_-70_-50,TCM_V_median_-70_-50,TCM_V_num_-50_0,TCM_V_mean_-50_0,TCM_V_median_-50_0,HTC_V_num_-200_0,HTC_V_mean_-200_0,HTC_V_median_-200_0,HTC_V_num_-200_-70,HTC_V_mean_-200_-70,HTC_V_median_-200_-70,HTC_V_num_-70_-50,HTC_V_mean_-70_-50,HTC_V_median_-70_-50,HTC_V_num_-50_0,HTC_V_mean_-50_0,HTC_V_median_-50_0
-0.0032105263157894,0.0071052631578947,318635,-91.89717784783075,-94.36702880706103,264793,-99.38120721605976,-98.59109244336001,40613,-61.573945957483446,-62.285623943014464,13229,-35.18834333737756,-39.96609133648136,318693,-92.28103479340929,-94.92323963739106,269905,-99.11725798902424,-98.47148963107934,35871,-61.339781472149745,-61.90987045258384,12917,-35.360919927297985,-39.95007278949674,318711,-92.14646117500028,-95.09618662555837,265870,-99.55685412938863,-99.01669434287982,39372,-61.56600424155993,-62.267824326838806,13469,-35.26121175783389,-39.844453475043
0.0017631578947368,0.015,314320,-74.47576782551535,-70.3395178173378,159516,-91.9833180094715,-87.30218411265625,126800,-60.869515309820926,-61.10681149050361,28004,-36.35758627452611,-42.24347128582193,314380,-74.11653861070909,-70.49380208153917,160741,-90.97747857125583,-86.6352858517998,126003,-60.85829066298126,-61.12125608972166,27636,-36.49657428733761,-42.39422206491783,314396,-73.91771145409656,-69.93466451764817,156754,-91.17598940052483,-85.94712128536229,130786,-60.922724197148675,-61.19910872746273,26856,-36.46828868722021,-42.39568298068315
-0.0115,0.0078947368421052,296624,-169.24834724054645,-170.28132547071604,296624,-169.24834724054645,-170.28132547071604,0,,,0,,,301414,-170.35000222383354,-171.32348764842197,301414,-170.35000222383354,-171.32348764842197,0,,,0,,,298017,-169.85775093349483,-171.06260412802936,298017,-169.85775093349483,-171.06260412802936,0,,,0,,
-0.0098421052631578,0.0102631578947368,307742,-153.47738336518225,-154.4359519226416,306645,-153.84108652551325,-154.5492978943748,703,-60.90072096812914,-61.51089789544992,394,-35.593216018566935,-39.31807101298543,309051,-156.12093986875107,-157.11740737882576,309051,-156.12093986875107,-157.11740737882576,0,,,0,,,306788,-155.4606417690043,-156.69592759727382,306525,-155.5520052528926,-156.72158243541944,129,-62.035975584825756,-63.570543625762525,134,-36.40534355188896,-39.66818758886713
0.0117105263157894,0.0055263157894736,306840,-58.557363046989394,-59.287301733810764,51059,-72.4325705448522,-72.40137173072885,212064,-59.527609980532254,-58.98025140559562,43717,-37.645391380401655,-43.79883435030697,306828,-58.610503864645494,-59.39479220221797,51117,-72.44467093148317,-72.43017812477373,212107,-59.57797058785482,-59.08220522624079,43604,-37.68656151496893,-43.78808122878054,306532,-57.9802577470923,-58.89897755203717,40007,-71.6928284632399,-71.58121889398788,221424,-59.63809093486696,-59.106149221945245,45101,-37.67731829096655,-43.78461616900561
-0.0032105263157894,0.0023684210526315,319988,-100.71784618132175,-100.79037544103367,319712,-100.75279812950231,-100.7968136666428,251,-62.43958967401035,-64.2905501704425,25,-38.0492512463096,-43.73572010944873,319996,-101.03806521333684,-101.09470290496007,319996,-101.03806521333684,-101.09470290496007,0,,,0,,,319986,-100.8815374256879,-100.97939142129665,319690,-100.92810424252735,-100.98438999709842,180,-60.659474947940836,-60.50898422544118,116,-34.95934406874241,-39.74145649254678
0.0183421052631578,0.0063157894736842,300919,-56.837467957226835,-58.75346001439497,43005,-71.63082682088735,-71.5150695747652,194921,-60.01471357035646,-59.79584816024925,62993,-36.90667739179001,-42.894744687770405,300911,-56.87243132794023,-58.79571828397447,43449,-71.64628413557674,-71.5227104449146,194481,-60.03271665505545,-59.831945902725636,62981,-36.92157977998614,-42.90090327206265,300672,-56.22343994339924,-58.277149092462224,27897,-71.06375093212301,-70.91056882153563,207699,-60.28818288765551,-60.1647972894404,65076,-36.88845929874509,-42.87158319850983
0.0083947368421052,0.0102631578947368,310398,-61.688672081097785,-62.35918433447694,74443,-75.28065602291446,-73.5846918561198,203934,-60.53669760460631,-60.502185423441304,32021,-37.42642862549523,-43.50579347769257,310472,-61.68537006928431,-62.389012309639,74930,-75.02975981048515,-73.45937930347485,203862,-60.53425555854018,-60.489446819370066,31680,-37.53048948472449,-43.61372651472284,310330,-61.227499350858544,-61.92519006738834,66172,-75.06544967997621,-73.17756336780673,211788,-60.540113059655404,-60.49277872226938,32370,-37.436807928645315,-43.530613366591766
-0.0015526315789473,0.0126315789473684,316593,-83.64476810150494,-80.91659176972105,206010,-98.68320828115776,-95.17848911221387,87092,-60.9968861534728,-61.40557771063586,23491,-35.72770510749593,-41.11179820780461,316613,-82.63811460189858,-80.04097084175991,204950,-97.3491504710123,-94.14168816977339,88062,-60.94458174879225,-61.23767714213619,23601,-35.83285587283575,-41.225187332906934,316897,-83.39943965513599,-80.31973588313079,205449,-98.16493221763662,-94.58770052462778,89484,-61.157633115465565,-61.545215799984064,21964,-35.9003563789876,-41.23720667547286
0.005078947368421,0.0063157894736842,314580,-62.011857754409334,-62.027630235995574,62892,-74.03634787723706,-73.39091271897685,233375,-60.64778362365658,-60.537010090424666,18313,-38.099695217389,-44.270927783614006,314639,-62.00815254377216,-61.972960886376164,63529,-73.97092661512428,-73.3840885553808,232974,-60.61009690098163,-60.474573958203635,18136,-38.06282509254558,-44.284557497536255,314459,-61.74912212273737,-61.824709899457105,58977,-73.7749829501614,-72.82889225689618,236564,-60.64304969461588,-60.541590421002645,18918,-38.089524060952094,-44.32372377382383
0.0067368421052631,0.0047368421052631,312752,-60.185907890549885,-60.0932519954599,49600,-73.0457334886916,-73.03436501788696,238647,-59.780607082695724,-59.281927976451186,24505,-38.10373985235914,-44.33701364409437,312792,-60.16192775580688,-60.06645446916802,48981,-73.0265529235366,-73.02175485436894,239473,-59.77212445633135,-59.332408855337356,24338,-38.10691749180555,-44.317736115081715,312676,-59.720173718041245,-59.86859381601308,40688,-72.25993609503385,-72.16820215175099,247175,-59.82766200820354,-59.39846026120509,24813,-38.08690608752714,-44.31405163908716
-0.0081842105263157,0.0094736842105263,318467,-140.8528717333525,-141.2860723314089,316341,-141.4662255541873,-141.48147122077393,1161,-61.21918250079776,-62.17590271387034,965,-35.594583818625736,-39.36109643270649,318526,-141.8956520587034,-142.30497089302042,317740,-142.12518576174378,-142.3796684296102,424,-60.37253747368371,-60.32352808644244,362,-35.911568578027776,-39.37390767798218,317672,-142.48293448276831,-143.05429379361564,316761,-142.74756799278438,-143.12898786227595,530,-61.263187352096196,-62.2434525944484,381,-35.45115157742914,-39.21032018109087
-0.0115,0.0047368421052631,317662,-172.30984529420766,-172.41157835672192,317662,-172.30984529420766,-172.41157835672192,0,,,0,,,317858,-172.61663591523504,-172.8051694890881,317858,-172.61663591523504,-172.8051694890881,0,,,0,,,317257,-172.53319363945346,-172.72197109559673,317257,-172.53319363945346,-172.72197109559673,0,,,0,,
