ou_mean,ou_std,PV2_V_num_-200_0,PV2_V_mean_-200_0,PV2_V_median_-200_0,PV2_V_num_-200_-70,PV2_V_mean_-200_-70,PV2_V_median_-200_-70,PV2_V_num_-70_-50,PV2_V_mean_-70_-50,PV2_V_median_-70_-50,PV2_V_num_-50_0,PV2_V_mean_-50_0,PV2_V_median_-50_0,PV3_V_num_-200_0,PV3_V_mean_-200_0,PV3_V_median_-200_0,PV3_V_num_-200_-70,PV3_V_mean_-200_-70,PV3_V_median_-200_-70,PV3_V_num_-70_-50,PV3_V_mean_-70_-50,PV3_V_median_-70_-50,PV3_V_num_-50_0,PV3_V_mean_-50_0,PV3_V_median_-50_0,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0,PV5A_V_num_-200_0,PV5A_V_mean_-200_0,PV5A_V_median_-200_0,PV5A_V_num_-200_-70,PV5A_V_mean_-200_-70,PV5A_V_median_-200_-70,PV5A_V_num_-70_-50,PV5A_V_mean_-70_-50,PV5A_V_median_-70_-50,PV5A_V_num_-50_0,PV5A_V_mean_-50_0,PV5A_V_median_-50_0,PV5B_V_num_-200_0,PV5B_V_mean_-200_0,PV5B_V_median_-200_0,PV5B_V_num_-200_-70,PV5B_V_mean_-200_-70,PV5B_V_median_-200_-70,PV5B_V_num_-70_-50,PV5B_V_mean_-70_-50,PV5B_V_median_-70_-50,PV5B_V_num_-50_0,PV5B_V_mean_-50_0,PV5B_V_median_-50_0,PV6_V_num_-200_0,PV6_V_mean_-200_0,PV6_V_median_-200_0,PV6_V_num_-200_-70,PV6_V_mean_-200_-70,PV6_V_median_-200_-70,PV6_V_num_-70_-50,PV6_V_mean_-70_-50,PV6_V_median_-70_-50,PV6_V_num_-50_0,PV6_V_mean_-50_0,PV6_V_median_-50_0
0.022,0.0007894736842105,279718,-43.26299592040968,-46.033663659883345,0,,,26041,-54.439741312054885,-54.884575418870234,253677,-42.11565648189598,-45.60735736426072,279791,-43.25659180702845,-46.038799523888144,0,,,26026,-54.44264107493341,-54.89070297291437,253765,-42.109356694832144,-45.611980176978356,279717,-43.25807204185486,-46.03287211997016,0,,,26047,-54.44022341808973,-54.89547845792987,253670,-42.10988149154622,-45.60484843051148,279687,-43.26147069121005,-46.032438918331565,0,,,26043,-54.44066524713052,-54.88457708923405,253644,-42.113642381374866,-45.606630081977855,279793,-43.260672410331104,-46.04328107627957,0,,,26037,-54.44207191585417,-54.88317762864967,253756,-42.113388803538335,-45.61463601361719,279769,-43.26728934534361,-46.04402768077471,0,,,26006,-54.446238163012865,-54.893661369051415,253763,-42.12165446968282,-45.619009744220804
0.016,0.0071052631578947,302599,-47.70823009061565,-49.6283126126668,46,-70.97665267303098,-71.09485412600469,140925,-53.54140049869675,-52.83717136143557,161628,-42.615610697950885,-46.5971318016565,303000,-47.8394271830245,-49.73943243853336,88,-71.43399802874315,-71.20973642023458,144044,-53.60037802632441,-52.919682650547706,158868,-42.60296215855946,-46.633848475827136,302490,-47.70009518217869,-49.63226097368554,154,-74.33628940455228,-72.86627138876446,140586,-53.48624454269099,-52.7649505677514,161750,-42.64566817811544,-46.69853917949683,302506,-47.721249548214956,-49.63295959382084,15,-71.13666342731639,-71.22592445425967,140912,-53.52727517319063,-52.80371481807737,161579,-42.655678440120724,-46.639680639134944,303351,-47.83033958070681,-49.74055390494014,60,-72.29188497654773,-72.1983533954552,144300,-53.54813449846882,-52.88080511226589,158991,-42.63164594800551,-46.67900137280725,303552,-47.873286673588524,-49.7567830950436,46,-71.16033796546922,-71.20787503936072,144829,-53.57149303501638,-52.87568211261262,158677,-42.66562120550771,-46.68536666026458
0.018,0.0055263157894736,291585,-45.732217154143214,-48.21397194448735,0,,,88353,-52.67771046186072,-51.91293328191037,203232,-42.71273611662568,-46.6498304286502,291798,-45.81465987084078,-48.27498857542318,0,,,91026,-52.6874689801603,-51.94499412887372,200772,-42.69866599726816,-46.6558826807253,291489,-45.74946276194774,-48.208238941736774,0,,,89639,-52.70193013579023,-51.93774400653493,201850,-42.6619610382724,-46.63963537512863,291440,-45.74437830545211,-48.21409273476342,0,,,89376,-52.68739275834579,-51.93850212250153,202064,-42.67337674286886,-46.623490962403125,291868,-45.80974833202335,-48.28652303125561,0,,,90726,-52.67793578935031,-51.952706485737195,201142,-42.71182161729722,-46.68890877803531,291961,-45.84158702181263,-48.29802456781717,0,,,90537,-52.67992293117085,-51.94962679170128,201424,-42.76785986801981,-46.741009458322836
0.016,0.0134210526315789,308576,-50.407412590082046,-50.693605206870174,11145,-76.99656055781908,-74.99270446622977,154246,-56.35235397384443,-55.31789903418269,143185,-41.93362355645253,-44.682489865889494,309074,-50.583665540109955,-50.74157987316434,11555,-77.11099562127947,-75.12929618120145,154687,-56.493518053625216,-55.44127857329282,142832,-42.03725678824727,-44.750282770010806,308836,-50.357922425489846,-50.61336255707762,10442,-77.62699993623038,-74.95640452066829,153988,-56.31848562487235,-55.25068727748825,144406,-42.03002113805262,-44.81928220620646,308649,-50.45286675730396,-50.702849003844676,11064,-77.08712324265396,-75.15411663948953,154507,-56.399357043110705,-55.31847796237741,143078,-41.97178798668198,-44.71694834354196,309836,-50.70582795190932,-50.904248104127504,10921,-76.66856888621118,-74.70705095385658,158699,-56.49397062415848,-55.420199935899554,140216,-42.132544249002514,-44.774084666846996,309655,-50.7092847012903,-50.90637652817282,11028,-76.8681553813561,-74.61134403048732,158685,-56.472575250453346,-55.46529645276227,139942,-42.1126676266901,-44.90257347855493
0.028,0.015,279964,-43.32004157150002,-45.0955004195371,694,-75.59905218805879,-74.35814670887478,67324,-54.518555458095356,-53.82672802435961,211946,-39.65717281120713,-42.9567851945552,280700,-43.42201945903925,-45.178285197459964,826,-75.60609408872949,-73.56226284327767,68526,-54.50797098979827,-53.81907167436912,211348,-39.70180464630898,-42.988771164458655,279948,-43.30577332028371,-45.06119479829552,866,-77.95285488290438,-74.18801930781225,66920,-54.466119089084124,-53.849374669595875,212162,-39.64416232735682,-42.96597247733277,279994,-43.26752756295514,-45.085925757234754,570,-75.2020547456624,-74.09512358814104,67286,-54.467761448768414,-53.804564979298576,212138,-39.629227881922134,-42.96564781154959,280671,-43.39886648547576,-45.2206773191909,631,-74.56661853688746,-73.3163354859917,68575,-54.428203142497274,-53.74366378570446,211465,-39.72921139929274,-43.01683249463298,280543,-43.38432103016249,-45.158476722482824,733,-74.52897657897036,-72.96208357972581,68272,-54.407150262052554,-53.72192590774169,211538,-39.718882055430406,-43.017938192917896
0.01,0.0094736842105263,319283,-56.6215177858381,-56.08576876030544,19192,-75.51963864582129,-74.11432691581558,248914,-57.703409083795925,-56.97633773693016,51177,-44.272403416401154,-46.70966493039498,319349,-56.76513206215841,-56.18538594606517,20206,-75.42112907003445,-73.83451942908295,249401,-57.74728582882528,-56.987401161442826,49742,-44.262353583174296,-46.76020126124982,319349,-56.66955447565732,-56.1409581428635,18440,-75.70577135735812,-73.89511878876911,252023,-57.66136671888283,-56.94980960276534,48886,-44.37590524534623,-46.83645729831515,319394,-56.605038826116,-56.049946315218634,19360,-75.38552420940465,-73.80349788432753,249789,-57.64046269499959,-56.90287552047759,50245,-44.22116600682973,-46.57157686935986,319476,-57.026004722757435,-56.48559396299483,19519,-75.3416415530254,-73.8791043190251,254537,-57.88102604907596,-57.184636661453304,45420,-44.36335658037228,-46.79324336444648,319398,-56.994453140970776,-56.412110713358516,19396,-75.4362267943359,-73.83278659421461,255090,-57.80294198746995,-57.09875016686347,44912,-44.43803032225557,-46.98991357495379
0.01,0.0023684210526315,319996,-55.32882382065958,-55.26230818892756,0,,,319943,-55.32978815181939,-55.262666395342,53,-49.50748411751666,-49.5571980399886,319996,-55.38095801127554,-55.30263037788971,0,,,319974,-55.38136419362423,-55.30273797282348,22,-49.47333115493575,-49.424104895557434,319996,-55.34037892186526,-55.27792126836704,0,,,319951,-55.34115220504157,-55.278179596473024,45,-49.842318354165634,-49.819894749856665,319996,-55.33029217928499,-55.256643299535995,0,,,319975,-55.330662203897575,-55.25677764070902,21,-49.69226239762053,-49.67928040820976,319996,-55.420751186762935,-55.36152552131014,0,,,319989,-55.420872529080334,-55.361582745092136,7,-49.87386450097215,-49.86087952097813,319996,-55.422028223837536,-55.35032045329006,0,,,319988,-55.42216488820055,-55.350358387764494,8,-49.955658699958875,-49.957737394258515
0.026,0.0039473684210526,274678,-41.99723259327201,-44.578664029031344,0,,,26785,-53.96033783821668,-54.34915818932331,247893,-40.704611284942025,-44.06972400094597,274779,-42.01106212897448,-44.58872477097026,0,,,26726,-53.98531991560579,-54.37186193340317,248053,-40.72091843546744,-44.08318422127114,274733,-42.01154947072529,-44.583350570117176,0,,,26831,-53.95793625935043,-54.34685214416627,247902,-40.71856472705398,-44.068832215340166,274686,-42.0093902620344,-44.58468321502109,0,,,26718,-53.9746285701936,-54.36593262649517,247968,-40.72016247007175,-44.070044791714544,274757,-42.04551463724477,-44.62603738530488,0,,,26880,-53.96456280308606,-54.36633185031479,247877,-40.75300256594402,-44.11373601542746,274845,-42.045473859302405,-44.62947317539701,0,,,26683,-53.989662440281876,-54.387464392597536,248162,-40.76120477738707,-44.121756818341595
0.036,0.015,266993,-40.74775170917733,-42.84348680879787,56,-71.36070959198243,-71.15517084776556,46492,-54.11713539728452,-53.663920776407465,220445,-37.92036296337264,-41.21195470769163,267257,-40.77904888487224,-42.83443227495886,46,-73.48280958713288,-73.68011550283357,46320,-54.082419202186315,-53.65039011336616,220891,-37.98257240511393,-41.24391251779991,267082,-40.78185074671114,-42.825228938022484,184,-77.39075009354173,-76.72307951253414,46515,-54.05869222176655,-53.61764633674384,220383,-37.94901736713098,-41.23553071873543,266994,-40.745216524103036,-42.81273963666318,30,-72.28546673286606,-71.75268134706074,46890,-54.01892643169901,-53.604989806403744,220074,-37.912758055254216,-41.1729861151453,267537,-40.86137650158694,-42.93116805358868,32,-70.80803314923479,-70.38092791226569,47252,-54.071243833210936,-53.656685400682434,220253,-38.02304538161752,-41.288647617556144,267605,-40.881075539133256,-42.95625165713308,37,-74.4121724480069,-74.28687306013549,46967,-54.034874423686176,-53.60355430485736,220601,-38.07494536385561,-41.33332023965306
0.026,0.0063157894736842,275782,-42.201943880787795,-44.67175760159854,0,,,31349,-53.55229193084974,-53.672712317551216,244433,-40.746240023201516,-44.03850470039204,275954,-42.234981734242275,-44.719462503074,0,,,31256,-53.56816056546624,-53.70129601063331,244698,-40.787361248791896,-44.07419830219979,275735,-42.209397627521824,-44.66461985074106,0,,,31455,-53.56606661315531,-53.69742146231544,244280,-40.74704285863733,-44.028297474868566,275723,-42.20591420053657,-44.67272938274192,0,,,30923,-53.57521474906548,-53.73895295280653,244800,-40.76975047152446,-44.044572975454656,276009,-42.27000941025342,-44.74413578264073,0,,,31508,-53.5576944831901,-53.659992883654084,244501,-40.81540439318566,-44.10544679242529,275959,-42.277286876695555,-44.744421004033285,0,,,31305,-53.565738608393445,-53.6818741432348,244654,-40.83285931180473,-44.1056622892563
0.014,0.0142105263157894,313764,-53.250148993908816,-52.673121112944955,23330,-78.75678835532514,-76.29213138867954,171383,-57.30317632287929,-56.320184289032056,119051,-42.41706166979738,-44.61610554776355,314050,-53.33221025677367,-52.60796637435325,24288,-78.54806876617185,-75.99619457292894,171737,-57.17284550190072,-56.16107102723457,118025,-42.55464663407813,-44.72256279469498,313886,-53.169852464527125,-52.54057171814691,22508,-78.75555362885312,-75.99316033520464,172854,-57.11414405342188,-56.08679742613493,118524,-42.55875648300892,-44.840011113675885,313446,-53.09730829105513,-52.535310094893454,23404,-78.45258018159669,-75.85980241358212,169378,-57.20691014712996,-56.275378674057166,120664,-42.41068322886194,-44.649636264277724,314589,-53.52355021488533,-52.90131833999639,23680,-78.21618051658955,-75.73094965971833,176195,-57.32724794922506,-56.3520432483669,114714,-42.58404842917175,-44.73477912825004,314699,-53.48255924753344,-52.82215957175748,23720,-78.46413010768015,-75.84473855903371,175054,-57.32590845301891,-56.40121402600548,115925,-42.56725614104444,-44.70390988405903
