ou_mean,ou_std,PV2_V_num_-200_0,PV2_V_mean_-200_0,PV2_V_median_-200_0,PV2_V_num_-200_-70,PV2_V_mean_-200_-70,PV2_V_median_-200_-70,PV2_V_num_-70_-50,PV2_V_mean_-70_-50,PV2_V_median_-70_-50,PV2_V_num_-50_0,PV2_V_mean_-50_0,PV2_V_median_-50_0,PV3_V_num_-200_0,PV3_V_mean_-200_0,PV3_V_median_-200_0,PV3_V_num_-200_-70,PV3_V_mean_-200_-70,PV3_V_median_-200_-70,PV3_V_num_-70_-50,PV3_V_mean_-70_-50,PV3_V_median_-70_-50,PV3_V_num_-50_0,PV3_V_mean_-50_0,PV3_V_median_-50_0,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0,PV5A_V_num_-200_0,PV5A_V_mean_-200_0,PV5A_V_median_-200_0,PV5A_V_num_-200_-70,PV5A_V_mean_-200_-70,PV5A_V_median_-200_-70,PV5A_V_num_-70_-50,PV5A_V_mean_-70_-50,PV5A_V_median_-70_-50,PV5A_V_num_-50_0,PV5A_V_mean_-50_0,PV5A_V_median_-50_0,PV5B_V_num_-200_0,PV5B_V_mean_-200_0,PV5B_V_median_-200_0,PV5B_V_num_-200_-70,PV5B_V_mean_-200_-70,PV5B_V_median_-200_-70,PV5B_V_num_-70_-50,PV5B_V_mean_-70_-50,PV5B_V_median_-70_-50,PV5B_V_num_-50_0,PV5B_V_mean_-50_0,PV5B_V_median_-50_0,PV6_V_num_-200_0,PV6_V_mean_-200_0,PV6_V_median_-200_0,PV6_V_num_-200_-70,PV6_V_mean_-200_-70,PV6_V_median_-200_-70,PV6_V_num_-70_-50,PV6_V_mean_-70_-50,PV6_V_median_-70_-50,PV6_V_num_-50_0,PV6_V_mean_-50_0,PV6_V_median_-50_0
0.012,0.0055263157894736,318199,-52.24842059181803,-52.88126970175455,97,-71.26335101676145,-71.08512655408573,250089,-54.39508075712709,-53.883372771423296,68013,-44.32786801608696,-47.72102199825501,318335,-52.36842564607218,-52.93516359776308,102,-71.29268157316807,-71.09723525053585,252493,-54.42600041431184,-53.89859989373358,65740,-44.43636753743672,-47.819830534684826,318251,-52.27105504779367,-52.898154392395675,194,-73.37251797603592,-72.78701168823642,251126,-54.35989153298205,-53.84300593036522,66931,-44.37255009511863,-47.778378632086195,318431,-52.24832581595926,-52.849617172224065,37,-71.26108558757032,-71.03099350483522,251876,-54.3387933352944,-53.82962891757623,66518,-44.32201911684615,-47.6953269777709,318671,-52.50849203132885,-53.073032195160835,82,-72.07933404412542,-71.94881982675011,256340,-54.44928062679081,-53.9513883617627,62249,-44.49058720384936,-47.81770110830959,318647,-52.48723097119757,-53.011454048260234,93,-71.47749308977284,-71.42238842654184,256182,-54.411613856089076,-53.89775037000042,62372,-44.55485184924689,-47.84222068287304
0.028,0.0102631578947368,275809,-42.09415488681961,-44.31796240027087,0,,,42198,-53.344918828420205,-53.14062623851001,233611,-40.06188869726663,-43.272271294398514,275811,-42.113088993163764,-44.34047322034267,0,,,41866,-53.33376635897726,-53.09024786981389,233945,-40.1050748077905,-43.303148168330694,275739,-42.0842795283548,-44.28183712534779,35,-74.66469485518846,-74.94689686570806,42164,-53.37318699868946,-53.111586439369766,233540,-40.041264160042616,-43.244043667482885,275661,-42.08173805808265,-44.306763127281265,0,,,41810,-53.31752725710155,-53.09803589386593,233851,-40.07290189141677,-43.27926408768702,276065,-42.1759929087023,-44.40264993680271,0,,,42215,-53.3633658461519,-53.15119516928495,233850,-40.156429305732736,-43.35613999775292,275881,-42.155255239779514,-44.38396795440875,0,,,42586,-53.33568434337026,-53.10243155903434,233295,-40.114363862743936,-43.31983688014647
0.036,0.0063157894736842,264896,-39.25581079131197,-41.36383628637303,0,,,25765,-53.02151000760736,-53.246662157511004,239131,-37.77263529207577,-40.77361455902556,265058,-39.28584377536419,-41.41887918115315,0,,,25721,-53.03558918718703,-53.26038436285384,239337,-37.80819008313316,-40.82452774791815,264903,-39.25991735710913,-41.375609036864944,0,,,25850,-53.040643167853396,-53.25311766171273,239053,-37.76973834991099,-40.78192602039325,264913,-39.26313596424318,-41.37973053288498,0,,,25801,-53.035597183058556,-53.25848036541153,239112,-37.77704044454257,-40.78734077474698,265059,-39.310319320522744,-41.43985324225035,0,,,25785,-53.03525505660933,-53.25609960217161,239274,-37.83127242050439,-40.85204289002304,265092,-39.29176640445144,-41.41128139377839,0,,,25614,-53.01948427413529,-53.25693284152952,239478,-37.82348219665747,-40.83088747737267
0.026,0.001578947368421,274144,-41.91483112808056,-44.53412254101529,0,,,26694,-53.987692369087185,-54.38232079857451,247450,-40.61245506031969,-44.03841161023331,274188,-41.91906115229754,-44.54205238172655,0,,,26679,-53.989579786562615,-54.402195098829274,247509,-40.61797971023461,-44.04733409665342,274156,-41.91814360666707,-44.53456332993156,0,,,26682,-53.99209502534548,-54.406603903591375,247474,-40.61636171542525,-44.041056895702226,274113,-41.92226918145412,-44.54084110809966,0,,,26606,-53.99939368085238,-54.39967578096136,247507,-40.62402721483908,-44.045900037562895,274175,-41.93334781541211,-44.55228772434977,0,,,26665,-53.99663039875118,-54.400359496687265,247510,-40.633733940882856,-44.05556516354781,274109,-41.938337588583245,-44.548721823036296,0,,,26731,-53.992446817452695,-54.40904202612968,247378,-40.6358030309552,-44.05458943652452
0.022,0.0023684210526315,280016,-43.3070480516568,-46.066365943306685,0,,,26764,-54.31544613122351,-54.74387916648085,253252,-42.14366625723258,-45.614820234545775,280172,-43.332042357669884,-46.10636797004628,0,,,26933,-54.28348478365596,-54.72614548566973,253239,-42.16731181119371,-45.64683849403311,280010,-43.30330128555152,-46.06645887369133,0,,,26705,-54.32599885626032,-54.776496431309596,253305,-42.141219452876385,-45.61336479836888,280001,-43.31013430416858,-46.072151714127564,0,,,26782,-54.316535470831354,-54.75755467140299,253219,-42.14602957251115,-45.614566105502796,280116,-43.33248452709406,-46.09180152942997,0,,,26931,-54.295888223645875,-54.741615074534735,253185,-42.16631976633875,-45.635597231347546,280073,-43.339202741043586,-46.09996816286954,0,,,26711,-54.32854841248793,-54.761546089346915,253362,-42.18063747778412,-45.65168470711487
0.004,0.0047368421052631,319996,-65.26410234303371,-64.75269045056677,54569,-73.4405657961447,-72.55401330625787,265427,-63.5831074398294,-63.680408475085116,0,,,319996,-65.39883599937122,-64.86507563900636,55577,-73.51646336259934,-72.66742250393767,264419,-63.692629652754185,-63.80377980089822,0,,,319996,-65.26660808353812,-64.77922418747661,52298,-73.44856822447811,-72.55349467584277,267698,-63.66816449617146,-63.81878033321594,0,,,319996,-65.25310983142057,-64.73356264900494,53332,-73.45728683654167,-72.60831355720515,266664,-63.612299043173536,-63.6792089049796,0,,,319996,-65.50155229676722,-65.04583805277653,56263,-73.36931622064228,-72.54894387228578,263733,-63.823097186299485,-63.97549036576931,0,,,319996,-65.49215073272615,-64.98384390101526,55838,-73.40140977995675,-72.53308099815422,264158,-63.82028311304678,-63.93283862084091,0,,
0.032,0.0086842105263157,269557,-40.52598213096779,-42.77659571044641,0,,,28728,-53.315532293726015,-53.486846989431584,240829,-39.000342789045874,-42.09387606090224,269731,-40.60421458926358,-42.842667118608794,0,,,28906,-53.350312346918564,-53.519504275836226,240825,-39.07431237071161,-42.14819010667607,269564,-40.56994020693057,-42.799876497689496,0,,,28889,-53.33739297806331,-53.51160630737197,240675,-39.03742148622734,-42.113760761845384,269513,-40.560750396939554,-42.789899800227914,0,,,28633,-53.36648118654676,-53.52962980887455,240880,-39.03855474060103,-42.10725151664407,269950,-40.626519342408145,-42.87441738019531,0,,,28962,-53.32801676674353,-53.47710234674482,240988,-39.100050105750725,-42.19231032951413,269853,-40.63890079995324,-42.88683707095345,0,,,28704,-53.3679532381309,-53.547456152434165,241149,-39.123759865570555,-42.20390012602959
0.018,0.0023684210526315,288093,-45.096603462988014,-47.849729390328534,0,,,56972,-52.46509055236048,-51.07610845452862,231121,-43.28024992325892,-47.01678358912614,288201,-45.13591705751946,-47.88168106803708,0,,,58336,-52.43824578666853,-51.07359837349797,229865,-43.282704742710145,-47.02809487505429,288245,-45.11675812115058,-47.86632666563036,0,,,57834,-52.444350213386635,-51.06936290768699,230411,-43.27750582389749,-47.030928327239025,288149,-45.112016958896064,-47.86238964013043,0,,,57392,-52.46049645640635,-51.09872235150904,230757,-43.28436304018022,-47.028305843018956,288355,-45.13480972696108,-47.88936985060352,0,,,58789,-52.4258887418882,-51.08029358579843,229566,-43.26765499059527,-47.03547819040804,288405,-45.13887006508558,-47.892851528042,0,,,58328,-52.43441505879501,-51.08357383168391,230077,-43.289339045500476,-47.05603010966281
0.024,0.0071052631578947,279397,-43.072823531698816,-45.50817373615034,0,,,42098,-53.246777319116696,-52.80833076461377,237299,-41.26791450746054,-44.6418231002334,279515,-43.098172214810745,-45.53931404398872,0,,,42187,-53.241115000552675,-52.79174936666924,237328,-41.29518088086744,-44.67004323767628,279249,-43.02644833797135,-45.47837984759899,0,,,41303,-53.28612828830746,-52.84789025074878,237946,-41.245558720206255,-44.642009052829145,279281,-43.058132107096135,-45.497810321562156,0,,,41760,-53.21513215124806,-52.754181491969305,237521,-41.27236865104895,-44.63090145188373,279631,-43.134196644535685,-45.56940692096315,0,,,42963,-53.22450667662467,-52.76796879221309,236668,-41.3024746123698,-44.67740994227218,279685,-43.13034928910582,-45.57400860433134,0,,,42634,-53.208561074347735,-52.74257904065733,237051,-41.31776684375858,-44.70705756634023
0.034,0.0047368421052631,266496,-39.72267401883813,-41.92832632392761,0,,,25689,-53.15916986017392,-53.460716048094305,240807,-38.28928486624673,-41.37084492372491,266539,-39.759547616280976,-41.970004502702686,0,,,25705,-53.161403951219995,-53.45806575158515,240834,-38.329123684902484,-41.41004892210306,266471,-39.718490356309495,-41.92846384958925,0,,,25710,-53.151957404814944,-53.439744301989236,240761,-38.28397879581143,-41.3734119928392,266514,-39.72343150118077,-41.93595312748681,0,,,25729,-53.146416024128946,-53.44683678553331,240785,-38.28912301522471,-41.3755920257668,266636,-39.76728930236268,-41.983946181424194,0,,,25719,-53.167105642827,-53.47355890222748,240917,-38.336797155854136,-41.42418053990121,266573,-39.76288203745236,-41.965992512076596,0,,,25716,-53.167692590011434,-53.47275919978286,240857,-38.33166721633606,-41.406322190666764
0.016,0.0110526315789473,306814,-49.302809957847956,-50.307530874986384,3731,-74.88637702441514,-73.45630794395039,155624,-55.494013255719466,-54.47839349727633,147459,-42.12147744675461,-45.37777739458463,307357,-49.45040238132895,-50.371799358075876,4033,-74.98708621979752,-73.44783583707101,156901,-55.590628733311426,-54.587330303559064,146423,-42.167413364760876,-45.40344278309992,306802,-49.212754008351205,-50.17005074049027,3569,-76.24531266923435,-74.25937230980499,153314,-55.435370864092704,-54.426039907274216,149919,-42.20568030533926,-45.50990780649871,306733,-49.27783576054261,-50.27207793871306,3923,-74.62962901283085,-73.01764120238212,154731,-55.474281785061635,-54.44985167916971,148079,-42.131397881109486,-45.39603968513512,308107,-49.469336862483544,-50.39550728142346,3721,-74.78440505112137,-72.9794499973611,158104,-55.54527495050973,-54.541088870075,146282,-42.25841901750459,-45.413753403360204,308026,-49.56377187106548,-50.47256592444724,3818,-74.86885144294448,-73.39167331679086,159313,-55.57591353562761,-54.61675079965331,144895,-42.28659102416377,-45.53273886744216
0.028,0.0,271716,-41.31487332073241,-43.8321637745409,0,,,26620,-53.792153065513745,-54.177802499918556,245096,-39.959709683602156,-43.32055158446161,271715,-41.31502417066826,-43.83199489966573,0,,,26623,-53.79172679515086,-54.17719258398704,245092,-39.95974838046867,-43.320460323320646,271704,-41.31669822232014,-43.83188271316602,0,,,26623,-53.79172842275203,-54.17802493132692,245081,-39.961543277521926,-43.320754884248274,271712,-41.315529022618584,-43.83243376453091,0,,,26612,-53.793326720742975,-54.17843077955397,245100,-39.96073851938527,-43.320474111821405,271712,-41.315529022618584,-43.83243376453091,0,,,26612,-53.793326720742975,-54.17843077955397,245100,-39.96073851938527,-43.320474111821405,271712,-41.315529022618584,-43.83243376453091,0,,,26612,-53.793326720742975,-54.17843077955397,245100,-39.96073851938527,-43.320474111821405
0.022,0.0055263157894736,281582,-43.59780938504297,-46.210267312719836,0,,,42259,-53.18288950904429,-52.50522857529981,239323,-41.90530218364496,-45.407423194710326,281898,-43.67415354331176,-46.25597970722434,0,,,43085,-53.14917557703391,-52.43610006475579,238813,-41.964735193712194,-45.44528215341212,281714,-43.62046009143831,-46.21032326992524,0,,,42864,-53.16912116951191,-52.47869359941714,238850,-41.90685821389783,-45.41996954694134,281685,-43.63492932730753,-46.219764823787465,0,,,42960,-53.12533723506204,-52.39765877426487,238725,-41.92707332681685,-45.4044146735136,281969,-43.701857306284005,-46.2867170315535,0,,,43739,-53.12723565698378,-52.41196943865602,238230,-41.971358948893,-45.47077826658929,281958,-43.697717228625656,-46.28554016844778,0,,,43950,-53.118874635191716,-52.3946300710409,238008,-41.95802836094652,-45.46124911780045
0.014,0.0102631578947368,312805,-51.16811383021176,-51.8213089817894,5585,-74.72886735608675,-73.32271472961642,186167,-55.94016134594663,-54.97400796634767,121053,-42.74217991445728,-45.74957948232336,313088,-51.193377184337564,-51.7286409281334,5859,-74.73498519948426,-73.25501574846443,185452,-55.9243726976183,-54.927247073882725,121777,-42.855982920316585,-45.842842176229915,312820,-51.096756482527034,-51.69572375066373,5077,-75.71338513093426,-73.87711891839854,185882,-55.81765814548112,-54.79146995494051,121861,-42.87009441212556,-45.92234797931715,312387,-51.049600608309404,-51.687473145395955,5452,-74.56419772694906,-73.12982271967863,183659,-55.936870400771085,-54.97432832280955,123276,-42.72849458357999,-45.7873141214244,313664,-51.39193189670673,-51.9522654565786,5275,-74.65592559106382,-73.2530540340832,190566,-55.992392985842905,-55.02932489018717,117823,-42.90964036916065,-45.828715846547325,313474,-51.32321249012718,-51.92176738771735,5244,-74.98876579907464,-73.51818037061669,189748,-55.98707469506292,-55.046236014191734,118482,-42.80663877248005,-45.770475516109755
0.04,0.0055263157894736,260798,-38.207310616653935,-40.14986922755847,0,,,25886,-52.72218880243778,-52.86356592768031,234912,-36.60785151402317,-39.51883683249913,260801,-38.22900894702445,-40.17101044154112,0,,,25892,-52.711999128309806,-52.86437591766542,234909,-36.632673422315555,-39.542790518269875,260741,-38.19816110011244,-40.134705068768056,0,,,25747,-52.71995933478513,-52.86142669508468,234994,-36.60708754441264,-39.51291222608329,260686,-38.21684785907976,-40.15790123131292,0,,,26008,-52.747787619008214,-52.8797530443792,234678,-36.60646818447789,-39.51245826298572,260846,-38.23713095288441,-40.18961416248443,0,,,25718,-52.70393264604059,-52.868003873354965,235128,-36.65477068126814,-39.56365008030513,260956,-38.261232400763745,-40.19855139151337,0,,,25918,-52.747587849055144,-52.89449897766432,235038,-36.66379981322975,-39.56391470180175
0.034,0.0078947368421052,266996,-39.913557189598194,-42.09049590192968,0,,,27133,-53.256942927526524,-53.44397238491553,239863,-38.40417022609314,-41.45087330898211,267403,-39.95307358104022,-42.14758613190826,0,,,26796,-53.24958659291065,-53.45051059231149,240607,-38.472263119723294,-41.51158563053962,267192,-39.92998521878794,-42.11993179772961,0,,,26932,-53.26523532854126,-53.454903649493914,240260,-38.435167288396386,-41.477706429358406,267074,-39.92348218294806,-42.11505645027262,0,,,27079,-53.28680051068202,-53.46550115496701,239995,-38.41567869955588,-41.472781519278705,267358,-39.96508632219444,-42.16745825158242,0,,,26920,-53.25846067275472,-53.47438206526369,240438,-38.47672908449873,-41.52784985954865,267464,-39.984022717330944,-42.174417372377334,0,,,26855,-53.2795847544278,-53.483033565222875,240609,-38.50007025293336,-41.55471830453801
0.012,0.0086842105263157,317098,-53.081142906352596,-53.41127594322253,5421,-73.9166937940527,-72.7999225175063,225172,-56.217370153206794,-55.360757101355524,86505,-43.61186271456166,-46.5090620396211,317499,-53.308731897491846,-53.546363801985876,5540,-73.89268072706538,-72.73868625121773,231229,-56.20670464649355,-55.308216177933204,80730,-43.5957327980895,-46.45281293237908,317428,-53.10957208762339,-53.43086898665783,4864,-74.81883131337803,-73.34347807148771,228973,-56.109371759776444,-55.22854464158209,83591,-43.6292815395264,-46.52175422644448,317317,-53.07811489366875,-53.362364285622746,5060,-73.89655403065954,-72.689295811964,226642,-56.15331264540251,-55.30566851762154,85615,-43.70697349459591,-46.596015158276984,317849,-53.465135529623446,-53.735217452968044,5146,-73.84663266778882,-72.6806127131103,233999,-56.28286020530045,-55.43912037485262,78704,-43.754981780681376,-46.608697170677885,317861,-53.427291251319176,-53.66642017030568,4971,-74.1173697191874,-72.8821536206336,233637,-56.25467993924185,-55.39558167748711,79253,-43.794432041649344,-46.592505800869105
0.032,0.015,273124,-41.84866035393222,-43.84261133227288,264,-73.94917062133233,-73.0777332472653,53142,-54.08464722304509,-53.6131065974115,219718,-38.8506385764311,-42.14168477379698,273502,-41.907031189981474,-43.908954798366494,247,-74.66098166747004,-73.84619564052562,54050,-54.10899101099641,-53.62359810598841,219205,-38.86145214710473,-42.131088649243914,273129,-41.80460627488285,-43.775253253753824,254,-77.96718111287996,-74.24345171876246,52446,-54.1256283774934,-53.661494720813224,220429,-38.83143296645989,-42.0803676457064,273121,-41.84770534738918,-43.86185016213753,129,-73.938587214642,-71.90748967939362,54052,-54.095595921175494,-53.61793187257571,218940,-38.80503290263183,-42.105918370736426,273603,-41.948325544212764,-43.97100764083196,272,-74.63430385934686,-73.3712557591894,53571,-54.12769293059764,-53.61486776976447,219760,-38.93889945958526,-42.21051815121569,273532,-41.94897129330057,-43.91598653026915,175,-74.28320592712618,-73.03155242392535,54467,-54.09271548426837,-53.58410533364772,218890,-38.90135922372059,-42.16547464159575
0.004,0.0039473684210526,319996,-64.99359020102895,-64.6394931770466,38063,-72.61463951300615,-71.95985569414819,281933,-63.964693264658315,-64.01161844481226,0,,,319996,-65.10722538209048,-64.73444888595316,39571,-72.63324889871095,-72.00145468531136,280425,-64.04522207790512,-64.10290952246903,0,,,319996,-65.00125386424925,-64.66443074950877,37020,-72.5881784844136,-71.84651361695879,282976,-64.00870343792873,-64.09696679943002,0,,,319996,-64.98680431394905,-64.62368928074821,37786,-72.58550943612211,-71.91499371748722,282210,-63.96938936853099,-64.0076721842779,0,,,319996,-65.19473150609998,-64.88377846275073,39455,-72.52364962365355,-71.88656725591693,280541,-64.16399993984737,-64.25718988686637,0,,,319996,-65.18946014523739,-64.83203682162772,39380,-72.53801131680989,-71.88318883363398,280616,-64.15820766805676,-64.21116801766996,0,,
0.012,0.015,316777,-56.321068673680706,-54.733647917846135,42116,-80.54336743895493,-77.5262111624986,177175,-57.95537896188544,-57.13153846400478,97486,-42.88626511100541,-44.6225415389987,317017,-56.6312214410969,-54.914774964951995,43345,-80.68144300409115,-77.85280377304119,180675,-57.88338878547856,-56.96994765003074,92997,-42.988929876915904,-44.749128997006316,317010,-56.224105134916314,-54.76563673845552,40400,-80.42336407808646,-77.2165362224755,181134,-57.83631043089612,-56.99707432774723,95476,-42.92573428374875,-44.66776792291006,316627,-56.25569668884812,-54.68105664285348,41196,-80.53030743829615,-77.70749237944179,177979,-57.9297669995706,-57.102307646763414,97452,-42.93666553231625,-44.77665337482627,317531,-56.78393908918495,-55.26278159752317,43438,-80.14481707278996,-77.24684533330236,182973,-58.061722887350136,-57.28362932435061,91120,-43.08168104755292,-44.76080060425669,317313,-56.72211974217961,-55.13850485532394,43289,-80.2391632028324,-77.26151917927429,181948,-58.02231344427967,-57.19628352305674,92076,-43.09645248819475,-44.732728058958855
0.004,0.0031578947368421,319996,-64.77402909537592,-64.54811694451257,21241,-71.82192549542256,-71.35438027118522,298755,-64.27293499675532,-64.2701397793525,0,,,319996,-64.8662024162028,-64.62694580745392,22277,-71.8153477096655,-71.31411244122813,297719,-64.34622851563725,-64.34148493405641,0,,,319996,-64.78443161960433,-64.57073416543649,19978,-71.86989584312563,-71.3087067922082,300018,-64.31261524772826,-64.32655444227859,0,,,319996,-64.77056381146244,-64.53750078421399,20878,-71.80002304480865,-71.33158345036628,299118,-64.27991781264656,-64.26859458533012,0,,,319996,-64.93788576184951,-64.74216422701133,21504,-71.75483554604986,-71.28305706245015,298492,-64.446778167142,-64.46972748446525,0,,,319996,-64.93590107849013,-64.70406314119661,21416,-71.79447292469719,-71.30762929594204,298580,-64.44396198458442,-64.43108997236831,0,,
0.022,0.0031578947368421,280251,-43.359439173212714,-46.0872003246969,0,,,29155,-53.99823207685851,-54.31970106641501,251096,-42.124158614757796,-45.590303327057825,280376,-43.39792845593285,-46.127354450171,0,,,29288,-53.98170870455255,-54.28866993056125,251088,-42.16339014298449,-45.618604203649305,280272,-43.35098383240395,-46.09011410879993,0,,,29044,-54.01629614870733,-54.35537407958367,251228,-42.117986989238716,-45.588180337093874,280281,-43.356484115153066,-46.09218805224307,0,,,28910,-54.026179276171895,-54.377570376247746,251371,-42.12937006021017,-45.593504548156,280470,-43.389302037050484,-46.13236165538852,0,,,29285,-53.98381395310955,-54.30885756959185,251185,-42.15411569446718,-45.63037989923075,280443,-43.39047538557,-46.13207175409466,0,,,29219,-53.99888870760831,-54.32150013821427,251224,-42.15664729248717,-45.627387208348004
0.012,0.0023684210526315,319898,-52.458068668157665,-52.57280220878765,0,,,303261,-52.769034569023994,-52.6745447084393,16637,-46.789749255846495,-49.32645606236211,319938,-52.55117643999627,-52.62148492264642,0,,,305705,-52.80595761885785,-52.708537919584685,14233,-47.07883186865671,-49.39592028280802,319914,-52.50908978107337,-52.59731283394745,0,,,305698,-52.76647026962189,-52.680547680046914,14216,-46.97443160800728,-49.36983107616739,319911,-52.46321725836243,-52.570135818413334,0,,,303727,-52.76643536456747,-52.67124126426659,16184,-46.77268798603519,-49.29390121660622,319925,-52.59610128563207,-52.686617087736444,0,,,306451,-52.841247765101905,-52.76201861483917,13474,-47.020519885898295,-49.3616925396923,319938,-52.61907977927143,-52.67406819128854,0,,,308754,-52.826725567513826,-52.739800595799636,11184,-46.88665240954753,-49.35633408029965
0.008,0.0102631578947368,319855,-60.34966926179405,-59.042259459461896,47181,-77.33441005322558,-75.25109361786274,243154,-58.957574970882334,-58.46040394186919,29520,-44.67000259281756,-46.804667564677175,319883,-60.61085505829842,-59.23694703757609,48403,-77.4902028346624,-75.57982697175147,243908,-59.03789307632408,-58.574510043865274,27572,-44.89371232944505,-47.088962728004795,319845,-60.3741830913854,-59.10989324860597,45539,-77.35423261659695,-75.20685495478116,247168,-58.96062246437807,-58.525782098886154,27138,-44.755216245175056,-46.93894744613823,319884,-60.304252365367155,-59.005499435561546,46013,-77.39233072889111,-75.41126938875763,244436,-58.957776749010705,-58.472506071212834,29435,-44.77353600793121,-46.873542118729866,319905,-60.80195348578274,-59.549275403858495,48932,-77.15201917629224,-75.1635862561327,245202,-59.20512080118131,-58.79011274799424,25771,-44.951002942987664,-47.091341255562384,319835,-60.822786012436815,-59.485749374738255,48520,-77.19678003443576,-75.21430223401055,247768,-59.10979640928057,-58.68211319656602,23547,-45.10774027614045,-47.446907263245485
0.032,0.001578947368421,267776,-40.20282477955899,-42.52766884223128,0,,,26244,-53.34724778705784,-53.706584255610366,241532,-38.77459896513772,-41.981153061916444,267820,-40.206563176530324,-42.53473016521575,0,,,26269,-53.349747518768304,-53.69700761381055,241551,-38.77722399148764,-41.98658185970943,267780,-40.208919843617885,-42.532844653277806,0,,,26234,-53.34957039673319,-53.71314221151704,241546,-38.78173070941396,-41.988931518464916,267759,-40.20560266132207,-42.523822741082405,0,,,26277,-53.3457282636623,-53.69987331733098,241482,-38.77575248427909,-41.980272495723824,267844,-40.21848487804994,-42.547996210112004,0,,,26256,-53.352521356483955,-53.700070944934566,241588,-38.79106604194151,-42.00033724994367,267878,-40.208736011693084,-42.54232721502722,0,,,26223,-53.35847137937802,-53.724343787411186,241655,-38.78180294369614,-41.991725052701
0.012,0.0102631578947368,316872,-53.73373496686607,-53.72515194920544,12434,-75.47620006880977,-73.981927898197,214118,-56.860442852003594,-55.975372745348,90320,-43.32817418268276,-45.916122638854134,317295,-54.016301243671535,-53.89586155249506,12698,-75.49584181552487,-73.97279909304504,220152,-56.85799633054429,-55.892588667914396,84445,-43.377991539762455,-45.92731211814996,317283,-53.78341030195702,-53.77832123991319,11528,-75.91837837937835,-74.00061626375673,218132,-56.772846646486215,-55.82927327146599,87623,-43.42923798759484,-46.02528982103179,317094,-53.709358856050386,-53.658056813901965,11835,-75.34689562040647,-73.77801769544101,215210,-56.81278485873107,-55.912388322045935,90049,-43.448627946844724,-46.03206641651014,317586,-54.17993641928964,-54.13338078796347,12069,-75.32010419555067,-73.91238547399341,222772,-56.98343912930829,-56.08932485998358,82745,-43.54868872325999,-46.10818730870105,317562,-54.07085181106668,-54.0125938046301,11991,-75.42801324893452,-73.6552828917061,221248,-56.92374139200343,-56.04801263982104,84323,-43.54833913001207,-46.03957137747369
0.038,0.0055263157894736,262918,-38.68987333959459,-40.717344621426385,0,,,25294,-52.81023771534576,-53.02313118400662,237624,-37.18682441978746,-40.128494062233685,263043,-38.706616909668426,-40.751012093263725,0,,,25324,-52.81128729096085,-53.036067896725804,237719,-37.2040585414444,-40.157965149197736,262945,-38.676022956046154,-40.71222243995146,0,,,25362,-52.79645387293535,-53.014096115928155,237583,-37.16866607902151,-40.118519744725,262903,-38.68552613058686,-40.70862599198319,0,,,25462,-52.80920999272184,-53.013457755863556,237441,-37.170972037158656,-40.121574155244346,263135,-38.727513474153824,-40.76302307109769,0,,,25180,-52.80309389439965,-53.03296693047794,237955,-37.238059102605476,-40.18265824237154,263113,-38.733942098558956,-40.77304688368033,0,,,25297,-52.820900483144094,-53.03626691912188,237816,-37.235482002287675,-40.18114378794503
0.014,0.0039473684210526,310273,-48.856378583251136,-50.608747950787546,0,,,182045,-52.48884609766757,-52.062260651560436,128228,-43.69937271353518,-47.95117692043239,310553,-48.842594105159286,-50.573557908956104,0,,,180658,-52.49558659671126,-52.05588469672387,129895,-43.76201119173849,-47.97916144212357,310300,-48.81682754185587,-50.56303462423526,0,,,180653,-52.47333124853858,-52.020943500746064,129647,-43.721774327177975,-48.0103962345533,310185,-48.795461555185,-50.54183703042808,0,,,179577,-52.4838351706552,-52.035707895501346,130608,-43.72420199416811,-47.95247134500268,311127,-48.91831589813138,-50.64610827182026,0,,,184391,-52.491612617696205,-52.06689787651617,126736,-43.71944773583115,-47.96909583237874,310727,-48.89872567525839,-50.63433787368963,0,,,183402,-52.51359075141443,-52.097629341885444,127325,-43.69178685965129,-47.97632490144279
0.008,0.0126315789473684,319655,-61.578022946622966,-59.5434068882222,68210,-80.25099455470527,-77.41551809312826,209512,-58.968328839041746,-58.457214980859376,41933,-44.24272231180702,-46.007327545009964,319685,-61.84646274558895,-59.722597666652675,68825,-80.43404724416918,-77.7704016158596,211140,-59.06364667413772,-58.569144910233945,39720,-44.431389286662046,-46.29126481495942,319731,-61.55720398858643,-59.61512920141161,65451,-80.2347563621682,-77.48795442052294,214828,-59.01780396679247,-58.58802830255512,39452,-44.398878617975335,-46.171806469755076,319732,-61.544582084786526,-59.53075837274069,66415,-80.31813454663103,-77.6481714566425,212219,-59.00807397724189,-58.50260164072499,41098,-44.304077128866865,-46.022703924583276,319809,-62.103803799207256,-60.185906705555816,70458,-80.10437710622568,-77.51419823619887,212026,-59.23964627132934,-58.823628447937,37325,-44.39426515057867,-46.125851172554604,319695,-62.07538416099669,-60.06394985547561,69528,-80.15520987874834,-77.41180423691924,214167,-59.14741738745549,-58.721310953256314,36000,-44.57593242447337,-46.55681314025888
