ou_mean,ou_std,TI_r,TI_cv,TIM_r,TIM_cv
-0.0032105263157894,0.0110526315789473,5.372549019607843,1.7798414901498136,5.426470588235294,1.7970166630463629
0.0083947368421052,0.0,42.875,0.432430752469593,42.875,0.432430752469593
0.0001052631578947,0.0055263157894736,7.522058823529412,1.3420776234669929,7.573529411764706,1.3469492218249255
0.02,0.0039473684210526,64.86519607843137,0.5479729889520417,64.86274509803921,0.5459200599803701
-0.0065263157894736,0.0039473684210526,0.0,,0.0,
-0.0081842105263157,0.0094736842105263,0.012254901960784314,,0.014705882352941176,
0.0083947368421052,0.0110526315789473,44.9485294117647,0.9532727051916219,44.88235294117647,0.9510218396578907
0.0017631578947368,0.0023684210526315,13.595588235294118,0.7132360010858173,13.605392156862745,0.7223724869347954
0.0001052631578947,0.0047368421052631,5.639705882352941,1.2883724976215736,5.784313725490196,1.2883913798128492
0.0117105263157894,0.0118421052631578,52.504901960784316,0.9154676665408369,52.44117647058823,0.9159795716790051
0.005078947368421,0.0110526315789473,35.91421568627451,1.037463759375963,35.791666666666664,1.0436413281100603
0.0133684210526315,0.0102631578947368,55.125,0.8624748230244235,55.0514705882353,0.8588154399225963
-0.0015526315789473,0.0078947368421052,5.877450980392157,1.7032483283500544,5.762254901960785,1.690622710320091
-0.0015526315789473,0.0007894736842105,0.0,,0.0,
0.0150263157894736,0.0063157894736842,57.23774509803921,0.7150865881020537,57.200980392156865,0.7005407929645442
-0.0015526315789473,0.0126315789473684,13.083333333333334,1.6804203121548194,12.987745098039216,1.6692142140734567
0.0083947368421052,0.0063157894736842,43.01960784313726,0.7992321640972047,43.05392156862745,0.7988080097442574
0.0001052631578947,0.0094736842105263,15.051470588235293,1.4556803045732811,15.056372549019608,1.424515390683102
0.0017631578947368,0.0063157894736842,17.602941176470587,1.0672070151640056,17.607843137254903,1.0777953728299798
-0.0048684210526315,0.0071052631578947,0.1323529411764706,1.7250303699587424,0.11274509803921569,
-0.0081842105263157,0.0118421052631578,0.16176470588235295,1.7209355089003635,0.12745098039215685,1.2057202957310265
0.0133684210526315,0.0023684210526315,53.955882352941174,0.49254811969581896,53.96813725490196,0.48784863545574775
0.0150263157894736,0.015,59.870098039215684,0.9368524385788088,59.76470588235294,0.9309211761488689
0.0034210526315789,0.0039473684210526,24.75980392156863,0.7897530791839427,24.774509803921568,0.7876012735003768
0.0117105263157894,0.0055263157894736,50.791666666666664,0.7176928996365032,50.78431372549019,0.7100554314517774
0.0034210526315789,0.0118421052631578,31.41176470588235,1.14720084058731,31.25980392156863,1.1468875822865843
-0.0032105263157894,0.0126315789473684,7.318627450980392,1.818636454655142,7.306372549019608,1.8147148053820148
0.0183421052631578,0.0134210526315789,64.34313725490196,0.8756553065082207,64.2279411764706,0.8703875162902726
-0.0065263157894736,0.001578947368421,0.0,,0.0,
0.0067368421052631,0.0007894736842105,38.15686274509804,0.4293269371715767,38.125,0.42882283791010367
0.0034210526315789,0.0,25.0,0.49734110273841226,25.0,0.49734110273841226
-0.0015526315789473,0.001578947368421,0.0,,0.0,
