ou_mean,ou_std,TC_r,TC_cv,TCM_r,TCM_cv,HTC_r,HTC_cv
-0.04,0.0021052631578947,0.0,,0.0,,0.0,
-0.0289473684210526,0.031578947368421,15.78448275862069,1.3771241354786259,16.780645161290323,1.3751785775599736,16.394736842105264,1.283402563719673
-0.021578947368421,0.031578947368421,25.370689655172413,1.4405731848549919,26.438709677419354,1.438393537701642,25.86842105263158,1.362863010561883
0.0152631578947368,0.0210526315789473,114.73275862068965,1.0519793306819067,115.12903225806451,1.0476044695698092,114.76315789473684,1.1007443513214596
-0.04,0.0126315789473684,0.008620689655172414,,0.0,,0.0,
0.03,0.0294736842105263,169.69827586206895,0.8778808470765402,169.69032258064516,0.8803525074573394,168.26315789473685,0.9071391852653697
-0.0252631578947368,0.0084210526315789,0.008620689655172414,,0.0,,0.0,
0.0226315789473684,0.04,137.79310344827587,1.090086739006133,136.18709677419355,1.0780725366097712,135.28947368421052,1.1150120015097038
-0.0031578947368421,0.0336842105263157,67.57758620689656,1.3718010941376728,68.21935483870968,1.397288476801258,67.52631578947368,1.4303232651697328
-0.0363157894736842,0.0,0.0,,0.0,,0.0,
0.011578947368421,0.0357894736842105,110.75,1.2320841278653891,110.63225806451612,1.229079914277834,109.86842105263158,1.2734831282311188
0.03,0.0021052631578947,202.20689655172413,0.041458293706145836,202.30967741935484,0.04178558820564978,203.97368421052633,0.041219235011712
-0.0363157894736842,0.0084210526315789,0.0,,0.0,,0.0,
0.03,0.0378947368421052,155.72413793103448,0.9781438574101745,154.83225806451614,0.974623225047815,154.60526315789474,1.0057925393197176
0.0152631578947368,0.0042105263157894,117.62931034482759,0.2563081171630991,117.80645161290323,0.2569494257230274,119.21052631578948,0.2682777055951698
-0.04,0.0147368421052631,0.034482758620689655,,0.01935483870967742,,0.0,
0.0042105263157894,0.0063157894736842,30.103448275862068,0.9521328432808198,30.54193548387097,0.9498386003063997,29.81578947368421,0.9670342646695996
-0.0105263157894736,0.0273684210526315,37.36206896551724,1.4231120468404623,38.50322580645161,1.4085359567135471,37.71052631578947,1.4078902033950556
0.011578947368421,0.0042105263157894,88.40517241379311,0.3913895013015726,88.47096774193548,0.3906505057564247,89.36842105263158,0.41695915279953794
-0.0142105263157894,0.031578947368421,38.01724137931034,1.4547687503514062,39.39354838709677,1.4459864622042864,38.36842105263158,1.4500284129746834
0.0263157894736842,0.0252631578947368,161.48275862068965,0.8855758276466758,162.24516129032259,0.8835579669960586,161.55263157894737,0.9062101264695214
-0.0326315789473684,0.0168421052631578,0.35344827586206895,,0.4064516129032258,,0.39473684210526316,
0.0042105263157894,0.0105263157894736,42.922413793103445,1.0768924015695172,43.08387096774194,1.0922495836832808,42.8421052631579,1.1278277226780777
-0.04,0.0084210526315789,0.0,,0.0,,0.0,
0.0078947368421052,0.0336842105263157,98.58620689655173,1.2763869379745125,98.76129032258065,1.2826933392015885,98.07894736842105,1.3233287833161942
-0.0363157894736842,0.04,20.163793103448278,1.4404378338243318,21.335483870967742,1.4478502907694002,20.36842105263158,1.3424760561673474
-0.0363157894736842,0.0147368421052631,0.04310344827586207,,0.05806451612903226,,0.02631578947368421,
-0.0363157894736842,0.0042105263157894,0.0,,0.0,,0.0,
-0.0178947368421052,0.0231578947368421,15.293103448275861,1.3155284122718505,16.232258064516127,1.316847722694526,15.947368421052632,1.2254757963305227
-0.0252631578947368,0.0378947368421052,30.448275862068964,1.4698709183339622,31.761290322580646,1.4825045293065742,30.81578947368421,1.406901336711463
0.0078947368421052,0.0168421052631578,75.24137931034483,1.1370763066834142,75.49677419354839,1.133748888478777,75.36842105263158,1.1711645508229265
0.0263157894736842,0.0021052631578947,185.5344827586207,0.050784361999023725,185.4967741935484,0.05115450821835591,187.47368421052633,0.050218272985637386
0.0078947368421052,0.0,58.0,0.0011030009355710803,58.0,0.00110300093557108,58.0,0.0011094357191887203
-0.0105263157894736,0.04,59.810344827586206,1.426844950999984,60.67741935483871,1.450104637184374,59.55263157894737,1.4481493152365565
0.0189473684210526,0.0189473684210526,131.60344827586206,0.9150997674775406,131.85806451612902,0.9168248564626259,131.76315789473685,0.9459575080767443
0.011578947368421,0.0189473684210526,95.8103448275862,1.0923242407055942,95.92903225806451,1.0953287447734117,95.92105263157895,1.139883824303558
0.0226315789473684,0.0021052631578947,166.41379310344828,0.06414709531252236,166.47096774193548,0.06455231633398643,168.47368421052633,0.06375583831984916
0.011578947368421,0.0126315789473684,88.80172413793103,0.9498824733875482,89.09032258064516,0.9454153466250996,89.1842105263158,0.9988841733996635
0.0226315789473684,0.0336842105263157,143.1551724137931,1.0499034628331176,142.5225806451613,1.0521674568976946,142.10526315789474,1.084167546685536
-0.04,0.04,16.79310344827586,1.4220036672155425,17.587096774193547,1.4265748595527212,17.236842105263158,1.3132497809485302
0.03,0.0063157894736842,199.98275862068965,0.13686618024060965,200.11612903225807,0.13787655784824052,201.47368421052633,0.13674818313597548
0.0042105263157894,0.0084210526315789,36.89655172413793,1.0129420432367426,37.012903225806454,1.0310565502696991,36.578947368421055,1.0515945792914068
-0.0105263157894736,0.0021052631578947,0.0,,0.0,,0.0,
0.0042105263157894,0.04,93.25862068965517,1.3268029419437393,93.2516129032258,1.3259723429534072,92.6842105263158,1.3533112789654431
-0.0289473684210526,0.0126315789473684,0.06896551724137931,,0.07741935483870968,,0.02631578947368421,
-0.04,0.0252631578947368,2.189655172413793,1.2890354020295234,2.470967741935484,1.2195656180070584,2.236842105263158,1.1893482092436136
