ou_mean,ou_std,PV4_r,PV4_cv
0.04,0.0102631578947368,189.36290322580646,0.18267058608133055
0.02,0.0039473684210526,129.36827956989248,0.12645518364927727
0.022,0.0078947368421052,130.61962365591398,0.271821159127613
0.028,0.0126315789473684,146.51075268817203,0.2952039598534568
0.022,0.0039473684210526,139.44086021505376,0.09105983610467712
0.032,0.0086842105263157,164.20698924731184,0.10694820419394807
0.02,0.0118421052631578,95.08064516129032,0.8374088308847498
0.006,0.001578947368421,0.0,
0.028,0.0063157894736842,156.65860215053763,0.08576069668020175
0.038,0.0118421052631578,183.2486559139785,0.1982396552319311
0.032,0.0047368421052631,166.66129032258064,0.043391881212419055
0.03,0.0047368421052631,162.73252688172042,0.050071698857113184
0.022,0.0,142.125,0.003272769298552197
0.022,0.0071052631578947,132.96370967741936,0.22069476959178685
0.006,0.0086842105263157,0.013440860215053764,
0.032,0.0126315789473684,161.8951612903226,0.21640637277277538
0.022,0.0126315789473684,110.09139784946237,0.689583752130097
0.008,0.0086842105263157,0.15725806451612903,1.284960284659448
0.038,0.0023684210526315,176.8252688172043,0.01627256866538323
0.006,0.0,0.0,
0.006,0.0142105263157894,0.42338709677419356,1.114792523801183
0.028,0.0007894736842105,159.86693548387098,0.00947987746796859
0.016,0.0071052631578947,68.35483870967742,0.9544190601763587
0.026,0.0118421052631578,139.627688172043,0.3268987676553626
0.006,0.0118421052631578,0.12903225806451613,1.233367144455668
0.01,0.0126315789473684,4.022849462365591,1.390470375285916
0.036,0.0031578947368421,173.7755376344086,0.023016272466138826
0.018,0.0142105263157894,61.91532258064516,1.2278746793085902
0.016,0.0063157894736842,72.97043010752688,0.8648326305501504
0.02,0.0023684210526315,131.91666666666666,0.06653317496694891
0.024,0.0094736842105263,136.70967741935485,0.2741212521045383
0.006,0.0031578947368421,0.0,
0.028,0.0086842105263157,153.5215053763441,0.13852055856099507
0.016,0.0126315789473684,45.51075268817204,1.3502988504294553
0.036,0.0094736842105263,175.0215053763441,0.13656979402697358
0.016,0.0110526315789473,50.516129032258064,1.2671660782691563
0.04,0.015,191.94220430107526,0.26229272480011995
0.028,0.0047368421052631,158.18682795698925,0.05867866561635976
0.04,0.0078947368421052,186.14112903225808,0.13793285259126872
0.028,0.015,140.625,0.4421248062411239
0.03,0.0126315789473684,154.56048387096774,0.2443320108392205
0.024,0.0071052631578947,142.41397849462365,0.15925811087763256
0.012,0.001578947368421,0.006720430107526882,
0.016,0.0094736842105263,56.46370967741935,1.169273160719483
0.022,0.0055263157894736,136.75806451612902,0.14483702535382428
0.006,0.0071052631578947,0.0013440860215053765,
0.014,0.0039473684210526,38.85618279569893,1.080976873415251
0.028,0.0031578947368421,159.18279569892474,0.03708540087494529
0.036,0.0142105263157894,176.11021505376345,0.2454845499984898
0.032,0.0063157894736842,165.67069892473117,0.06253113862583357
0.002,0.0126315789473684,0.004032258064516129,
0.014,0.0078947368421052,31.618279569892472,1.353187308589724
0.016,0.0047368421052631,83.58736559139786,0.6302644908720677
0.022,0.0047368421052631,138.2002688172043,0.11713457608076112
0.002,0.0039473684210526,0.0,
0.014,0.0071052631578947,32.891129032258064,1.3025043714391988
0.024,0.0078947368421052,140.7459677419355,0.19052343395657792
0.026,0.0007894736842105,154.93817204301075,0.01096845705695975
0.012,0.015,11.901881720430108,1.5300863907734563
0.038,0.001578947368421,176.93413978494624,0.01110942571436048
0.002,0.001578947368421,0.0,
0.032,0.0,167.875,0.002840038999937435
0.03,0.0,164.25,0.003147215520178995
0.022,0.0118421052631578,114.11155913978494,0.6140297592580899
0.02,0.0078947368421052,116.4489247311828,0.4210488883259653
0.002,0.0047368421052631,0.0,
0.01,0.0,0.0,
0.034,0.0086842105263157,169.1733870967742,0.107744806597584
0.03,0.0055263157894736,162.20430107526883,0.06010416752847953
0.032,0.0071052631578947,165.16129032258064,0.07505979525852098
0.022,0.015,98.0,0.8964600274959156
0.002,0.015,0.033602150537634407,
0.036,0.001578947368421,174.07930107526883,0.011692811288134649
0.016,0.0142105263157894,41.2244623655914,1.4075482734039246
0.008,0.0007894736842105,0.0,
0.016,0.0086842105263157,60.11290322580645,1.1104562081184064
0.012,0.0102631578947368,10.81989247311828,1.4645727034393765
0.032,0.0023684210526315,167.58736559139786,0.020690004951375452
0.01,0.0071052631578947,0.9354838709677419,1.090756323902691
0.02,0.0071052631578947,119.99327956989248,0.340828817806249
0.008,0.0134210526315789,1.303763440860215,1.1968721984605386
0.026,0.0094736842105263,145.34005376344086,0.20373724887724
0.022,0.0110526315789473,117.99596774193549,0.5404331530537406
0.016,0.0023684210526315,98.95295698924731,0.1991013485173241
0.024,0.0086842105263157,138.89247311827958,0.22978320476660677
0.004,0.0063157894736842,0.0,
0.002,0.0134210526315789,0.010752688172043012,
0.022,0.0134210526315789,106.13037634408602,0.7595742074195269
0.018,0.0071052631578947,99.59274193548387,0.5877217806417208
0.012,0.0031578947368421,1.4663978494623655,1.090819958061678
0.014,0.0094736842105263,29.333333333333332,1.4053948458983336
0.008,0.0102631578947368,0.4852150537634409,1.1744171156961603
0.036,0.0023684210526315,173.96370967741936,0.017200692485937415
