ou_mean,ou_std,IT2_V_num_-200_0,IT2_V_mean_-200_0,IT2_V_median_-200_0,IT2_V_num_-200_-70,IT2_V_mean_-200_-70,IT2_V_median_-200_-70,IT2_V_num_-70_-50,IT2_V_mean_-70_-50,IT2_V_median_-70_-50,IT2_V_num_-50_0,IT2_V_mean_-50_0,IT2_V_median_-50_0,IT3_V_num_-200_0,IT3_V_mean_-200_0,IT3_V_median_-200_0,IT3_V_num_-200_-70,IT3_V_mean_-200_-70,IT3_V_median_-200_-70,IT3_V_num_-70_-50,IT3_V_mean_-70_-50,IT3_V_median_-70_-50,IT3_V_num_-50_0,IT3_V_mean_-50_0,IT3_V_median_-50_0
0.0084210526315789,0.0147368421052631,317337,-72.59502818067104,-73.03157070113835,192551,-80.0613914096567,-78.93717151052954,114704,-63.25639587893945,-64.16838447305527,10082,-36.245372698961674,-41.72595340974402,318442,-72.62698561807444,-73.05437636841752,197821,-78.95685697127549,-77.96173500333634,114017,-63.71277615673316,-64.71020360472168,6604,-36.9198292268218,-42.40392928493385
0.0213157894736842,0.0189473684210526,312033,-62.74565379277482,-64.06440717524528,92068,-77.00682015869498,-75.63974601951894,178820,-61.30674560160433,-61.75248067171256,41145,-37.087821681158985,-42.08910935718826,313463,-62.702057474826326,-64.15532918186636,88216,-76.06466096712654,-74.7266984102001,186573,-61.55440645907646,-62.08375840329843,38674,-37.758303616542634,-42.431186926111224
0.0102631578947368,0.0042105263157894,318645,-64.81144912212643,-64.80265000247462,64628,-73.22780678788463,-72.77890761592914,248926,-63.21051493147759,-63.52406059544421,5091,-36.247666195163674,-41.779557351311645,319852,-65.4552985400402,-65.46574769464311,26477,-72.1877860589203,-71.47091985249071,292771,-64.90548302814467,-65.14090122824301,604,-36.83603561914725,-42.49186704378168
-0.0007894736842105,0.0021052631578947,319996,-87.34712080317186,-87.33337566458445,319996,-87.34712080317186,-87.33337566458445,0,,,0,,,319996,-87.1398171516702,-87.13546726185506,319996,-87.1398171516702,-87.13546726185506,0,,,0,,
0.0157894736842105,0.0,315612,-61.39980567015206,-63.26124907803369,0,,,298624,-62.83073987893699,-63.715635514149504,16988,-36.246091450456476,-42.20734564198748,316694,-61.9484136219273,-63.3433287363311,0,,,302278,-63.12656358231556,-63.75112906502946,14416,-37.244694578763564,-42.922038284380186
0.0028947368421052,0.0105263157894736,319794,-79.22700735598715,-79.2399578475523,273452,-81.62248894345674,-80.87420594923867,45631,-65.55228979481616,-66.5521597562787,711,-35.54459663455036,-40.952254510972146,319980,-80.26020691874939,-80.24278847366433,295740,-81.38234454113856,-80.94648643992723,24181,-66.64586343955173,-67.39534107856993,59,-35.301888700048195,-40.587627852471115
0.0010526315789473,0.0126315789473684,319775,-83.11255875899703,-83.10057763117139,287009,-85.23987875212686,-84.46879368323982,32001,-65.16975528517762,-66.22362898739865,765,-35.56702942240144,-40.94968848660457,319971,-83.72973553093742,-83.72344520958075,302193,-84.76387465189339,-84.34949107511068,17690,-66.30173781531474,-67.09100137266405,88,-35.90787428444269,-41.02445654040662
0.0084210526315789,0.0042105263157894,319795,-66.78562977164249,-66.81129476653322,65593,-72.31082206224306,-71.67035809589163,253460,-65.44565112902589,-65.86551185526295,742,-36.080843842042945,-41.655532260551894,319996,-69.07588578260174,-69.08062783051358,120507,-71.99202251017176,-71.62811233251597,199489,-67.31431051464568,-67.65258912597449,0,,
0.0213157894736842,0.0073684210526315,312831,-59.47170755445937,-61.10846534669886,17092,-72.05296690092149,-71.57233687837683,267013,-61.11633905338407,-61.39556592068844,28726,-36.698718792636996,-42.243507984724275,314340,-59.67597393877813,-61.24283949683302,13690,-71.89519395454573,-71.42922091716208,274198,-61.18574270950347,-61.53488918059804,26452,-37.701956873482146,-43.28120218660868
0.0010526315789473,0.0073684210526315,319996,-83.14088781147346,-83.08994640823805,314612,-83.40356087251826,-83.21697651978984,5384,-67.7916870162609,-68.46087389967022,0,,,319996,-83.76636030073962,-83.74794202547224,319081,-83.80946915573358,-83.76590498953946,915,-68.73333673753851,-69.05143425078336,0,,
0.0231578947368421,0.02,311296,-61.64001363824103,-63.00224678523324,84796,-76.95767394805557,-75.57533529499997,177928,-61.02137780579443,-61.34949254180424,48572,-37.164931549064725,-41.77326833232789,312690,-61.75001878532722,-63.246884525286205,81218,-76.25313311074292,-74.96180925815543,186232,-61.2543608889594,-61.67391251772076,45240,-37.75341007787289,-42.35870776949876
0.006578947368421,0.0105263157894736,318902,-72.77737632774048,-72.95765047837119,201966,-78.18197781500734,-77.24905138909202,112970,-64.40697174179483,-65.37920259560016,3966,-35.979308273516445,-41.4247563226504,319659,-73.48447053962674,-73.55557403161691,219638,-77.35715817261183,-76.55839554118054,98652,-65.37057662093785,-66.28280878376171,1369,-36.86102023496753,-42.35566836454759
-0.0026315789473684,0.0094736842105263,319996,-90.46896735684848,-90.41713468357159,318657,-90.56671195510488,-90.45367286264077,1339,-67.20757792697287,-67.65647953674181,0,,,319996,-90.22764316765158,-90.21546141912069,319828,-90.23904675725304,-90.21991914361158,168,-68.51819522092781,-68.97799367937307,0,,
0.0231578947368421,0.0178947368421052,311401,-61.014267970548104,-62.537729252242706,74040,-75.98551878377937,-74.76623914660367,190529,-61.01363139784914,-61.363403661848075,46832,-37.34775523028754,-42.15717485937088,312780,-61.28603974108354,-62.793639967145154,69612,-75.47055909598465,-74.28656270755465,200885,-61.27871103720628,-61.6940699576802,42283,-37.96838170700366,-42.83446623088417
-0.0007894736842105,0.0073684210526315,319996,-87.02404567714841,-86.97781850142655,319093,-87.07801710446321,-86.99958266145568,903,-67.9521689815028,-68.27471425805302,0,,,319996,-87.1281704138297,-87.11431015650051,319931,-87.13180802695679,-87.11562331085985,65,-69.22378263891838,-69.23421002210333,0,,
-0.0063157894736842,0.0168421052631578,319906,-96.51780457741123,-96.44877174103952,312121,-97.32040886570117,-96.85552606984064,7497,-65.47074245230776,-66.63565701893579,288,-34.88645626683405,-40.11413815783297,319988,-95.6705179435547,-95.70035339065785,316663,-95.97880395864279,-95.84584200408857,3294,-66.5954200207919,-67.50288453955318,31,-36.01239412864451,-41.6249481364758
-0.0007894736842105,0.0136842105263157,319864,-86.65839119074923,-86.60577976548612,297635,-88.29964574594369,-87.56892289775882,21785,-65.27978716606175,-66.28155169937376,444,-35.39282619639477,-40.61514332730603,319979,-86.98285472772274,-86.97860552451844,309110,-87.71092471924909,-87.3963908225195,10809,-66.44081416874188,-67.37341614596023,60,-36.73621008277599,-42.02576160016072
0.025,0.0189473684210526,310697,-60.22741885165187,-61.81178734811668,67792,-76.07465473697478,-74.67554283942232,190894,-60.886002252194224,-61.10471242694136,52011,-37.15469510473396,-41.792164514323744,312219,-60.03787235138613,-61.768332872972955,63095,-75.46400134589129,-74.25625947193599,197121,-60.952889203172305,-61.311402827718965,52003,-37.85298598426795,-42.16890507678936
-0.0044736842105263,0.0021052631578947,319996,-94.41567098088946,-94.40329638895517,319996,-94.41567098088946,-94.40329638895517,0,,,0,,,319996,-93.30111081955704,-93.29830232854809,319996,-93.30111081955704,-93.29830232854809,0,,,0,,
0.0231578947368421,0.0042105263157894,312235,-57.841454150600995,-59.99500900033644,352,-70.70105005678202,-70.58968451529421,280920,-60.16474199228167,-60.60168385367662,30963,-36.616618112622966,-42.15261531057207,313759,-58.085197389998626,-60.15950959391158,249,-70.63183106277323,-70.57128857601201,284090,-60.1749932001291,-60.70694567394923,29420,-37.799194552320536,-43.365163675295946
0.006578947368421,0.011578947368421,318689,-73.26832112218013,-73.51228187635192,204836,-78.96655564598949,-77.9560521606029,109133,-64.18893934510602,-65.1578964113679,4720,-35.907432257436625,-41.26026308571038,319506,-73.80003977660596,-73.92299790712045,219962,-78.05866707849162,-77.25595512224253,97570,-64.9534113082225,-65.89850327034122,1974,-36.530212564246355,-42.05438279059208
0.0213157894736842,0.0168421052631578,312080,-62.2206295589326,-63.5625750062245,82140,-76.04343485609314,-74.8410867570679,191423,-61.31646692475743,-61.73872453626393,38517,-37.23613691446255,-42.51936574276688,313646,-62.109586032254334,-63.52405013158367,74931,-75.31328638100373,-74.1821408003026,202676,-61.52416992784432,-62.04893035224892,36039,-37.94918545358291,-43.01350356114694
-0.01,0.011578947368421,319996,-103.2331445233061,-103.17659129214566,319951,-103.23810865953128,-103.17789376212201,45,-67.93802564842115,-68.32256254746429,0,,,319996,-101.25398275010724,-101.26772687889863,319996,-101.25398275010724,-101.26772687889863,0,,,0,,
-0.0044736842105263,0.0178947368421052,319799,-93.27330506704055,-93.18997115528754,303178,-94.90249619348269,-94.11125164834152,15966,-64.72170535097042,-65.72106099329334,655,-35.13579931787967,-40.37650401968853,319963,-92.81839028765044,-92.86539060119476,310855,-93.62456825613664,-93.2948563212123,8984,-65.71023875274408,-66.88596166038363,124,-35.8440434797869,-40.91913787567885
-0.01,0.0126315789473684,319996,-103.16230700996253,-103.10040690735633,319806,-103.18331742644999,-103.10731475687763,190,-67.79779514060571,-68.40620019275201,0,,,319996,-101.22593816063768,-101.24366758836516,319990,-101.2265267602064,-101.24394287209219,6,-69.83494216168062,-69.84907606331932,0,,
