,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ou_pop_inputs.NGF1.ou_mean,config/saveFolder,config/simLabel,logdir
0,"saveFolder                    ./exp_results/batch_oumean_ngf1_unconn
simLabel                              batch_oumean_ngf1_unconn_00000
ou_pop_inputs.NGF1.ou_mean                                     0.003
NGF1                                                        8.344371
IT2                                                         2.426036
SOM2                                                             5.2
PV2                                                        11.076923
VIP2                                                          13.875
NGF2                                                       19.454545
IT3                                                          2.41874
SOM3                                                        5.714286
PV3                                                        10.488636
VIP3                                                       14.744076
NGF3                                                           19.98
ITP4                                                        2.422939
ITS4                                                       14.176822
SOM4                                                        5.708333
PV4                                                        10.569892
VIP4                                                       14.615385
NGF4                                                       20.214286
IT5A                                                        2.668524
CT5A                                                        3.381616
SOM5A                                                       5.790698
PV5A                                                       10.712329
VIP5A                                                           15.7
NGF5A                                                         20.125
IT5B                                                        2.645435
CT5B                                                        3.471338
PT5B                                                        4.919321
SOM5B                                                       6.044643
PV5B                                                       10.626866
VIP5B                                                      15.117647
NGF5B                                                      19.583333
IT6                                                         2.763132
CT6                                                         3.533201
SOM6                                                        5.793651
PV6                                                        10.714286
VIP6                                                       15.083333
NGF6                                                       20.236842
TC                                                         10.456897
TCM                                                        10.464516
HTC                                                        10.605263
IRE                                                             10.4
IREM                                                        9.948387
TI                                                         10.764706
TIM                                                        11.019608
loss                                                             700
dtype: object",700,1743649096,,False,1,713ae_00000,2025-04-02_22-58-16,446.6370668411255,446.6370668411255,1005322,node11,10.0.0.11,446.6370668411255,1,0.003,./exp_results/batch_oumean_ngf1_unconn,batch_oumean_ngf1_unconn_00000,713ae_00000
1,"saveFolder                    ./exp_results/batch_oumean_ngf1_unconn
simLabel                              batch_oumean_ngf1_unconn_00001
ou_pop_inputs.NGF1.ou_mean                                     0.006
NGF1                                                       17.364238
IT2                                                         2.426036
SOM2                                                             5.2
PV2                                                        11.076923
VIP2                                                          13.875
NGF2                                                       19.454545
IT3                                                          2.41874
SOM3                                                        5.714286
PV3                                                        10.488636
VIP3                                                       14.744076
NGF3                                                           19.98
ITP4                                                        2.422939
ITS4                                                       14.176822
SOM4                                                        5.708333
PV4                                                        10.569892
VIP4                                                       14.615385
NGF4                                                       20.214286
IT5A                                                        2.668524
CT5A                                                        3.381616
SOM5A                                                       5.790698
PV5A                                                       10.712329
VIP5A                                                           15.7
NGF5A                                                         20.125
IT5B                                                        2.645435
CT5B                                                        3.471338
PT5B                                                        4.919321
SOM5B                                                       6.044643
PV5B                                                       10.626866
VIP5B                                                      15.117647
NGF5B                                                      19.583333
IT6                                                         2.763132
CT6                                                         3.533201
SOM6                                                        5.793651
PV6                                                        10.714286
VIP6                                                       15.083333
NGF6                                                       20.236842
TC                                                         10.456897
TCM                                                        10.464516
HTC                                                        10.605263
IRE                                                             10.4
IREM                                                        9.948387
TI                                                         10.764706
TIM                                                        11.019608
loss                                                             700
dtype: object",700,1743649065,,False,1,713ae_00001,2025-04-02_22-57-45,416.35421895980835,416.35421895980835,1005323,node11,10.0.0.11,416.35421895980835,1,0.006,./exp_results/batch_oumean_ngf1_unconn,batch_oumean_ngf1_unconn_00001,713ae_00001
2,"saveFolder                    ./exp_results/batch_oumean_ngf1_unconn
simLabel                              batch_oumean_ngf1_unconn_00002
ou_pop_inputs.NGF1.ou_mean                                     0.009
NGF1                                                       26.662252
IT2                                                         2.426036
SOM2                                                             5.2
PV2                                                        11.076923
VIP2                                                          13.875
NGF2                                                       19.454545
IT3                                                          2.41874
SOM3                                                        5.714286
PV3                                                        10.488636
VIP3                                                       14.744076
NGF3                                                           19.98
ITP4                                                        2.422939
ITS4                                                       14.176822
SOM4                                                        5.708333
PV4                                                        10.569892
VIP4                                                       14.615385
NGF4                                                       20.214286
IT5A                                                        2.668524
CT5A                                                        3.381616
SOM5A                                                       5.790698
PV5A                                                       10.712329
VIP5A                                                           15.7
NGF5A                                                         20.125
IT5B                                                        2.645435
CT5B                                                        3.471338
PT5B                                                        4.919321
SOM5B                                                       6.044643
PV5B                                                       10.626866
VIP5B                                                      15.117647
NGF5B                                                      19.583333
IT6                                                         2.763132
CT6                                                         3.533201
SOM6                                                        5.793651
PV6                                                        10.714286
VIP6                                                       15.083333
NGF6                                                       20.236842
TC                                                         10.456897
TCM                                                        10.464516
HTC                                                        10.605263
IRE                                                             10.4
IREM                                                        9.948387
TI                                                         10.764706
TIM                                                        11.019608
loss                                                             700
dtype: object",700,1743649115,,False,1,713ae_00002,2025-04-02_22-58-35,465.51716136932373,465.51716136932373,1005324,node11,10.0.0.11,465.51716136932373,1,0.009,./exp_results/batch_oumean_ngf1_unconn,batch_oumean_ngf1_unconn_00002,713ae_00002
