ou_mean,ou_std,TI_r,TI_cv,TIM_r,TIM_cv
-0.04,0.04,19.568627450980394,1.5327175324292461,19.784313725490197,1.5347435604298376
0.0066666666666666,0.04,61.31372549019608,1.3612435322769763,61.72549019607843,1.3787732394488104
-0.04,0.0,0.0,,0.0,
-0.0166666666666666,0.0266666666666666,25.215686274509803,1.3859109956603108,25.392156862745097,1.4530346455460306
0.03,0.0,69.0,0.013836311671990134,69.0,0.013836311671990134
-0.0166666666666666,0.04,40.254901960784316,1.4558936744577888,40.11764705882353,1.5030996221252877
-0.0166666666666666,0.0133333333333333,4.196078431372549,1.377145699117735,4.372549019607843,1.1830281847021293
0.0066666666666666,0.0133333333333333,41.470588235294116,1.1483910095179681,41.431372549019606,1.1556818897313825
0.0066666666666666,0.0266666666666666,52.84313725490196,1.2915731825040673,52.745098039215684,1.3102758582211231
-0.0166666666666666,0.0,0.0,,0.0,
0.03,0.0133333333333333,71.31372549019608,0.8760529911667135,71.29411764705883,0.8735688888564775
0.03,0.0266666666666666,75.52941176470588,1.123233908161857,75.43137254901961,1.1151616631211279
-0.04,0.0266666666666666,5.431372549019608,1.4303092574502376,5.215686274509804,1.2856420966139064
0.03,0.04,80.33333333333333,1.2340656377512063,80.15686274509804,1.2421736929567095
-0.04,0.0133333333333333,0.0392156862745098,,0.0196078431372549,
0.0066666666666666,0.0,33.0,0.37306336750298097,33.0,0.37306336750298097
