ou_mean,ou_std,IT5A_r,IT5A_cv
-0.0068421052631578,0.0063157894736842,0.0,
-0.0005263157894736,0.0110526315789473,0.028203342618384402,
-0.0068421052631578,0.0236842105263157,0.6664345403899722,0.7580010377279407
0.0089473684210526,0.0205263157894736,6.790389972144847,0.6076576302301803
0.0373684210526315,0.0110526315789473,4.261142061281337,0.27583045141900614
0.0468421052631579,0.0110526315789473,0.12395543175487465,0.30468237660103925
0.0405263157894736,0.0284210526315789,0.0006963788300835655,
0.0026315789473684,0.0236842105263157,5.118732590529248,0.7599268904164302
0.0247368421052631,0.0031578947368421,25.728412256267408,0.06857812014805627
0.0026315789473684,0.0268421052631578,6.060933147632312,0.8079320807242107
0.0373684210526315,0.03,0.0020891364902506965,
-0.01,0.0189473684210526,0.018454038997214484,
0.0089473684210526,0.0189473684210526,6.543175487465181,0.5724558619714513
0.0405263157894736,0.0047368421052631,58.043175487465184,0.1689614070929863
0.0342105263157894,0.0126315789473684,1.7893454038997214,0.3217349590122862
0.0121052631578947,0.0126315789473684,11.261142061281337,0.3716944352080281
0.0057894736842105,0.0284210526315789,5.911559888579387,0.8183160520155462
-0.0005263157894736,0.0252631578947368,4.117339832869081,0.8409033942745608
0.0310526315789473,0.0142105263157894,1.355849582172702,0.34750193860789147
0.0405263157894736,0.001578947368421,44.021239554317546,0.04601858611771533
0.0468421052631579,0.0189473684210526,0.0,
0.0057894736842105,0.0252631578947368,6.235376044568246,0.7300700391680824
0.0278947368421052,0.03,0.03307799442896936,0.5447383402431556
-0.0005263157894736,0.0078947368421052,0.0,
0.0405263157894736,0.0205263157894736,0.009052924791086351,0.38113001698136456
-0.0068421052631578,0.0094736842105263,0.0,
0.0057894736842105,0.0142105263157894,4.856197771587744,0.6319893594600633
0.0278947368421052,0.0173684210526315,0.21692200557103064,0.4092239422532312
0.0373684210526315,0.0268421052631578,0.0010445682451253482,
-0.01,0.0142105263157894,0.0,
-0.0068421052631578,0.0078947368421052,0.0,
0.0373684210526315,0.0047368421052631,43.39902506963789,0.15756349965734578
0.0405263157894736,0.0252631578947368,0.0,
0.0310526315789473,0.0268421052631578,0.006963788300835654,0.4283800693837944
0.0373684210526315,0.0284210526315789,0.001392757660167131,
0.0278947368421052,0.0236842105263157,0.04805013927576602,0.44909699581233153
0.0373684210526315,0.0252631578947368,0.0,
0.0436842105263157,0.0236842105263157,0.0,
0.0089473684210526,0.0110526315789473,7.58983286908078,0.43552905304582107
0.0468421052631579,0.0031578947368421,59.08495821727019,0.10288319765074261
-0.0036842105263157,0.0110526315789473,0.0010445682451253482,
0.0436842105263157,0.0268421052631578,0.001392757660167131,
0.0436842105263157,0.03,0.0017409470752089136,
0.0184210526315789,0.0252631578947368,0.6295264623955432,0.6160309101802682
0.0247368421052631,0.0236842105263157,0.07694986072423399,0.4990092861752075
0.0057894736842105,0.0126315789473684,4.130571030640668,0.6414794716430794
-0.0036842105263157,0.0252631578947368,2.1800139275766015,0.8541027600794538
0.0184210526315789,0.0,18.125,0.00035689533043653033
0.05,0.0,53.625,0.06604490930216748
0.0278947368421052,0.0252631578947368,0.023676880222841225,0.474114894675551
0.0152631578947368,0.0252631578947368,1.5435236768802227,0.632366938828478
0.0405263157894736,0.0,43.625,0.0010098581463729712
-0.0036842105263157,0.03,4.018105849582173,0.8923440480555278
0.021578947368421,0.0142105263157894,5.603760445682451,0.39515578530823303
