ou_mean,ou_std,ITS4_V_num_-200_0,ITS4_V_mean_-200_0,ITS4_V_median_-200_0,ITS4_V_num_-200_-70,ITS4_V_mean_-200_-70,ITS4_V_median_-200_-70,ITS4_V_num_-70_-50,ITS4_V_mean_-70_-50,ITS4_V_median_-70_-50,ITS4_V_num_-50_0,ITS4_V_mean_-50_0,ITS4_V_median_-50_0
-0.0068421052631578,0.001578947368421,40000,-150.91951983706676,-150.1608043479376,40000,-150.91951983706676,-150.1608043479376,0,,,0,,
0.0168421052631578,0.015,38704,-46.46773165671207,-33.902236229676824,7812,-96.8508553448254,-87.58364324799554,5594,-60.03986859837992,-59.9603023959218,25298,-27.908339756038846,-27.69471345919499
0.0273684210526315,0.0,40000,-22.772734944313218,-22.772734920514154,0,,,0,,,40000,-22.772734944313218,-22.772734920514154
0.0221052631578947,0.001578947368421,40000,-24.580595293470722,-24.595562140016238,0,,,0,,,40000,-24.580595293470722,-24.595562140016238
-0.0173684210526315,0.0094736842105263,7332,-168.57676010258868,-174.34874120826984,7208,-170.50537231724027,-174.76567103159374,106,-60.79469947809629,-60.93677297616979,18,-30.99129249078098,-34.1580161854832
0.011578947368421,0.0071052631578947,39323,-41.93325496951222,-31.720502030861912,5007,-85.03476435125923,-79.48430192080511,6732,-60.51906178588127,-60.64638488741107,27584,-29.57359324669451,-28.985067084255647
-0.0042105263157894,0.0078947368421052,37118,-116.88697947073798,-112.76323722207542,33703,-123.09816369147553,-117.48036478668108,2494,-63.11476373276275,-64.14460696657311,921,-35.2065932155734,-38.47033983257027
0.0063157894736842,0.0110526315789473,38293,-72.22558771358945,-69.13072258568344,18679,-100.21625506777255,-94.59254379427058,9287,-60.20773595620659,-60.042429536674405,10327,-32.404934451463774,-32.715728986500736
-0.0094736842105263,0.0078947368421052,27685,-146.2447015988087,-150.60085641523676,27274,-147.6493536716484,-151.12442778380424,289,-61.071712902567036,-61.527905928403044,122,-33.98661224293019,-37.22969264260896
0.0168421052631578,0.0007894736842105,40000,-26.590872098472296,-26.589571018201532,0,,,0,,,40000,-26.590872098472296,-26.589571018201532
0.0089473684210526,0.0118421052631578,38446,-62.10500865816874,-57.69220958047515,14051,-99.08514283173986,-93.4487608022996,8120,-60.23238728691104,-60.43839526034212,16275,-31.112555218031407,-31.06232487370763
-0.001578947368421,0.0078947368421052,38614,-102.6657174203604,-97.37231157227936,32158,-112.1785431452772,-105.84274292681016,4875,-62.076921306389124,-62.964603747548345,1581,-34.327280604253836,-37.705584756867346
-0.001578947368421,0.0110526315789473,37112,-101.91221245366994,-95.23381964808945,28649,-116.92657791035853,-110.00169959630846,5287,-61.49355840033566,-62.35907167654874,3176,-33.759463086952934,-35.29649491042698
0.0036842105263157,0.015,37454,-83.13181663455447,-77.57510413784156,21491,-112.45043370368766,-106.38079196008769,6645,-60.336115416048386,-60.418757047836934,9318,-31.767901112364246,-32.15413146708028
0.0036842105263157,0.0,39340,-69.71775159511633,-71.95637872494746,22075,-77.04033487479391,-77.87172100419077,15885,-62.64892808279158,-63.12491285159065,1380,-33.95125564902672,-39.43333969569483
0.0221052631578947,0.0110526315789473,39511,-30.55234141172815,-26.47697753844277,1680,-88.50470537262895,-81.58882074401518,2794,-59.35500330254545,-58.91359987957269,35037,-25.476718248293583,-25.520211069409655
0.011578947368421,0.0055263157894736,39809,-32.35676293752594,-28.979311846626718,1590,-84.24424315977573,-82.35507310948688,1800,-60.42467176297941,-60.582709022831835,36419,-28.704182431768146,-28.58578092777848
0.0221052631578947,0.0086842105263157,39901,-25.876717680533407,-25.200336492691147,419,-82.49368922830122,-80.99213934755787,518,-58.76466517561467,-57.46717348622642,38964,-24.83066317173126,-25.04924678372385
-0.02,0.0142105263157894,8114,-153.64490564593657,-158.57435976558583,7873,-156.78518233196763,-159.68247640961408,157,-60.836329102016755,-59.947993303398306,84,-32.78238383965794,-35.44798833309777
0.03,0.0031578947368421,40000,-21.95028849173143,-22.01680118525749,0,,,0,,,40000,-21.95028849173143,-22.01680118525749
-0.0068421052631578,0.015,29470,-112.49542495596381,-110.7481079848307,24085,-126.87482182020814,-122.1862547643201,2947,-61.46972440021722,-62.181434156368205,2438,-32.12010340652184,-32.9865828788717
0.0010526315789473,0.0039473684210526,39585,-84.52954126811125,-83.43262678601701,30072,-92.29329662348015,-88.60296852553483,8597,-62.78669717567483,-63.30453978442405,916,-33.71248844717418,-38.36881576010051
-0.0042105263157894,0.0142105263157894,33083,-106.94066320516542,-102.2078731073958,26070,-122.88213895816304,-115.64885819143386,3707,-61.28636079251482,-61.860505834350256,3306,-32.42349023573037,-32.86370257853832
-0.001578947368421,0.0126315789473684,36225,-99.90642161383099,-93.01698838031214,26959,-117.39384102930742,-110.83238313742788,5311,-60.7381054363656,-60.916064061394536,3955,-33.30201888227331,-34.42233107523874
-0.0147368421052631,0.0047368421052631,5042,-186.09721473680335,-189.47761292478418,5042,-186.09721473680335,-189.47761292478418,0,,,0,,
0.011578947368421,0.0118421052631578,38898,-53.7057173278305,-42.8317342444259,10888,-97.05893258595515,-88.68219152195529,6592,-59.67204296509549,-59.2879629637847,21418,-29.830480315443168,-29.483101774748718
0.011578947368421,0.0007894736842105,38248,-58.62471028536401,-61.86217350883393,20,-70.16986500193704,-70.1681216734716,34095,-61.59763630210456,-62.61477674883407,4133,-34.04382094708662,-38.99503929394052
-0.001578947368421,0.0102631578947368,37452,-102.16058838258631,-95.7344076598926,29207,-116.02902329400727,-109.39522327365148,5620,-61.88185706363042,-62.618164096858436,2625,-34.08862326055202,-36.16042997497364
-0.0121052631578947,0.0110526315789473,21171,-145.02137834861958,-152.55477968352776,20406,-148.35622710836415,-154.7403083346215,592,-62.321456922901625,-63.21413640147347,173,-34.65970027161643,-37.91466040839349
0.0194736842105263,0.0126315789473684,39210,-37.48550892581584,-28.938090207752968,4061,-94.13568786298974,-85.50349951204505,4622,-59.75077342826815,-59.48422202843785,30527,-26.578232442892606,-26.49696921729004
0.0142105263157894,0.0110526315789473,39233,-43.43328248898538,-32.01757758295953,6599,-91.32376734862031,-83.13859302432886,5424,-60.29079016584651,-60.30188054348177,27210,-28.45847796020825,-28.181255604369056
-0.0068421052631578,0.0134210526315789,30068,-116.08600891153127,-114.33232616819356,25436,-128.11632214458012,-123.75161647380148,2735,-61.7796743042829,-62.69111143005315,1897,-33.073240200404946,-34.39104137428873
0.0221052631578947,0.0,40000,-24.606145389004464,-24.606145366687812,0,,,0,,,40000,-24.606145389004464,-24.606145366687812
-0.0042105263157894,0.015,32933,-105.88860563014406,-101.15713723341604,25549,-122.73563823336272,-116.12510878624063,3869,-61.339171713552986,-61.909166184415305,3515,-32.47094527272069,-33.296293861649204
0.0168421052631578,0.0126315789473684,39193,-41.86610536846734,-31.00994196794462,5863,-94.65499705758205,-84.89243930569057,5157,-60.25172594118316,-60.28066103309803,28173,-27.51492099808524,-27.37739191341491
-0.02,0.0102631578947368,4028,-173.3121249778273,-181.07959638170593,3994,-174.22061816786936,-181.22359942688473,34,-66.59089553582578,-66.54257322590757,0,,
0.0089473684210526,0.0094736842105263,38890,-59.992938737041335,-57.4427853882177,13736,-94.26507193376823,-87.89866174141545,8728,-60.31640892232081,-60.54927102414489,16426,-31.161496549816224,-30.541326981832274
0.0089473684210526,0.0,38592,-61.64360410887451,-64.7106356712674,0,,,35392,-64.10728846264321,-65.51308281711006,3200,-34.39525515619287,-38.98762010444031
0.0273684210526315,0.0102631578947368,39867,-24.314484952951833,-23.694664890781095,436,-80.89528020499733,-79.17790410601586,455,-58.510097896751425,-58.41278038128425,38976,-23.282356704303417,-23.517158686133264
-0.0042105263157894,0.0023684210526315,40000,-121.65087371671532,-120.49552746493212,39973,-121.6861333427421,-120.50667664458565,27,-69.44965034013681,-69.43831272982851,0,,
0.0194736842105263,0.0134210526315789,39159,-38.78720693059678,-29.549158157018756,4658,-94.44904883204129,-84.87862792565826,4792,-59.65390477956124,-59.23099765698177,29709,-26.694370562184304,-26.63916589863092
0.0168421052631578,0.0055263157894736,39944,-27.056010328056487,-26.767720459378758,77,-74.48920194194692,-73.91064653661424,433,-58.785622581678766,-59.273452704265644,39434,-26.61498791440106,-26.712010397587953
0.0010526315789473,0.0086842105263157,38779,-89.63006880972705,-84.8411769879529,27846,-104.51340045716687,-97.74597955653533,7061,-61.39116370930492,-62.23831589599309,3872,-34.09124026103667,-35.330598692033206
0.0010526315789473,0.0,40000,-71.62729729031555,-71.62729731169551,40000,-71.62729729031555,-71.62729731169551,0,,,0,,
0.0036842105263157,0.0071052631578947,39078,-79.2044241468585,-75.85242328662522,23716,-95.65254438395925,-90.44064707956994,10978,-61.82522630805984,-62.4970134946588,4384,-33.74484712387715,-34.55795957927447
0.0142105263157894,0.0102631578947368,39145,-43.29577481337643,-32.485057611293115,6178,-89.70329496163991,-81.24836077681371,6178,-59.7781249578775,-59.57255842852156,26789,-28.792298809468132,-28.306897294935926
0.0221052631578947,0.0007894736842105,40000,-24.591584279674308,-24.594863308367465,0,,,0,,,40000,-24.591584279674308,-24.594863308367465
