ou_mean,ou_std,ITS4_V_num_-200_0,ITS4_V_mean_-200_0,ITS4_V_median_-200_0,ITS4_V_num_-200_-70,ITS4_V_mean_-200_-70,ITS4_V_median_-200_-70,ITS4_V_num_-70_-50,ITS4_V_mean_-70_-50,ITS4_V_median_-70_-50,ITS4_V_num_-50_0,ITS4_V_mean_-50_0,ITS4_V_median_-50_0
0.0019473684210526,0.0051315789473684,315994,-79.94852154981365,-80.45369520377099,242042,-86.08915843213423,-84.73287375600029,65577,-63.26183802537003,-64.16963861455423,8375,-33.139042530325966,-37.66300747878488
-0.0002631578947368,0.0023684210526315,319964,-87.50164206016933,-87.49101051448821,311240,-88.08756790987603,-87.78578044268482,8658,-66.85554238487454,-67.58238899589708,66,-32.810271241980075,-37.23358177027697
0.0008421052631578,0.0055263157894736,317031,-85.45341925911838,-85.79570962890661,264449,-90.60024875306894,-89.1687243466081,46264,-63.15040870191815,-64.13501575558428,6318,-33.34081520286222,-37.98721815591085
0.0023157894736842,0.0035526315789473,316091,-76.05128073042793,-77.12255397144656,226628,-82.16301985564748,-81.33897290379949,81297,-63.32255773102484,-64.29139047739619,8166,-33.15583365869302,-37.70000296421881
0.0002894736842105,0.0035526315789473,318991,-84.26916793757103,-84.47054677860844,277131,-87.45942982342797,-86.66631275879837,39819,-64.69140130249448,-65.7194658186069,2041,-33.042623573387225,-37.377211133062495
0.0008421052631578,0.0019736842105263,319376,-76.59262257951215,-76.3064710752455,250055,-79.7637216511138,-78.7021820304835,68039,-65.75926377572698,-66.69715736005416,1282,-33.02142234658752,-37.558518175288434
0.0021315789473684,0.0011842105263157,317074,-72.36767340281702,-72.85712667480252,184876,-79.91158473622096,-80.36122799680169,126055,-63.212630337221555,-63.73176319965021,6143,-33.19313359478354,-37.745177900615154
0.0008421052631578,0.0071052631578947,316221,-87.87502755535373,-87.73705586476271,262146,-93.96966118862632,-91.90239777939462,45775,-62.832427940591835,-63.903321881260986,8300,-33.494445499671045,-38.07188128783045
0.0008421052631578,0.0003947368421052,319996,-74.38603507135727,-74.37867531607765,319278,-74.39696425645293,-74.38283655751165,718,-69.52607913963102,-69.64365820637221,0,,
0.0017631578947368,0.0003947368421052,318351,-69.37915397785183,-66.18823137524288,124333,-80.1372860866548,-80.7975170944946,190492,-63.02601026439461,-63.075425936228086,3526,-33.25669588939292,-37.9885032005333
0.0002894736842105,0.0051315789473684,317991,-87.22743962807377,-87.26932992908526,273835,-91.49157501326546,-90.14836506838586,40029,-63.64337196979962,-64.62229410102545,4127,-33.04210672017151,-37.45776027596834
0.0013947368421052,0.0075,315483,-85.82126551138327,-85.70553993653756,252033,-92.8201063759477,-90.69028742490295,52943,-62.81040313579592,-63.855017477178684,10507,-33.886862459319424,-38.604344563360165
0.0002894736842105,0.0059210526315789,317411,-88.66314629611014,-88.70613180445018,272277,-93.47860170038807,-91.9073484771938,39776,-63.193434311880445,-64.20840631018369,5358,-33.03520915055979,-37.54844459955913
0.0002894736842105,0.0055263157894736,317678,-88.04398428473534,-88.16729106511119,273350,-92.58002320271683,-91.17147933286574,39487,-63.357272811795795,-64.30924614088974,4841,-33.27801396904375,-37.85274903424491
0.0017631578947368,0.001578947368421,317730,-73.0432486040012,-72.53371374768977,187992,-80.04501988261487,-80.00840943166591,125005,-64.02702141033856,-64.65597977101477,4733,-33.06786177422194,-37.57008284597824
0.0013947368421052,0.0071052631578947,315667,-85.3805350684294,-85.34906130338557,253511,-92.03144205455064,-90.04987668541767,52360,-62.844988182787255,-63.82423111491866,9796,-33.714870917107476,-38.3944086121128
0.0006578947368421,0.0011842105263157,319996,-76.68612299296899,-76.6684225074525,295571,-77.41675532478523,-77.1131521178526,24425,-67.84461924896672,-68.32286299381664,0,,
