ou_mean,ou_std,IRE_r,IRE_cv,IREM_r,IREM_cv,TI_r,TI_cv,TIM_r,TIM_cv
0.0005263157894736,0.0110526315789473,88.43145161290323,1.827859651923017,88.39193548387097,1.797023230818801,18.894607843137255,1.4457323426688526,18.84313725490196,1.4142657454463181
-0.0042105263157894,0.0071052631578947,19.559677419354838,4.748099118392659,19.821774193548386,4.746407105916624,0.3897058823529412,1.6044831743500994,0.4068627450980392,1.5117652988090873
-0.0152631578947368,0.015,0.43306451612903224,1.1062849205105745,0.660483870967742,1.05563937115945,0.0,,0.0,
-0.0168421052631578,0.0094736842105263,0.0,,0.0,,0.0,,0.0,
-0.02,0.001578947368421,0.0,,0.0,,0.0,,0.0,
-0.0026315789473684,0.0134210526315789,85.06290322580645,2.850622998314435,84.80806451612904,2.8399747143119445,10.009803921568627,1.7731330560685692,10.02450980392157,1.7848856090624132
-0.0010526315789473,0.001578947368421,9.839516129032258,4.650333378631133,9.841935483870968,4.691773446456408,0.0,,0.0,
0.0052631578947368,0.0055263157894736,79.07822580645161,0.5383383671729319,79.21612903225807,0.536420784030371,32.94117647058823,0.8346267924214626,32.96813725490196,0.8297564102170778
-0.0089473684210526,0.0102631578947368,2.0048387096774194,2.6863755098311572,2.1088709677419355,2.448010616798951,0.004901960784313725,,0.004901960784313725,
-0.0057894736842105,0.0134210526315789,47.564516129032256,3.9620082763889544,47.09112903225807,4.0234369843950155,2.5686274509803924,1.714329731773413,2.4558823529411766,1.7731211894717525
-0.0010526315789473,0.0031578947368421,39.89758064516129,3.437145125479757,39.409677419354836,3.460051502152438,0.27450980392156865,1.4180097872837527,0.25980392156862747,1.6120644415662018
-0.0121052631578947,0.0007894736842105,0.0,,0.0,,0.0,,0.0,
0.01,0.0086842105263157,128.55645161290323,0.51637032322346,128.76774193548388,0.5158918111656839,47.3921568627451,0.8641098512618545,47.49264705882353,0.8657379420300209
0.0005263157894736,0.0071052631578947,66.66048387096774,1.647585460274284,66.4241935483871,1.6360831241693412,12.634803921568627,1.3424413467324627,12.480392156862745,1.3276257615812306
0.01,0.0094736842105263,128.7725806451613,0.5612181056334984,129.0225806451613,0.5593323770616958,47.713235294117645,0.8870779509675684,47.76960784313726,0.8912979207963787
-0.0073684210526315,0.0118421052631578,17.030645161290323,4.623016425073125,17.323387096774194,4.629772630771044,0.3553921568627451,1.6766288919769892,0.39215686274509803,1.5339386837992695
-0.0089473684210526,0.0071052631578947,0.021774193548387097,0.5786922786511456,0.02338709677419355,0.5654408215927088,0.0,,0.0,
-0.0168421052631578,0.015,0.1032258064516129,1.001107154887576,0.15806451612903225,0.5898065062768246,0.0,,0.0,
-0.0105263157894736,0.0007894736842105,0.0,,0.0,,0.0,,0.0,
-0.0136842105263157,0.0023684210526315,0.0,,0.0,,0.0,,0.0,
