ou_mean,ou_std,IRE_V_num_-200_0,IRE_V_mean_-200_0,IRE_V_median_-200_0,IRE_V_num_-200_-70,IRE_V_mean_-200_-70,IRE_V_median_-200_-70,IRE_V_num_-70_-50,IRE_V_mean_-70_-50,IRE_V_median_-70_-50,IRE_V_num_-50_0,IRE_V_mean_-50_0,IRE_V_median_-50_0,IREM_V_num_-200_0,IREM_V_mean_-200_0,IREM_V_median_-200_0,IREM_V_num_-200_-70,IREM_V_mean_-200_-70,IREM_V_median_-200_-70,IREM_V_num_-70_-50,IREM_V_mean_-70_-50,IREM_V_median_-70_-50,IREM_V_num_-50_0,IREM_V_mean_-50_0,IREM_V_median_-50_0,TI_V_num_-200_0,TI_V_mean_-200_0,TI_V_median_-200_0,TI_V_num_-200_-70,TI_V_mean_-200_-70,TI_V_median_-200_-70,TI_V_num_-70_-50,TI_V_mean_-70_-50,TI_V_median_-70_-50,TI_V_num_-50_0,TI_V_mean_-50_0,TI_V_median_-50_0,TIM_V_num_-200_0,TIM_V_mean_-200_0,TIM_V_median_-200_0,TIM_V_num_-200_-70,TIM_V_mean_-200_-70,TIM_V_median_-200_-70,TIM_V_num_-70_-50,TIM_V_mean_-70_-50,TIM_V_median_-70_-50,TIM_V_num_-50_0,TIM_V_mean_-50_0,TIM_V_median_-50_0
0.0005263157894736,0.0110526315789473,302877,-77.00350500156833,-71.93382606490673,158329,-100.57369318182296,-96.78567003907001,89679,-59.92400713469612,-59.915958815219874,54869,-36.90486942978256,-40.86700995125235,302907,-75.80514491346719,-71.45479867202249,157158,-98.36226259427922,-93.48215229485928,91492,-60.02670205250722,-60.06285702471234,54257,-37.0741017992864,-41.03375492161886,318512,-74.46437965835415,-72.71816635556391,181546,-84.7221298877468,-81.89916600792279,131344,-61.86207269856204,-62.252103256772195,5622,-37.6418755995886,-43.72925094778063,318497,-73.33419460495284,-72.00035212635757,176818,-83.42266185353687,-80.939559396595,135873,-61.73565758055186,-61.975887089002,5806,-37.527342926741184,-43.6846848881802
-0.0042105263157894,0.0071052631578947,315588,-117.06971642824897,-120.67923856753454,287630,-124.22542553642302,-123.64723843359732,11729,-59.97214311606651,-59.79687224358237,16229,-31.513047908591364,-34.072773659811006,316484,-117.67307498409716,-120.7241846574091,294169,-123.37006375680829,-122.92881682129544,9046,-59.92969689638947,-59.874042151028924,13269,-30.738800200899206,-32.94245989619564,319969,-96.37825266206761,-96.357033518764,310866,-97.30147226759803,-96.84827824729278,9011,-65.11371209910943,-66.45132385205333,92,-39.06509092290861,-44.60197623788693,319966,-96.28867664992396,-96.24504000537726,313994,-96.90077978798578,-96.52831255254688,5862,-64.5926404796784,-65.91997432160551,110,-38.15641571725664,-44.547083128733995
-0.0152631578947368,0.015,65392,-169.13769012523122,-176.6802393870157,64358,-171.28334078115128,-177.14481872987776,253,-59.13285013732458,-58.41025761520623,781,-27.96155645460165,-28.201404194992527,61833,-171.07527188376207,-178.21957985276654,61515,-171.7928247731546,-178.38356498765785,65,-58.01869691473996,-57.45462616847328,253,-25.653972998402732,-23.156475779016944,261844,-167.91871740194566,-169.7721925762255,261844,-167.91871740194566,-169.7721925762255,0,,,0,,,273830,-169.06815589648645,-171.21778741977573,273830,-169.06815589648645,-171.21778741977573,0,,,0,,
-0.0168421052631578,0.0094736842105263,10276,-187.77977685890448,-190.72672472280647,10276,-187.77977685890448,-190.72672472280647,0,,,0,,,9274,-187.8537401553753,-190.52713618411792,9274,-187.8537401553753,-190.52713618411792,0,,,0,,,241624,-181.79044952527028,-183.0878112294588,241624,-181.79044952527028,-183.0878112294588,0,,,0,,,252810,-182.58184073575026,-184.20145671952054,252810,-182.58184073575026,-184.20145671952054,0,,,0,,
-0.02,0.001578947368421,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
-0.0026315789473684,0.0134210526315789,299977,-96.44919013367773,-95.992601192034,203157,-120.47278546123006,-116.91526854697413,45701,-59.505541228430076,-59.15652953843167,51119,-34.0027444414532,-37.53219007661707,300023,-96.06560326532248,-96.13990791442527,206436,-118.76960568670596,-115.26558212832771,44220,-59.44778422110112,-59.14036918793633,49367,-33.92523650766536,-37.426857698015326,319187,-89.66617261705585,-86.52593013977629,249669,-97.64062264335092,-93.43617039889179,66386,-62.13284627490017,-62.68942435975085,3132,-37.57627444824723,-43.36943214049428,319204,-89.23036103577452,-87.03582132700177,254458,-96.45334152127869,-92.79554570691047,61663,-62.012462173083094,-62.4591628300935,3083,-37.460049387942554,-43.465286012544674
-0.0010526315789473,0.001578947368421,317693,-86.33147258926384,-88.38710031251091,298860,-88.64898827949715,-88.83588715449376,10892,-60.314973125320286,-60.665026142838045,7941,-34.79627210798147,-38.196519452522075,317596,-86.1828487159688,-88.20199256425639,299393,-88.43456772194264,-88.63159123893648,10004,-61.11520925185523,-61.858243792681,8199,-34.545790153152794,-37.676602855057695,319996,-77.08629791718566,-77.06480709411233,315328,-77.20301923841063,-77.12122844926964,4668,-69.20165764742609,-69.3111582508497,0,,,319996,-77.01539180824567,-77.07021361812704,316555,-77.10774402219933,-77.10991890240273,3441,-68.51944438363114,-68.84728168758014,0,,
0.0052631578947368,0.0055263157894736,303207,-56.39227218891986,-57.99166173283143,25361,-74.66225459951296,-73.33612622075009,197981,-60.31705327085256,-60.60791726423873,79865,-40.86134991637032,-44.13723804072469,303092,-56.38651530494796,-57.930839699987466,24613,-75.13998089333845,-73.49208824953882,199105,-60.28444828994963,-60.595070267192426,79374,-40.79353781224491,-44.103111834297614,317390,-61.30824634422112,-60.78879637782576,38023,-73.75386552660865,-73.06981216343512,269590,-60.40459664997629,-60.05480540685754,9777,-37.8240633534814,-44.076166733076086,317396,-60.99324817019562,-60.540583058798056,31540,-73.5550242110155,-72.73737932763163,275990,-60.388230373034936,-59.977997919658364,9866,-37.759966750259856,-44.07983675967405
-0.0089473684210526,0.0102631578947368,242995,-158.37299450460662,-163.16535470253467,239505,-160.13716227297908,-163.6850370500893,991,-59.647433904269114,-58.99380470767979,2499,-28.44503499715144,-28.79759000157824,250248,-160.77890441167924,-164.72477467379434,248917,-161.4265821919342,-164.91498085266272,466,-60.119005343237454,-58.992001766111024,865,-28.62804075636876,-29.34020717983645,319996,-128.46705642798764,-128.33822722604012,319996,-128.46705642798764,-128.33822722604012,0,,,0,,,319992,-127.69009195314055,-127.82735255622023,319757,-127.74262197831777,-127.83986265144353,217,-57.91996822184358,-57.059916014889716,18,-35.6497357929063,-42.01293496068729
-0.0057894736842105,0.0134210526315789,285480,-120.5015759120063,-127.31237408802082,235963,-137.12941235510115,-137.20026514328606,18028,-59.16281823488257,-58.494200754562186,31489,-31.01829453696096,-33.53869944741653,288824,-122.82578986523399,-129.94765047812143,244677,-137.7082178628628,-138.4735064522999,15412,-59.029037279565706,-58.42968874096913,28735,-30.320055244544857,-32.413742277274665,319741,-107.48728458999283,-106.84506531827587,298192,-110.8184614262102,-109.25865202085976,20585,-62.50140228518759,-63.14106301780374,964,-37.67826394587661,-43.63156507215659,319791,-107.2774328364324,-107.16564829415968,302669,-109.89180133220339,-108.74666477086588,16292,-62.26422481183594,-62.92554756643105,830,-37.478501378885575,-43.62934473415895
