ou_mean,ou_std,ITP4_V_num_-200_0,ITP4_V_mean_-200_0,ITP4_V_median_-200_0,ITP4_V_num_-200_-70,ITP4_V_mean_-200_-70,ITP4_V_median_-200_-70,ITP4_V_num_-70_-50,ITP4_V_mean_-70_-50,ITP4_V_median_-70_-50,ITP4_V_num_-50_0,ITP4_V_mean_-50_0,ITP4_V_median_-50_0
0.0146052631578947,0.0205263157894736,314652,-68.43792701365973,-69.79452478759367,155012,-79.0610863405282,-77.63956509748344,132898,-62.52842878611226,-63.44707058632363,26742,-36.22804450180809,-40.15253526109417
0.026578947368421,0.0031578947368421,317533,-38.0170474873751,-32.30586121684036,56,-70.32661111147841,-70.28487839377604,66222,-59.46836607325227,-60.020057112593776,251255,-32.35603156746543,-32.0974318514414
0.0077631578947368,0.0221052631578947,316797,-75.96691956072145,-76.5771070317563,218032,-83.50712470882738,-82.11648856498024,85150,-63.05753049054228,-64.08179545046002,13615,-35.954320991050025,-40.45083052853897
0.0094736842105263,0.0142105263157894,317595,-71.42068135617436,-72.19386538435468,186843,-78.17928393953324,-77.21449180413525,121487,-63.69202108556271,-64.71427840479883,9265,-36.46484409910751,-41.8438237892535
0.03,0.0,310209,-55.63498862971062,-58.40776037745194,0,,,271257,-58.27600867716989,-59.04025390135131,38952,-37.24324558664056,-42.70952226106614
-0.0025,0.0268421052631578,318836,-89.89963662126098,-89.88755650579374,281769,-93.74119446349502,-92.36449545496534,33070,-63.74635915933081,-64.92580239991712,3997,-35.47306019333963,-40.57061691059205
0.026578947368421,0.0189473684210526,311007,-54.39740406624065,-58.583708774357916,51894,-75.08520476855928,-73.97483689674115,154031,-61.210652113737645,-61.665130678495196,105082,-34.19390451683989,-33.60571747961923
0.0077631578947368,0.0063157894736842,319881,-70.32542741370439,-70.35317800442341,170064,-73.73446999896518,-73.18858648401601,149446,-66.53179535841247,-67.17342221253989,371,-35.79097435539604,-41.32553657871516
0.0060526315789473,0.0221052631578947,317406,-77.935079081151,-78.35809507614925,233079,-84.4932415341147,-83.09096087271618,73796,-63.22410991773058,-64.1624256607171,10531,-35.872666585608805,-40.55055537007611
0.0163157894736842,0.0284210526315789,313007,-69.34731795911077,-70.70777646679888,162438,-82.27089827951428,-80.53627351692671,113473,-61.88666192828622,-62.54822595569845,37096,-35.578245328639426,-38.59582254831169
0.0163157894736842,0.001578947368421,316069,-62.865016448055215,-64.53115194777345,31570,-70.67894974268317,-70.57832262990712,270102,-63.33805017284772,-64.0487774895339,14397,-36.85590140705288,-42.36751410503387
-0.0007894736842105,0.0189473684210526,319532,-86.71382414392669,-86.73650949381539,291628,-88.97313787438792,-88.0953073987563,26336,-64.74485270825652,-65.98616829786624,1568,-35.49933890340215,-40.667292818646345
-0.0025,0.0205263157894736,319587,-89.35443549828666,-89.36733472118509,296152,-91.44780670821247,-90.58709444602673,22075,-64.6009149238171,-65.86633997373595,1360,-35.29406499789779,-40.324501208813686
0.03,0.0126315789473684,313610,-43.0165427436163,-33.9611968736466,7124,-72.33368719387128,-71.73914750557468,109119,-60.794668295797386,-61.09947429665647,197367,-32.12927881807627,-31.745706199115382
0.0282894736842105,0.0031578947368421,319996,-31.933209438571634,-31.91850919233081,0,,,0,,,319996,-31.933209438571634,-31.91850919233081
0.0128947368421052,0.0126315789473684,316505,-67.71363990141133,-68.6789345599223,139069,-75.96690604911159,-75.04747904061487,164146,-63.218572299650674,-64.13923464863669,13290,-36.86893686635358,-42.42092597071816
0.0026315789473684,0.001578947368421,319996,-80.77691693389774,-80.77220347553475,319996,-80.77691693389774,-80.77220347553475,0,,,0,,
0.0248684210526315,0.0189473684210526,311293,-57.426070400538585,-61.189016914237875,66250,-75.4918706058019,-74.38787927954556,163275,-61.4540731536992,-62.011110010660936,81768,-34.74566470245384,-34.80125764248124
0.0231578947368421,0.0221052631578947,311302,-61.42491709581469,-63.990097126976096,94838,-77.20146294381914,-75.85060395991977,157590,-61.58560604650893,-62.15150923579634,58874,-35.58092778180603,-37.67525361154375
0.0128947368421052,0.0047368421052631,317508,-65.40524909452964,-65.99659911994505,92047,-73.23582181619213,-72.8906852191844,216651,-63.251690454778746,-63.66689536139583,8810,-36.55052781755054,-41.997520401675786
0.0163157894736842,0.0078947368421052,315689,-63.62413954657305,-64.95347009359793,64747,-73.00829567427947,-72.4123793280763,234423,-62.90886495993543,-63.6257647109892,16519,-36.99303945714548,-42.52389355599653
0.0163157894736842,0.0094736842105263,315397,-64.00851318295868,-65.37331020651456,78227,-73.74907553556598,-72.9909867536696,218795,-62.779452399009905,-63.5501402238335,18375,-37.17517348590653,-42.81380024207038
0.026578947368421,0.0110526315789473,319996,-32.077154747683394,-32.001277502556114,0,,,0,,,319996,-32.077154747683394,-32.001277502556114
0.026578947368421,0.0157894736842105,314423,-44.82311360617387,-36.23924127898067,22148,-73.8770250472199,-73.05609601522313,101313,-61.253415190494984,-61.770468878879015,190962,-32.73647241573486,-32.24364847872923
0.0197368421052631,0.0142105263157894,313533,-59.54894400921333,-63.20466026217991,72483,-74.80923185315521,-73.99269012006165,178399,-62.07945897950469,-62.79998608540314,62651,-34.68816311222127,-34.12881609316283
0.0214473684210526,0.0,313716,-58.93684353970323,-61.197522844764116,0,,,291860,-60.578911279076905,-61.67783756597183,21856,-37.00904840730931,-41.854941927446006
0.0180263157894736,0.001578947368421,315348,-61.71077389107928,-63.691392686529426,1892,-70.32408815266598,-70.2465346380786,296278,-63.09424580674447,-64.09085042456074,17178,-36.90062819237301,-42.39167574144916
0.0128947368421052,0.0189473684210526,315405,-69.63932094250492,-70.73378774849726,165909,-79.13761754009562,-77.90096573099964,129166,-62.6728931801803,-63.57857843466002,20330,-36.38662631086447,-41.17945258170492
0.0163157894736842,0.0205263157894736,313951,-66.7491806899863,-68.40675435737697,140170,-78.52039905070477,-77.19456639319233,140344,-62.27947572825154,-63.110538215273436,33437,-36.16403834850243,-39.64703908925028
0.0197368421052631,0.0173684210526315,313109,-61.82673310495212,-64.61372948196828,95036,-76.12651330717011,-75.01127869799839,165452,-61.986252680287066,-62.684087552922435,52621,-35.499093111863736,-36.197685818650974
0.026578947368421,0.0252631578947368,310092,-59.430621106322704,-62.303578826031,85938,-77.45478103527729,-75.97183715933092,148922,-61.22659994289652,-61.71425350697237,75232,-35.28636046889787,-37.15556319212007
-0.0025,0.0173684210526315,319858,-89.27499197753569,-89.25722020715011,304460,-90.51688576360552,-89.97541480728967,14997,-65.52518156833904,-66.50716201504528,401,-34.58403088002018,-39.353645220845706
0.0180263157894736,0.0063157894736842,315063,-62.06065001921641,-63.64363732672831,35937,-71.98592639878831,-71.56741314930137,260115,-62.50330960065214,-63.20368341558002,19011,-37.24201584543132,-42.82044018617687
0.0146052631578947,0.0157894736842105,315167,-66.6837110590388,-68.21288437820019,135725,-76.97118820800935,-75.86013926484085,153730,-62.65948925682227,-63.47485798819492,25712,-36.44008091010902,-39.98709678045543
0.0026315789473684,0.0157894736842105,319447,-80.98622797581494,-81.04840788023863,272678,-83.92117264448129,-82.99168313389305,45002,-64.99383888417306,-66.02684378520095,1767,-35.36916602870767,-40.498866193278914
0.0231578947368421,0.0252631578947368,311065,-62.37237553097057,-64.82124697314073,108564,-78.46463867122861,-76.89901202544388,142311,-61.51685010726673,-62.069334077699224,60190,-35.36972098725472,-37.501086086573864
0.03,0.0157894736842105,316059,-38.49920920043264,-32.799961868834345,8298,-73.10796713215817,-72.47428222278072,58975,-60.7391088019049,-61.140139910069024,248786,-32.072876720653696,-31.747919987671317
0.0009210526315789,0.0236842105263157,318645,-84.82288516817813,-84.88634469853018,267833,-89.3194718940552,-87.9823970049244,46042,-63.74159166082911,-64.87472970224543,4770,-35.82720447919222,-40.400349552526194
0.0128947368421052,0.0284210526315789,314216,-72.49314716828168,-73.50403015668917,185149,-83.69702058887638,-81.83038110573429,100899,-62.207489429759846,-63.01495104454544,28168,-35.693467397244525,-39.266797724159844
0.0214473684210526,0.0031578947368421,313716,-58.82629813745807,-60.877873645870565,1428,-71.37465440215024,-71.09717999864304,288516,-60.572870738487495,-61.34712560485656,23772,-36.874708313102275,-42.29615348412324
0.0248684210526315,0.0047368421052631,315054,-44.96093343953028,-33.719108205535186,1187,-70.94367357793256,-70.71793088780421,135282,-60.899468767809374,-61.5447888264552,178585,-32.71444885894099,-32.292352430734844
0.0197368421052631,0.0078947368421052,318389,-39.63265022545628,-33.27627039280459,9844,-72.40607782091958,-71.91376902500937,60476,-61.94641711367508,-62.58479632888531,248069,-32.89231190191864,-32.71451871541701
0.0060526315789473,0.0157894736842105,318609,-75.95114313329879,-76.17804124020208,232366,-80.91071061607845,-79.8769449145694,81327,-64.17738624110058,-65.21051540195151,4916,-36.302947256207986,-41.59780755080948
0.0060526315789473,0.0236842105263157,317144,-78.34305107536323,-78.7803174427325,231893,-85.36606325568322,-83.91075416297103,73353,-63.02991558712499,-63.97677719003821,11898,-35.87180077596839,-40.477780392147125
0.0248684210526315,0.0205263157894736,311112,-58.45300940576708,-61.754272017951806,75893,-76.24140485684937,-75.08145633520493,157941,-61.312067296802944,-61.82666253922458,77278,-35.140072239470186,-35.791537250658486
0.0009210526315789,0.0173684210526315,319498,-83.92559209407288,-83.96097955681606,284488,-86.44068014437174,-85.54965014118986,33296,-64.92646167014627,-66.07914826724883,1714,-35.5490911265401,-40.64917476522939
