pop_name,ou_mean_min,ou_mean_max
VIP2,-0.03,0.03
VIP3,-0.03,0.03
VIP4,-0.03,0.04
VIP5A,-0.03,0.04
VIP5B,-0.03,0.04
VIP6,-0.03,0.04
