ou_mean,ou_std,CT5B_V_num_-200_0,CT5B_V_mean_-200_0,CT5B_V_median_-200_0,CT5B_V_num_-200_-70,CT5B_V_mean_-200_-70,CT5B_V_median_-200_-70,CT5B_V_num_-70_-50,CT5B_V_mean_-70_-50,CT5B_V_median_-70_-50,CT5B_V_num_-50_0,CT5B_V_mean_-50_0,CT5B_V_median_-50_0,CT5A_V_num_-200_0,CT5A_V_mean_-200_0,CT5A_V_median_-200_0,CT5A_V_num_-200_-70,CT5A_V_mean_-200_-70,CT5A_V_median_-200_-70,CT5A_V_num_-70_-50,CT5A_V_mean_-70_-50,CT5A_V_median_-70_-50,CT5A_V_num_-50_0,CT5A_V_mean_-50_0,CT5A_V_median_-50_0,CT6_V_num_-200_0,CT6_V_mean_-200_0,CT6_V_median_-200_0,CT6_V_num_-200_-70,CT6_V_mean_-200_-70,CT6_V_median_-200_-70,CT6_V_num_-70_-50,CT6_V_mean_-70_-50,CT6_V_median_-70_-50,CT6_V_num_-50_0,CT6_V_mean_-50_0,CT6_V_median_-50_0
0.0363157894736842,0.0157894736842105,319996,-28.194217610782445,-28.175478345630523,0,,,0,,,319996,-28.194217610782445,-28.175478345630523,319996,-28.202761448434174,-28.199735425014204,0,,,0,,,319996,-28.202761448434174,-28.199735425014204,319996,-28.218112881870947,-28.20156348366175,0,,,0,,,319996,-28.218112881870947,-28.20156348366175
0.04,0.0142105263157894,319996,-27.88570442701354,-27.892957163001398,0,,,0,,,319996,-27.88570442701354,-27.892957163001398,319996,-27.894971346841682,-27.905332547882043,0,,,0,,,319996,-27.894971346841682,-27.905332547882043,319996,-27.908077276227385,-27.906618132174152,0,,,0,,,319996,-27.908077276227385,-27.906618132174152
-0.03,0.0189473684210526,319996,-121.37228269730178,-121.38426466111964,319996,-121.37228269730178,-121.38426466111964,0,,,0,,,319996,-121.57118090284402,-121.79045650043989,319996,-121.57118090284402,-121.79045650043989,0,,,0,,,319996,-121.76855202536166,-121.71150035541211,319996,-121.76855202536166,-121.71150035541211,0,,,0,,
-0.011578947368421,0.0157894736842105,319996,-99.69940604421002,-99.69072920968893,319886,-99.71046794558431,-99.69354725881385,110,-67.53079347138124,-68.21682165902618,0,,,319996,-99.85026230406194,-100.04529362989982,319919,-99.85796118599679,-100.04818439849286,77,-67.86300763238437,-67.7162939815648,0,,,319996,-100.00192563231649,-99.93882031395057,319950,-100.00634027564165,-99.9403479212726,46,-69.29616189571823,-69.23336740341199,0,,
-0.0263157894736842,0.0173684210526315,319996,-116.80208537571345,-116.8129364034483,319996,-116.80208537571345,-116.8129364034483,0,,,0,,,319996,-116.97689523874728,-117.17994746367887,319996,-116.97689523874728,-117.17994746367887,0,,,0,,,319996,-117.15440409368807,-117.09813560037057,319996,-117.15440409368807,-117.09813560037057,0,,,0,,
0.0289473684210526,0.0173684210526315,319994,-28.80159948945724,-28.761821652244397,0,,,0,,,319994,-28.80159948945724,-28.761821652244397,319996,-28.80948606724375,-28.781456432330263,0,,,0,,,319996,-28.80948606724375,-28.781456432330263,319959,-28.838066638688318,-28.78921919138772,0,,,52,-52.997790162794495,-53.19824424420359,319907,-28.83413954230326,-28.78872745888023
0.0289473684210526,0.0157894736842105,319996,-28.824414304112803,-28.795101817943326,0,,,0,,,319996,-28.824414304112803,-28.795101817943326,319996,-28.833476607192907,-28.81591268339671,0,,,0,,,319996,-28.833476607192907,-28.81591268339671,319985,-28.850544937522358,-28.818432138071046,0,,,0,,,319985,-28.850544937522358,-28.818432138071046
0.0363157894736842,0.0110526315789473,319996,-28.24731040673212,-28.254393306935448,0,,,0,,,319996,-28.24731040673212,-28.254393306935448,319996,-28.253894134380587,-28.264871407225122,0,,,0,,,319996,-28.253894134380587,-28.264871407225122,319996,-28.26331895441483,-28.26664672561372,0,,,0,,,319996,-28.26331895441483,-28.26664672561372
0.0363157894736842,0.03,317064,-31.64164178316001,-28.703646306183916,9124,-76.85029313629643,-75.4735907897699,17584,-60.505692923315074,-60.708950357442035,290356,-28.47301702529552,-28.235230292980077,315707,-34.26817201222968,-29.298598699301234,16700,-77.03023448924182,-75.77634777566718,29548,-61.12690456533492,-61.54620741129958,269459,-28.672707496866465,-28.378068618838142,317089,-31.98833345782392,-28.78283353477021,9818,-77.25341389038044,-75.67909075573684,19428,-61.11190081063951,-61.6578061521265,287843,-28.47869373680468,-28.25825379205145
0.0178947368421052,0.0205263157894736,318115,-37.36786442304214,-30.55786177974341,31158,-78.33666664057519,-77.23887954575737,26532,-62.73229875435053,-63.66981632218595,260425,-29.882119539977282,-29.713857066820026,317073,-43.18302020878091,-31.842107793329692,56331,-77.96352428977067,-76.98919347699815,44574,-62.91245085207096,-63.99234700601909,216168,-30.051380850132805,-29.82632747267523,316736,-44.976202159074916,-32.41611414581549,62429,-78.1705061853673,-77.0949069876222,51688,-63.10474963415895,-64.1095313181562,202619,-30.124112434273428,-29.828604256341382
-0.03,0.0268421052631578,319996,-121.23991247546002,-121.25751682577082,319926,-121.25189623530568,-121.2613012882334,70,-66.4696788698648,-68.04911560520395,0,,,319996,-121.52251734193435,-121.83767281346302,319936,-121.53266384609938,-121.84088246937512,60,-67.41865139939729,-67.2799252264861,0,,,319996,-121.80328759287637,-121.72384365670914,319989,-121.80442798480594,-121.72437178676307,7,-69.67287714215941,-69.59682239580245,0,,
0.0142105263157894,0.03,313175,-69.48123342364568,-73.06013593007921,180645,-83.43035511188947,-81.84176655636315,78791,-62.80107918782859,-63.75398532983187,53739,-32.3852127500468,-32.75938219166197,313085,-69.70248178776185,-73.64908040133352,183042,-83.65138773181036,-82.24517503210221,75737,-62.61380806594052,-63.53452482129495,54306,-32.572868851052405,-33.03066203247625,313285,-70.5117604170968,-73.53527478417136,184403,-83.49481483610585,-81.8091314180795,82161,-62.88900867999113,-63.87751799774357,46721,-32.673929922112016,-33.182456511632786
0.0178947368421052,0.0142105263157894,319996,-29.737956046021058,-29.70758477559552,0,,,0,,,319996,-29.737956046021058,-29.70758477559552,319996,-29.744616543843957,-29.721508390834046,0,,,0,,,319996,-29.744616543843957,-29.721508390834046,319749,-31.35130567359678,-29.817992536556567,6319,-75.65308509444723,-74.90096171736253,6289,-63.9736677274408,-65.14331611684739,307141,-29.77188456369294,-29.721867102041767
-0.0226315789473684,0.0268421052631578,319984,-112.10209979899264,-112.12650344096997,319406,-112.18876304047907,-112.15874837348736,556,-65.51444485992272,-66.11497498736051,22,-31.28286506719031,-34.56642968292479,319984,-112.37208178809766,-112.69087866762459,319318,-112.471647315511,-112.72999519192439,638,-66.01284017233961,-67.38952542578575,28,-33.23390565504568,-37.293381263403134,319996,-112.63368608850253,-112.54903358460632,319589,-112.69247830230998,-112.57248241548571,407,-66.4682197039504,-67.22815524832028,0,,
-0.0189473684210526,0.0205263157894736,319996,-107.91447274198593,-107.92289643896706,319878,-107.92955715816042,-107.92675935757813,118,-67.02317717366405,-67.77513986685938,0,,,319996,-108.10882716796591,-108.35362949382295,319907,-108.120165440428,-108.35869788074795,89,-67.35385269006132,-67.27625559570888,0,,,319996,-108.31244765912561,-108.24049262813804,319952,-108.31784553486459,-108.24242070349855,44,-69.06105814910465,-68.96028625251256,0,,
-0.0263157894736842,0.0157894736842105,319996,-116.83530684247073,-116.84417557004758,319996,-116.83530684247073,-116.84417557004758,0,,,0,,,319996,-116.99408458921877,-117.1774549361916,319996,-116.99408458921877,-117.1774549361916,0,,,0,,,319996,-117.15504080639359,-117.10357790637502,319996,-117.15504080639359,-117.10357790637502,0,,,0,,
-0.0005263157894736,0.0142105263157894,319947,-86.2738737680581,-86.27422173944824,313377,-86.68873755766712,-86.48458845956368,6456,-67.05485449928449,-67.95731686236056,114,-34.24947554777882,-39.37245959970237,319984,-86.415002357074,-86.59591521858437,313589,-86.81583824857117,-86.80263703438253,6362,-66.92701497367122,-67.88922309687848,33,-34.44074037223893,-39.90568041587757,319983,-86.56108355005668,-86.52100162305369,314706,-86.89199631183611,-86.68073269417658,5241,-67.02511472897015,-67.85126960254865,36,-37.88833307110987,-42.99226761746817
0.0326315789473684,0.0268421052631578,318111,-30.937477605913728,-28.747213445217582,6521,-76.70131224389308,-74.9398695795071,12787,-61.03441361024705,-61.594346245583075,298803,-28.650768682771467,-28.45799611306191,318048,-30.999755173838025,-28.790610913605196,6452,-76.78205194251768,-75.21792262483979,13378,-61.051580846672294,-61.613837480602506,298218,-28.6611280534003,-28.49408211424774,318066,-31.597248080517787,-28.84669828198772,9089,-77.03699804950158,-75.58567610793045,15128,-61.34545800463507,-62.0645777297159,293849,-28.66025388553962,-28.47382233822925
0.0105263157894736,0.001578947368421,319996,-70.12252874876505,-70.12321054164721,177131,-70.76482567197758,-70.66020682315798,142865,-69.32617767393529,-69.44325382658378,0,,,319996,-70.14457514744495,-70.1633237665258,182408,-70.76873747959208,-70.67633804538659,137588,-69.31708871925143,-69.42659275932775,0,,,319996,-70.16455433604095,-70.16330595917519,182811,-70.77232126920862,-70.66622732700239,137185,-69.35465178970333,-69.46402183974148,0,,
0.0363157894736842,0.0063157894736842,319996,-28.282133103680515,-28.307825337665037,0,,,0,,,319996,-28.282133103680515,-28.307825337665037,319996,-28.28545606185347,-28.310006162134457,0,,,0,,,319996,-28.28545606185347,-28.310006162134457,319996,-28.291556512104343,-28.313642614594702,0,,,0,,,319996,-28.291556512104343,-28.313642614594702
0.0178947368421052,0.0126315789473684,319996,-29.75989532569173,-29.7317530247579,0,,,0,,,319996,-29.75989532569173,-29.7317530247579,319996,-29.76693736442693,-29.74923760345195,0,,,0,,,319996,-29.76693736442693,-29.74923760345195,319840,-30.848644125198195,-29.808760702037056,3976,-74.72187806076946,-74.21550823905994,4690,-63.8986684586476,-64.82725914336112,311174,-29.789929090356885,-29.751080419614674
-0.0005263157894736,0.0,319996,-86.77355345065267,-86.77355322447639,319996,-86.77355345065267,-86.77355322447639,0,,,0,,,319996,-86.77355321959382,-86.77355322447639,319996,-86.77355321959382,-86.77355322447639,0,,,0,,,319996,-86.77355321729497,-86.77355321845315,319996,-86.77355321729497,-86.77355321845315,0,,,0,,
0.0178947368421052,0.0,315916,-65.02258213734306,-66.12878216382313,97240,-72.34424402200986,-72.60727928719542,206776,-63.265930574000905,-63.52293207917543,11900,-35.71795877571548,-41.30632203539794,315916,-65.02258244618245,-66.12878216382357,97240,-72.34421781528874,-72.60725620204416,206776,-63.26592070150923,-63.52293207917543,11900,-35.71835266674156,-41.30632203539794,315916,-65.0225824261312,-66.12878222965335,97240,-72.34421766073689,-72.60725681475981,206776,-63.26592064146377,-63.52293220296751,11900,-35.71835444069606,-41.306305425714214
-0.0189473684210526,0.03,319875,-107.68653527104077,-107.71618338814234,317113,-108.08387125362579,-107.89132815821523,2493,-65.31409676358463,-66.60999932864128,269,-31.976809448008535,-36.44035398900807,319912,-107.91141744333672,-108.31121362733462,316968,-108.34769349891812,-108.49717605569343,2595,-64.70479982029761,-66.01815147511519,349,-32.941858550085094,-35.95124638313668,319921,-108.20762554879654,-108.1286392214703,317518,-108.55499046743309,-108.2731757986497,2177,-65.37332867287793,-66.45944747584149,226,-32.790147952564254,-35.36489589884755
0.0105263157894736,0.0157894736842105,318588,-49.55476655921505,-33.463955274338076,95277,-78.77921272333448,-77.97060367505878,43955,-64.23584860063742,-65.25310489349003,179356,-30.43232561322199,-30.307615326333064,318537,-51.779731930923404,-39.13228519059463,105887,-78.54671948683432,-77.64007739432655,49918,-64.39605440452532,-65.42382353283861,162732,-30.492845537528137,-30.338639775031943,318364,-57.53904750947291,-66.86755254920331,135768,-78.57642147618262,-77.68152289371295,60995,-64.57999183070353,-65.70008498204449,121601,-30.519001723782754,-30.318183539599932
0.04,0.0110526315789473,319996,-27.919003020565825,-27.934713227919477,0,,,0,,,319996,-27.919003020565825,-27.934713227919477,319996,-27.92577998969567,-27.946110418038835,0,,,0,,,319996,-27.92577998969567,-27.946110418038835,319996,-27.935567082070484,-27.950682144553653,0,,,0,,,319996,-27.935567082070484,-27.950682144553653
0.0031578947368421,0.0094736842105263,319996,-81.19790813419431,-81.19058424637925,314070,-81.4462491510542,-81.31613937488515,5926,-68.03616949679974,-68.61543696425717,0,,,319996,-81.32320055013896,-81.43149435271066,314473,-81.55810573045615,-81.552792123813,5523,-67.94798114584923,-68.5866090882013,0,,,319996,-81.43433031117912,-81.41403575514047,315405,-81.6282126359376,-81.50691440152467,4591,-68.11447523811255,-68.58409511678497,0,,
0.0068421052631578,0.0031578947368421,319996,-75.81146863123395,-75.80946958442644,319768,-75.8159478299222,-75.81100994534484,228,-69.52943176216843,-69.7074555875462,0,,,319996,-75.8545150337401,-75.88922885864497,319782,-75.85868135585778,-75.89064794731776,214,-69.6287448494824,-69.77258652453492,0,,,319996,-75.8931677454151,-75.88705791007138,319862,-75.89574239300262,-75.88804543587884,134,-69.74740709879713,-69.77118295728539,0,,
-0.0263157894736842,0.0236842105263157,319996,-116.67165032330567,-116.69006777190694,319953,-116.67835085967036,-116.69193101976663,43,-66.8145174982415,-67.07177822086221,0,,,319996,-116.91147437229712,-117.18959124183041,319950,-116.91842154957088,-117.19155114244485,46,-68.59083592137385,-68.57803030392301,0,,,319996,-117.15542350901218,-117.08216327124374,319996,-117.15542350901218,-117.08216327124374,0,,,0,,
0.04,0.0094736842105263,319996,-27.93176412069932,-27.952986949617035,0,,,0,,,319996,-27.93176412069932,-27.952986949617035,319996,-27.93836419220478,-27.961564927888183,0,,,0,,,319996,-27.93836419220478,-27.961564927888183,319996,-27.94623038719759,-27.963636632603013,0,,,0,,,319996,-27.94623038719759,-27.963636632603013
-0.03,0.0031578947368421,319996,-121.66539652896526,-121.66653790213167,319996,-121.66539652896526,-121.66653790213167,0,,,0,,,319996,-121.69884694129526,-121.73469425915411,319996,-121.69884694129526,-121.73469425915411,0,,,0,,,319996,-121.73118355016328,-121.72073666792457,319996,-121.73118355016328,-121.72073666792457,0,,,0,,
-0.0005263157894736,0.0157894736842105,319898,-86.22864741592227,-86.24391561593002,309379,-86.92205550073994,-86.62540016032082,10306,-66.50954548982506,-67.37073901474315,213,-33.17308205229328,-38.097375241748715,319921,-86.40055391201795,-86.62836601736714,309273,-87.10061603597188,-87.00264586948175,10451,-66.64809027546059,-67.6610352719837,197,-35.24666662295186,-39.86309907995766,319921,-86.56208109066627,-86.53332019197266,311226,-87.13470644808811,-86.82244799628538,8523,-66.70646481857536,-67.67016592500744,172,-34.31509270730632,-38.96492473963271
0.0252631578947368,0.0,312336,-61.436549593098206,-64.12395653206238,0,,,286730,-63.58191808238532,-64.73247692428451,25606,-37.413214947573955,-42.46320585514241,312332,-61.43777561330944,-64.12450703881638,0,,,286732,-63.58226088315896,-64.73251631581539,25600,-37.418535363524434,-42.46014867819544,312332,-61.43774455969091,-64.1245138034712,0,,,286732,-63.58226177109754,-64.73250442726577,25600,-37.41814654949359,-42.45884601307928
0.0252631578947368,0.0110526315789473,319996,-29.186576333341428,-29.174184085333287,0,,,0,,,319996,-29.186576333341428,-29.174184085333287,319996,-29.192459369418874,-29.190033693207585,0,,,0,,,319996,-29.192459369418874,-29.190033693207585,319996,-29.202375389356412,-29.18798292196042,0,,,0,,,319996,-29.202375389356412,-29.18798292196042
-0.0263157894736842,0.0110526315789473,319996,-116.93495704226946,-116.9388018686875,319996,-116.93495704226946,-116.9388018686875,0,,,0,,,319996,-117.04601621609784,-117.17454321689692,319996,-117.04601621609784,-117.17454321689692,0,,,0,,,319996,-117.1576834552847,-117.11977644199987,319996,-117.1576834552847,-117.11977644199987,0,,,0,,
-0.0078947368421052,0.001578947368421,319996,-96.07848442902818,-96.0760005636975,319996,-96.07848442902818,-96.0760005636975,0,,,0,,,319996,-96.09412373503163,-96.11331649091596,319996,-96.09412373503163,-96.11331649091596,0,,,0,,,319996,-96.1090254820548,-96.10088889678688,319996,-96.1090254820548,-96.10088889678688,0,,,0,,
0.0252631578947368,0.0284210526315789,313470,-46.40307055304997,-35.09928591816844,65315,-79.1953473463642,-77.7340087072483,59756,-62.082609651522894,-62.98909214109128,188399,-30.06129539965919,-29.616205526090326,313187,-47.40551232121421,-36.78551194062306,68906,-78.97501133877832,-77.51181937758338,63453,-62.10505855786553,-62.96919441113205,180828,-30.2175867418874,-29.84428386746561,312562,-49.99542985794081,-46.365109685854605,77017,-79.37794200768582,-77.67123250221184,74026,-62.1015835727334,-62.97418115573312,161519,-30.436597317322377,-29.929941949378293
