ou_mean,ou_std,IRE_r,IRE_cv,IREM_r,IREM_cv
-0.0068421052631578,0.04,97.9483870967742,1.3550229366622752,98.45806451612903,1.3879555035089
0.0042105263157894,0.0126315789473684,77.04516129032258,1.0254878118656223,77.45161290322581,1.0446970921012386
-0.0068421052631578,0.0126315789473684,36.619354838709675,1.2702898976324046,37.651612903225804,1.2872284459138998
-0.0178947368421052,0.0231578947368421,40.980645161290326,1.4314196508698267,42.354838709677416,1.4740683202628562
0.0042105263157894,0.0147368421052631,82.49032258064516,1.0652120473348337,82.76129032258065,1.0788063987442333
-0.0068421052631578,0.0105263157894736,30.56774193548387,1.3070003601613878,31.73548387096774,1.3452977505137853
0.0005263157894736,0.0231578947368421,87.12258064516129,1.2113079241730742,87.51612903225806,1.2394413514181106
-0.0178947368421052,0.0021052631578947,0.0,,0.0,
-0.04,0.0357894736842105,36.251612903225805,1.654757198750779,37.3741935483871,1.6660379209267595
-0.0105263157894736,0.0,0.0,,0.0,
-0.0289473684210526,0.04,55.038709677419355,1.495601762879765,56.92258064516129,1.5156347504060759
-0.0252631578947368,0.0378947368421052,56.8,1.458119770079905,58.883870967741935,1.49776322064864
-0.0289473684210526,0.0084210526315789,0.23870967741935484,0.7467817683317882,0.14838709677419354,0.4801475593764723
-0.0031578947368421,0.0,0.0,,0.0,
-0.0252631578947368,0.0210526315789473,27.89677419354839,1.6811888237375332,29.2,1.6975122251319985
-0.021578947368421,0.04,66.46451612903226,1.4399875316039825,68.12258064516129,1.4757035221116146
0.0005263157894736,0.0021052631578947,18.251612903225805,0.8825862080440937,18.8,0.8772580785166555
-0.0031578947368421,0.0147368421052631,52.66451612903226,1.1820721002170942,53.193548387096776,1.221937082848905
-0.0289473684210526,0.0294736842105263,37.83870967741935,1.5560978849463671,39.10322580645161,1.5915509063715567
-0.0068421052631578,0.0042105263157894,10.23225806451613,1.891799235186338,11.148387096774194,1.9705927299984627
-0.0289473684210526,0.0357894736842105,48.43225806451613,1.5037143571851501,49.94838709677419,1.5443825400047617
0.011578947368421,0.0189473684210526,124.87741935483871,0.9935486273084735,124.8258064516129,1.0140470940174877
-0.0031578947368421,0.0336842105263157,96.41290322580645,1.3036062194806497,96.83225806451613,1.3365568302067463
-0.0105263157894736,0.0231578947368421,54.729032258064514,1.319433425704473,55.73548387096774,1.3494764162916715
-0.0178947368421052,0.0252631578947368,45.348387096774196,1.4298976585179164,46.961290322580645,1.4516475592538307
-0.0068421052631578,0.0084210526315789,24.87741935483871,1.415298034958346,25.93548387096774,1.4260770010332768
-0.0363157894736842,0.0042105263157894,0.0,,0.0,
-0.0326315789473684,0.0357894736842105,43.92258064516129,1.5532318011147657,45.27741935483871,1.5946434530237532
-0.0252631578947368,0.0063157894736842,0.03870967741935484,0.569750904287475,0.0,
-0.0252631578947368,0.04,60.60645161290323,1.4730425425609792,62.30967741935484,1.4918360608472627
-0.0326315789473684,0.0063157894736842,0.0,,0.0,
