ou_mean,ou_std
-0.04,0.0
-0.04,0.005555555555555556
-0.04,0.011111111111111112
-0.04,0.016666666666666666
-0.04,0.022222222222222223
-0.04,0.02777777777777778
-0.04,0.03333333333333333
-0.04,0.03888888888888889
-0.04,0.044444444444444446
-0.04,0.05
-0.027777777777777776,0.0
-0.027777777777777776,0.005555555555555556
-0.027777777777777776,0.011111111111111112
-0.027777777777777776,0.016666666666666666
-0.027777777777777776,0.022222222222222223
-0.027777777777777776,0.02777777777777778
-0.027777777777777776,0.03333333333333333
-0.027777777777777776,0.03888888888888889
-0.027777777777777776,0.044444444444444446
-0.027777777777777776,0.05
-0.015555555555555552,0.0
-0.015555555555555552,0.005555555555555556
-0.015555555555555552,0.011111111111111112
-0.015555555555555552,0.016666666666666666
-0.015555555555555552,0.022222222222222223
-0.015555555555555552,0.02777777777777778
-0.015555555555555552,0.03333333333333333
-0.015555555555555552,0.03888888888888889
-0.015555555555555552,0.044444444444444446
-0.015555555555555552,0.05
-0.003333333333333327,0.0
-0.003333333333333327,0.005555555555555556
-0.003333333333333327,0.011111111111111112
-0.003333333333333327,0.016666666666666666
-0.003333333333333327,0.022222222222222223
-0.003333333333333327,0.02777777777777778
-0.003333333333333327,0.03333333333333333
-0.003333333333333327,0.03888888888888889
-0.003333333333333327,0.044444444444444446
-0.003333333333333327,0.05
0.008888888888888898,0.0
0.008888888888888898,0.005555555555555556
0.008888888888888898,0.011111111111111112
0.008888888888888898,0.016666666666666666
0.008888888888888898,0.022222222222222223
0.008888888888888898,0.02777777777777778
0.008888888888888898,0.03333333333333333
0.008888888888888898,0.03888888888888889
0.008888888888888898,0.044444444444444446
0.008888888888888898,0.05
0.021111111111111122,0.0
0.021111111111111122,0.005555555555555556
0.021111111111111122,0.011111111111111112
0.021111111111111122,0.016666666666666666
0.021111111111111122,0.022222222222222223
0.021111111111111122,0.02777777777777778
0.021111111111111122,0.03333333333333333
0.021111111111111122,0.03888888888888889
0.021111111111111122,0.044444444444444446
0.021111111111111122,0.05
0.03333333333333335,0.0
0.03333333333333335,0.005555555555555556
0.03333333333333335,0.011111111111111112
0.03333333333333335,0.016666666666666666
0.03333333333333335,0.022222222222222223
0.03333333333333335,0.02777777777777778
0.03333333333333335,0.03333333333333333
0.03333333333333335,0.03888888888888889
0.03333333333333335,0.044444444444444446
0.03333333333333335,0.05
0.04555555555555558,0.0
0.04555555555555558,0.005555555555555556
0.04555555555555558,0.011111111111111112
0.04555555555555558,0.016666666666666666
0.04555555555555558,0.022222222222222223
0.04555555555555558,0.02777777777777778
0.04555555555555558,0.03333333333333333
0.04555555555555558,0.03888888888888889
0.04555555555555558,0.044444444444444446
0.04555555555555558,0.05
0.057777777777777796,0.0
0.057777777777777796,0.005555555555555556
0.057777777777777796,0.011111111111111112
0.057777777777777796,0.016666666666666666
0.057777777777777796,0.022222222222222223
0.057777777777777796,0.02777777777777778
0.057777777777777796,0.03333333333333333
0.057777777777777796,0.03888888888888889
0.057777777777777796,0.044444444444444446
0.057777777777777796,0.05
0.07,0.0
0.07,0.005555555555555556
0.07,0.011111111111111112
0.07,0.016666666666666666
0.07,0.022222222222222223
0.07,0.02777777777777778
0.07,0.03333333333333333
0.07,0.03888888888888889
0.07,0.044444444444444446
0.07,0.05
