ou_mean,ou_std,VIP2_r,VIP2_cv,VIP3_r,VIP3_cv,VIP4_r,VIP4_cv,VIP5A_r,VIP5A_cv,VIP5B_r,VIP5B_cv,VIP6_r,VIP6_cv
0.0123684210526315,0.0184210526315789,56.0078125,0.5852690587875734,55.77725118483412,0.585154729169946,55.375,0.5944696629737936,55.5,0.5856482987870308,55.69117647058823,0.5996278057639709,56.1875,0.5968873973858887
-0.01,0.0210526315789473,0.7265625,0.9837967504241534,0.6812796208530806,0.9132243824696136,0.5961538461538461,0.6671712267906756,0.5625,0.9213401002064581,0.6544117647058824,1.0583928881505185,0.7395833333333334,0.8837058262291777
0.0110526315789473,0.0144736842105263,52.7734375,0.5349885436761099,52.704383886255926,0.5378870831223088,52.51923076923077,0.5466266818875679,52.45,0.5382724449365148,52.43382352941177,0.5490373875826817,52.84375,0.5482106939977598
-0.0047368421052631,0.0013157894736842,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.0057894736842105,0.0013157894736842,30.7109375,0.12139293939369994,30.69312796208531,0.11995786785200764,30.625,0.12266554656238954,30.6625,0.11917181580189833,30.639705882352942,0.12231830484478949,30.739583333333332,0.12152979886598937
0.0084210526315789,0.0013157894736842,47.515625,0.07682083469982892,47.46090047393365,0.07695504929327796,47.43269230769231,0.07618430033017663,47.4375,0.07728981183351927,47.419117647058826,0.07872194954282946,47.479166666666664,0.07842819184333293
-0.0007894736842105,0.0223684210526315,13.6015625,1.0465171615408222,12.953199052132701,1.0431802871889397,12.76923076923077,1.034897867892646,12.9,1.007065995834645,13.044117647058824,1.1021920972663053,13.291666666666666,1.0595583625319718
0.0005263157894736,0.0210526315789473,15.8125,1.0098599056160245,15.28021327014218,1.0013537070796898,14.875,0.9800271461961122,15.25,0.9924899891828396,15.382352941176471,1.0302425445839483,15.791666666666666,1.0075892078126774
0.0136842105263157,0.025,58.109375,0.6600963732884733,57.87559241706161,0.6624222514985567,57.50961538461539,0.6671877920873391,57.4,0.6685799653003714,57.794117647058826,0.6751380651814874,58.15625,0.6679770894650705
0.0071052631578947,0.0118421052631578,35.71875,0.613593950379113,35.57642180094787,0.6190303548211771,35.35576923076923,0.6267338165611863,35.375,0.6110813959139589,35.5514705882353,0.6333470394713432,35.854166666666664,0.6213827196349514
