ou_mean,ou_std,VIP2_V_num_-200_0,VIP2_V_mean_-200_0,VIP2_V_median_-200_0,VIP2_V_num_-200_-70,VIP2_V_mean_-200_-70,VIP2_V_median_-200_-70,VIP2_V_num_-70_-50,VIP2_V_mean_-70_-50,VIP2_V_median_-70_-50,VIP2_V_num_-50_0,VIP2_V_mean_-50_0,VIP2_V_median_-50_0,VIP3_V_num_-200_0,VIP3_V_mean_-200_0,VIP3_V_median_-200_0,VIP3_V_num_-200_-70,VIP3_V_mean_-200_-70,VIP3_V_median_-200_-70,VIP3_V_num_-70_-50,VIP3_V_mean_-70_-50,VIP3_V_median_-70_-50,VIP3_V_num_-50_0,VIP3_V_mean_-50_0,VIP3_V_median_-50_0,VIP4_V_num_-200_0,VIP4_V_mean_-200_0,VIP4_V_median_-200_0,VIP4_V_num_-200_-70,VIP4_V_mean_-200_-70,VIP4_V_median_-200_-70,VIP4_V_num_-70_-50,VIP4_V_mean_-70_-50,VIP4_V_median_-70_-50,VIP4_V_num_-50_0,VIP4_V_mean_-50_0,VIP4_V_median_-50_0,VIP5A_V_num_-200_0,VIP5A_V_mean_-200_0,VIP5A_V_median_-200_0,VIP5A_V_num_-200_-70,VIP5A_V_mean_-200_-70,VIP5A_V_median_-200_-70,VIP5A_V_num_-70_-50,VIP5A_V_mean_-70_-50,VIP5A_V_median_-70_-50,VIP5A_V_num_-50_0,VIP5A_V_mean_-50_0,VIP5A_V_median_-50_0,VIP5B_V_num_-200_0,VIP5B_V_mean_-200_0,VIP5B_V_median_-200_0,VIP5B_V_num_-200_-70,VIP5B_V_mean_-200_-70,VIP5B_V_median_-200_-70,VIP5B_V_num_-70_-50,VIP5B_V_mean_-70_-50,VIP5B_V_median_-70_-50,VIP5B_V_num_-50_0,VIP5B_V_mean_-50_0,VIP5B_V_median_-50_0,VIP6_V_num_-200_0,VIP6_V_mean_-200_0,VIP6_V_median_-200_0,VIP6_V_num_-200_-70,VIP6_V_mean_-200_-70,VIP6_V_median_-200_-70,VIP6_V_num_-70_-50,VIP6_V_mean_-70_-50,VIP6_V_median_-70_-50,VIP6_V_num_-50_0,VIP6_V_mean_-50_0,VIP6_V_median_-50_0
0.0123684210526315,0.0184210526315789,295489,-52.76243415475363,-53.961236865108134,33413,-78.58447506564958,-76.30706706721313,149861,-58.664556636566225,-58.18309192704409,112215,-37.191522688348236,-41.287990328055606,295462,-52.39610703784172,-53.432803832371896,32185,-77.96934209606167,-76.10934120156713,148357,-58.47127801768803,-57.87647608939824,114920,-37.39115827865386,-41.545732177520854,295642,-52.56389935296855,-53.53331698052499,32567,-78.32824809327217,-75.91743281086057,149110,-58.49593349165098,-57.89404572438045,113965,-37.44001784685346,-41.64069715960652,295613,-52.56110716944246,-53.63368468351955,32269,-78.47618909507453,-75.89692651214818,149638,-58.524005850924596,-57.94998526198892,113706,-37.359358699196,-41.50291070678829,295327,-52.22218707333602,-53.33819697336759,30400,-78.20829960890724,-75.75394331379971,148450,-58.49231694760631,-57.91308393298698,116477,-37.448638639595565,-41.58932457098271,295583,-52.7442027855046,-53.683347871761214,34059,-79.28580866850878,-76.79374592525386,147768,-58.52124414027167,-57.95767129078813,113756,-37.2932164491315,-41.39998833555495
-0.01,0.0210526315789473,317969,-121.23945278014466,-121.16087229202357,302234,-124.51981104518636,-123.07568173445281,13114,-61.80500159913034,-62.4999878105108,2621,-40.349560720329436,-44.5804591353878,318785,-122.08657262799026,-121.91572907515558,306603,-124.57316634149224,-123.36632115329445,10615,-62.44381990779218,-63.50507410897097,1567,-39.579060046024956,-43.95779042528657,317440,-122.05968321548562,-121.6231205688591,307624,-124.0693209004328,-122.79328295814338,8326,-62.783747220429774,-64.10205978407802,1490,-38.38093147095642,-42.33399459859798,317773,-122.31671008112279,-122.81044905486284,305904,-124.74523216101436,-124.1694514192815,10380,-62.57559591850091,-63.46605859223398,1489,-39.85743988694293,-43.69608801638278,317570,-121.66297379215783,-121.94692981304489,305142,-124.21887424016153,-123.32590392284263,10570,-62.33270213000032,-62.96878294377865,1858,-39.4285265178065,-43.85617186578767,317455,-121.80503046075616,-121.8768763998739,303259,-124.73639589817112,-123.55706437613708,11952,-62.76273817113341,-63.69850874007386,2244,-40.12522932909859,-44.05157811393975
0.0110526315789473,0.0144736842105263,296977,-51.62111454111248,-53.309957034079495,19324,-76.17427212818545,-74.3827128142687,163638,-58.18112931704349,-57.586813466294174,114015,-38.044542027702825,-42.153489208684036,296976,-51.48696892241443,-53.196664922049074,18778,-75.42414705626332,-73.96041624968109,163660,-58.110247574750204,-57.41674714599078,114538,-38.09876487451168,-42.22842464690844,297244,-51.68556129930603,-53.28509170365756,18914,-76.10592581147961,-74.11098233828423,165376,-58.167016638037424,-57.53226545236595,112954,-38.10690155745282,-42.252896101426884,297058,-51.570409570693194,-53.22955415526274,17900,-76.4075641431728,-74.50421122705792,164454,-58.229022965256696,-57.60560090089526,114704,-38.14785522178705,-42.27054023100554,296845,-51.339363812933705,-53.03937295489535,17009,-76.17831050369202,-74.43108555663046,163842,-58.07030416835257,-57.43957733595143,115994,-38.18957697934192,-42.33478281961604,297208,-51.74766174188037,-53.39146734262391,20154,-76.71113311940537,-74.99788120017355,163658,-58.13937333064745,-57.49446894659573,113396,-38.086081639080604,-42.234301265844806
-0.0047368421052631,0.0013157894736842,319996,-95.02113434024967,-95.01831710584774,319996,-95.02113434024967,-95.01831710584774,0,,,0,,,319996,-95.07681641325357,-95.06417363008207,319996,-95.07681641325357,-95.06417363008207,0,,,0,,,319996,-95.09164843944582,-95.05180726445556,319996,-95.09164843944582,-95.05180726445556,0,,,0,,,319996,-95.11227558769998,-95.13449167850848,319996,-95.11227558769998,-95.13449167850848,0,,,0,,,319996,-95.06102142837821,-95.06815979021835,319996,-95.06102142837821,-95.06815979021835,0,,,0,,,319996,-95.06963329863869,-95.06765986696422,319996,-95.06963329863869,-95.06765986696422,0,,,0,,
0.0057894736842105,0.0013157894736842,307206,-50.634899237692544,-52.3685533739409,0,,,194265,-55.55936408911235,-55.594849479687355,112941,-42.16453715163815,-45.580915530182985,307183,-50.60350882395206,-52.35576764013013,0,,,193959,-55.52694950509889,-55.55730219150605,113224,-42.16938150929653,-45.59929313018351,307235,-50.635710220692424,-52.3255107159924,324,-76.10621990573246,-76.92055265191388,193426,-55.53857346369581,-55.584390578326975,113485,-42.206458154083386,-45.62052014032713,307199,-50.58931279543352,-52.35258243814446,0,,,193330,-55.5268714317619,-55.563346172149664,113869,-42.20618647341997,-45.60833407172668,307163,-50.58680017439615,-52.35500779933094,0,,,193316,-55.54058265843697,-55.55587844524724,113847,-42.17511242957342,-45.57235495956284,307201,-50.60437385424925,-52.33818976285845,0,,,193626,-55.53699702980955,-55.58787009568995,113575,-42.1950928065624,-45.61042727831335
0.0084210526315789,0.0013157894736842,300005,-48.64013859934967,-51.044443251431964,0,,,165197,-55.218209719310806,-55.4520208882443,134808,-40.5792103547038,-44.33297102245565,300028,-48.634423352627145,-51.05829770938158,0,,,165248,-55.21013868497017,-55.43787280037201,134780,-40.57221970788,-44.322577326198726,300073,-48.628149097400275,-51.026028421044956,0,,,165025,-55.2070560755986,-55.43859398333852,135048,-40.58890287326384,-44.34734066569035,300015,-48.63222528652727,-51.0066823110724,0,,,164882,-55.212292749649855,-55.455033717085975,135133,-40.60358177639595,-44.36308282890192,300029,-48.643617329607,-51.036769397914554,25,-70.22812542597653,-70.20455036761156,165079,-55.22706822273003,-55.46870339201283,134925,-40.58485058742971,-44.33384548783679,300067,-48.64056506140571,-51.01749544818849,0,,,164925,-55.21475364363918,-55.448075317001326,135142,-40.61753704698491,-44.369447243253965
-0.0007894736842105,0.0223684210526315,313774,-81.9965256297813,-79.65317883306975,201963,-97.23057813238795,-93.1450466502905,80775,-60.79730532497267,-61.18140050800547,31036,-38.03635275109091,-42.25743322037804,314299,-81.93758077815708,-79.797166532561,203602,-96.57335136978892,-92.82030101992103,82206,-60.84214774333718,-61.1615191290702,28491,-38.21496676190514,-42.55707174712901,314161,-82.0305677971531,-79.5392898275239,203770,-96.5607318882935,-92.35543526832737,82680,-61.01062906074525,-61.35181185821405,27711,-37.900691498012655,-42.12669228791507,314360,-82.26857547643618,-80.40483930508871,207739,-96.37570722530363,-92.1972352973202,78023,-60.81444595883437,-61.119264403000884,28598,-38.32543626998388,-42.545704127677084,314111,-81.51964377369939,-79.60264054177848,203087,-96.14871584267988,-91.92995833965968,80810,-60.87397367007862,-61.18604905527327,30214,-38.40725355064207,-42.58839659780979,313847,-82.55805527423279,-80.12191977187327,205831,-97.15839457534628,-92.77200159036991,78886,-60.992841035528336,-61.40893596487153,29130,-37.7929008542859,-41.96572163030872
0.0005263157894736,0.0210526315789473,312785,-77.00513554836388,-74.76524603170884,181900,-93.20008660357995,-89.63379007165267,94291,-60.78903647254025,-61.08012850585258,36594,-38.28760264719656,-42.48218916893798,313156,-76.64875578949231,-74.66490529191974,180433,-92.72349844773835,-89.12719543716409,97389,-60.728240830082086,-60.98803617639016,35334,-38.443881994470686,-42.62329675952314,313339,-76.7232406713136,-74.29298469273498,180211,-92.69196620069398,-88.60872765238352,99356,-60.80047104481718,-61.13549931007073,33772,-38.356626394250064,-42.65096839418029,313344,-76.9095227841971,-75.07330600992776,184825,-92.31445361824015,-88.30654081478593,94056,-60.74884512915393,-60.991528460226036,34463,-38.398434257972916,-42.65835895877757,313131,-76.41947119429551,-74.4541583317992,180864,-92.21446194914216,-88.19614192866923,96951,-60.78959511115865,-61.06290694783224,35316,-38.436316484011606,-42.73731144106146,312945,-77.31372956601624,-75.12832965957045,183407,-93.27998090741995,-89.09262277676999,94725,-60.810984104163765,-61.19066626915997,34813,-38.10137510363559,-42.39233447436799
0.0136842105263157,0.025,294354,-55.45793492491216,-55.347341982190855,59734,-82.8713358089157,-79.31254051298735,126211,-59.131094545851745,-58.75829271712146,108409,-36.07665442861132,-40.05273690573824,294278,-54.96353761887053,-54.81994750082248,57206,-82.32915796069585,-79.4264426798631,126192,-58.94056585028748,-58.497906266645685,110880,-36.31863480633965,-40.34429808431279,294456,-55.02687291242917,-54.67599469178835,56239,-83.09420921573091,-79.74948915635252,127445,-58.86531422243974,-58.385369354832854,110772,-36.360882597948255,-40.439750185214464,294540,-55.10957195503852,-55.0038321213293,56104,-82.83371781694383,-79.13858423740419,129126,-59.004379365938945,-58.5696834296057,109310,-36.27912294601587,-40.32389118149713,294106,-54.683855339552274,-54.663991030956495,54111,-82.47863541597452,-79.08682400375972,127670,-59.04394813688758,-58.62399690488567,112325,-36.33837221334633,-40.390991115369545,294415,-55.3718976992773,-55.05566274797982,57649,-83.60217202880084,-79.98433032751689,127234,-59.052259716386786,-58.63918168938726,109532,-36.238546115195845,-40.317412711943774
0.0071052631578947,0.0118421052631578,304639,-54.866698786551474,-56.07354118647016,27661,-76.02533706449402,-74.3784303274307,189836,-58.90414108144972,-58.59854903824971,87142,-39.35499388076009,-43.40051634728399,304550,-54.821531719322984,-56.08110389463797,28167,-75.4902721662882,-74.09906638125148,189192,-58.912171378111246,-58.56448569934474,87191,-39.268404556024734,-43.330700782604865,304687,-54.908582845262615,-56.27784673861938,26722,-75.92156740880304,-74.32752222791933,192596,-58.97166059050776,-58.659726857107685,85369,-39.1646770371805,-43.215147018207155,304648,-54.74590791442125,-56.01853118596967,26492,-76.2371177624377,-74.61430393749572,191387,-58.76870138675998,-58.39497440057577,86769,-39.31118461941793,-43.32533208741148,304447,-54.641527166357385,-55.957483626579396,25624,-75.82744495696134,-74.2073094676658,190571,-58.860014053121,-58.51305174308704,88252,-39.380805347431306,-43.442097344255984,304553,-55.00208903656973,-56.14855653143445,29266,-76.78815965218143,-75.06469479549787,188772,-58.85786183547701,-58.50081487335858,86515,-39.219241143928976,-43.26630351797677
