ou_mean,ou_std,CT5B_r,CT5B_cv,CT5A_r,CT5A_cv,CT6_r,CT6_cv
0.0363157894736842,0.0157894736842105,0.0007961783439490446,,0.00034818941504178273,,0.0013627353815659068,
0.04,0.0142105263157894,0.0,,0.0,,0.0001238850346878097,
-0.03,0.0189473684210526,0.0,,0.0,,0.0,
-0.011578947368421,0.0157894736842105,0.0,,0.0,,0.0002477700693756194,
-0.0263157894736842,0.0173684210526315,0.0,,0.0,,0.0,
0.0289473684210526,0.0173684210526315,0.049628450106157115,0.7681114288605617,0.05222841225626741,0.8106259615190496,0.049182358771060454,0.7667982920221831
0.0289473684210526,0.0157894736842105,0.007961783439490446,,0.007311977715877437,,0.010654112983151635,0.5066357234016874
0.0363157894736842,0.0110526315789473,0.0,,0.0,,0.0,
0.0363157894736842,0.03,9.929670912951167,1.655546055155752,10.286908077994429,1.6700229694839186,10.088949454905848,1.6593123445146438
0.0178947368421052,0.0205263157894736,6.304670912951168,1.8133206853795298,6.370125348189415,1.8444948051851893,6.360505450941527,1.7975067317467863
-0.03,0.0268421052631578,0.0007961783439490446,,0.00034818941504178273,,0.0007433102081268583,
0.0142105263157894,0.03,17.927016985138003,0.6919311764305534,17.91991643454039,0.6851057311851081,17.89928146679881,0.6863392256122137
0.0178947368421052,0.0142105263157894,0.06475583864118896,0.6064338589736332,0.05013927576601671,0.4983031736367341,0.06974727452923687,0.6766989767269537
-0.0226315789473684,0.0268421052631578,0.013535031847133758,,0.012534818941504178,,0.011025768087215065,
-0.0189473684210526,0.0205263157894736,0.0005307855626326964,,0.0,,0.0007433102081268583,
-0.0263157894736842,0.0157894736842105,0.0,,0.0,,0.0,
-0.0005263157894736,0.0142105263157894,0.04193205944798301,,0.03168523676880223,,0.034935579781962336,
0.0326315789473684,0.0268421052631578,6.3256369426751595,1.7183444807006547,6.349233983286908,1.7007736733751524,6.219152626362735,1.6788406193400787
0.0105263157894736,0.001578947368421,0.0,,0.0,,0.0,
0.0363157894736842,0.0063157894736842,0.0,,0.0,,0.0,
0.0178947368421052,0.0126315789473684,0.007961783439490446,0.4907517659266804,0.01532033426183844,0.38938023826577345,0.023662041625371655,0.37791464686936405
-0.0005263157894736,0.0,0.0,,0.0,,0.0,
0.0178947368421052,0.0,10.625,5.45754715898616e-15,10.625,5.457547158986159e-15,10.625,5.457547158986159e-15
-0.0189473684210526,0.03,0.1602972399150743,0.7731663112274848,0.14832869080779945,0.988553987369218,0.1595639246778989,0.8785466132015434
0.0105263157894736,0.0157894736842105,3.403131634819533,1.2601434954658397,3.5647632311977717,1.2785360447596577,3.467913776015857,1.3083323716104522
0.04,0.0110526315789473,0.0,,0.0,,0.0,
0.0031578947368421,0.0094736842105263,0.0023885350318471337,,0.002785515320334262,,0.0013627353815659068,
0.0068421052631578,0.0031578947368421,0.0,,0.0,,0.0,
