ou_mean,ou_std,IT2_r,IT2_cv,IT3_r,IT3_cv
0.0211111111111111,0.0111111111111111,23.071005917159763,0.48514975256373355,17.91571396547859,0.4623992978560987
0.0088888888888888,0.0166666666666666,12.467455621301776,0.6547667595949616,9.050661286707017,0.6234102516878373
0.0088888888888888,0.0444444444444444,22.056213017751478,0.709883602848043,18.546962564447433,0.6977859610266901
0.07,0.0055555555555555,0.0,,0.0,
-0.0277777777777777,0.05,10.035502958579881,0.7854431582073733,8.050885451692446,0.7531970975767198
-0.0033333333333333,0.0333333333333333,13.121301775147929,0.7613773475405343,10.338937457969065,0.7295242763706987
0.0088888888888888,0.05,22.597633136094675,0.7044742791955908,19.3499215422551,0.6930494303243451
0.0333333333333333,0.0166666666666666,37.38165680473373,0.6665509867920817,28.310468504819546,0.6540625218753063
-0.0033333333333333,0.0277777777777777,10.449704142011834,0.7468886841305421,7.864380183815288,0.7031428091913049
-0.0033333333333333,0.0388888888888888,15.423076923076923,0.7673797901555879,12.419188522752746,0.73894886962775
-0.0277777777777777,0.0222222222222222,0.45857988165680474,,0.20152432190091907,
0.0333333333333333,0.0277777777777777,31.257396449704142,0.7370225972276199,25.182246133154003,0.7593179392260039
-0.04,0.05,6.612426035502959,0.7641857617996737,5.19188522752746,0.7357054457895074
-0.04,0.0,0.0,,0.0,
0.07,0.0444444444444444,16.14792899408284,1.012568447875217,10.796009863259359,1.064138148760035
0.0211111111111111,0.0055555555555555,21.263313609467456,0.28437020899900756,16.304416050212957,0.2689285440930568
0.07,0.0111111111111111,0.0,,0.0,
-0.04,0.0444444444444444,4.671597633136095,0.7550981150704053,3.5373234700739746,0.7305267506290422
0.0577777777777777,0.05,23.69526627218935,0.8617221115866657,18.78031831427931,0.9216728696930543
-0.0277777777777777,0.0055555555555555,0.0,,0.0,
-0.0155555555555555,0.0055555555555555,0.0,,0.0,
-0.04,0.0166666666666666,0.0029585798816568047,,0.00022416498542927594,
-0.0277777777777777,0.0333333333333333,3.5857988165680474,0.7392277435708591,2.475902264066353,0.6956138773256598
0.0088888888888888,0.0222222222222222,15.899408284023668,0.7009362882214774,12.116789957408653,0.6826601542525821
0.0577777777777777,0.0333333333333333,17.292899408284022,1.108395884884391,9.824254651423448,1.1679696796023267
0.0211111111111111,0.0444444444444444,26.05325443786982,0.6854164696610912,22.12979152656355,0.6705134370302901
-0.0033333333333333,0.0055555555555555,0.0,,0.0,
0.0455555555555555,0.0277777777777777,26.22189349112426,1.0429614470919903,16.34655906747366,1.1361653175439508
0.0455555555555555,0.0444444444444444,27.01775147928994,0.7966890102349286,21.910782335799148,0.8311672623691113
-0.0277777777777777,0.0,0.0,,0.0,
0.0088888888888888,0.0,0.0,,0.0,
0.07,0.05,18.414201183431953,0.9320891888366672,13.65657924232235,1.0073890518639241
-0.04,0.0333333333333333,1.467455621301775,0.6127515012740934,0.8807442277516252,0.794666596291371
0.0577777777777777,0.0111111111111111,0.0,,0.0,
-0.0155555555555555,0.0,0.0,,0.0,
0.0088888888888888,0.0388888888888888,21.22189349112426,0.7208667583714717,17.53822013001569,0.7015531269721009
0.0088888888888888,0.0277777777777777,18.28994082840237,0.7207729481172332,14.489352163192109,0.7011940499777303
-0.0277777777777777,0.0444444444444444,7.979289940828402,0.7681168536117309,6.231114099977583,0.7356879513866476
-0.0155555555555555,0.0333333333333333,7.550295857988166,0.7456822519349849,5.6061421206007624,0.7110672716805645
0.0455555555555555,0.0222222222222222,23.59171597633136,1.2375534452591626,9.842636180228649,1.1455194637637323
0.0333333333333333,0.0444444444444444,28.257396449704142,0.7047149799184333,23.709706343869087,0.7058414126730966
0.0577777777777777,0.0,0.0,,0.0,
0.0455555555555555,0.0,0.0,,0.0,
0.0333333333333333,0.0055555555555555,39.349112426035504,0.23146272687549757,31.79309571844878,0.223198611556229
0.0455555555555555,0.0388888888888888,27.050295857988164,0.8394708430557435,21.087872674288278,0.9031304758736703
0.07,0.0388888888888888,13.079881656804734,1.0690840782604765,7.277964581932302,1.1130976520074258
-0.0277777777777777,0.0277777777777777,1.6923076923076923,0.6330427436117984,1.0103115893297467,0.7016980044026458
-0.0155555555555555,0.0111111111111111,0.014792899408284023,,0.0004483299708585519,
-0.0155555555555555,0.0277777777777777,4.789940828402367,0.7280190678280114,3.299036090562654,0.6808497384671598
-0.0277777777777777,0.0111111111111111,0.0,,0.0,
-0.04,0.0277777777777777,0.44970414201183434,,0.22237166554584173,
0.0577777777777777,0.0055555555555555,0.0,,0.0,
0.0455555555555555,0.05,26.976331360946745,0.7633440745580943,22.475902264066352,0.7842061822524204
-0.04,0.0111111111111111,0.0,,0.0,
0.0333333333333333,0.0,39.0,0.0009586290790444823,32.0,0.000736775886450272
0.07,0.0222222222222222,0.9260355029585798,1.155068559539784,0.14481058058731225,0.44311494311183114
-0.0155555555555555,0.0444444444444444,12.284023668639053,0.7779442820062022,9.822461331540014,0.7476663562152687
0.0333333333333333,0.0111111111111111,40.39349112426036,0.462353881108494,31.125980721811253,0.42221107653678
-0.0155555555555555,0.05,14.085798816568047,0.7767528264283928,11.604797130688187,0.752999508169262
0.0577777777777777,0.0388888888888888,20.488165680473372,0.9930780478450962,13.943286258686394,1.0843522356447277
0.0333333333333333,0.0333333333333333,29.63609467455621,0.7259954798607685,24.40484196368527,0.7382835708719896
-0.0033333333333333,0.0444444444444444,17.106508875739646,0.7545612446139082,14.131809011432415,0.7354300895901376
0.0577777777777777,0.0444444444444444,22.310650887573964,0.9085504228507035,16.887917507285362,0.9943066916479751
0.07,0.0277777777777777,4.387573964497041,1.1992615442133385,1.1932302174400358,1.056769975983994
0.07,0.0,0.0,,0.0,
0.0333333333333333,0.05,27.958579881656803,0.6955774115624944,23.619592019726518,0.6948180450416324
-0.04,0.0055555555555555,0.0,,0.0,
0.0088888888888888,0.0111111111111111,8.2603550295858,0.5625522299478609,5.384667114996637,0.5192397294610676
0.0333333333333333,0.0388888888888888,28.615384615384617,0.7144472986156425,23.943958753642683,0.723013337896594
0.0455555555555555,0.0333333333333333,26.893491124260354,0.913618301237045,19.548531719345437,1.0050518776352222
-0.0033333333333333,0.05,18.571005917159763,0.7381977245651945,15.543151759695135,0.7306102777165552
0.0211111111111111,0.05,25.952662721893493,0.6846774071740216,22.286258686393186,0.6696943156422946
0.0577777777777777,0.0277777777777777,12.70414201183432,1.252272732475875,4.930060524546066,1.1886327935574093
0.0577777777777777,0.0222222222222222,5.866863905325443,1.2883129204598216,1.1237390719569604,0.9254855608848553
0.0455555555555555,0.0111111111111111,1.4437869822485208,0.34762528707669005,0.04438466711499664,0.4036103643924126
-0.0033333333333333,0.0,0.0,,0.0,
0.0211111111111111,0.0222222222222222,26.34319526627219,0.6550471644424808,21.190316072629454,0.6362383159754328
-0.04,0.0388888888888888,2.940828402366864,0.7397945674838692,2.0425913472315624,0.7179510363498686
-0.0277777777777777,0.0388888888888888,5.816568047337278,0.7390569263136458,4.326832548755885,0.7150136873190007
-0.0155555555555555,0.0388888888888888,10.0,0.7759905766770729,7.8128222371665546,0.7369858023453342
0.0455555555555555,0.0055555555555555,0.16272189349112426,0.21870461855896323,8.21631921093925,0.22172827551913346
0.0088888888888888,0.0055555555555555,3.103550295857988,0.46031058495070015,1.0313830979600986,0.4590741251109242
-0.0033333333333333,0.0166666666666666,3.6597633136094676,0.6298516393345643,2.1634162743779424,0.6189710724813007
-0.0277777777777777,0.0166666666666666,0.038461538461538464,,0.0051557946648733465,
0.0211111111111111,0.0388888888888888,26.180473372781066,0.6840848789543242,21.964581932302174,0.6718621375035515
-0.0155555555555555,0.0166666666666666,0.4911242603550296,,0.18717776283344542,
0.0455555555555555,0.0166666666666666,15.097633136094675,1.3648082991768087,1.9502353732347006,0.763221632772544
-0.04,0.0222222222222222,0.0621301775147929,,0.01591571396547859,
-0.0033333333333333,0.0222222222222222,7.215976331360947,0.7076337634790055,5.025554808338938,0.6526127763520639
0.0211111111111111,0.0277777777777777,26.556213017751478,0.6790848219698875,21.716655458417396,0.6609814884480602
-0.0033333333333333,0.0111111111111111,0.6627218934911243,,0.22707913023985654,
0.0333333333333333,0.0222222222222222,33.79289940828402,0.7229872241989332,26.477247253978927,0.7564575679677693
-0.0155555555555555,0.0222222222222222,2.289940828402367,0.6769555234537652,1.3100201748486886,0.6671638353519403
0.07,0.0333333333333333,9.085798816568047,1.1273910902196842,3.7592468056489574,1.1538101281103503
0.0211111111111111,0.0166666666666666,25.319526627218934,0.6060949828313696,20.01232907419861,0.5805215312280532
0.07,0.0166666666666666,0.04437869822485207,,0.0008966599417171038,
0.0211111111111111,0.0,21.0,0.0006899142881305482,16.0,0.00037920269487910557
0.0577777777777777,0.0166666666666666,0.7455621301775148,0.6941741327805175,0.04729881192557722,0.36998862525438725
0.0211111111111111,0.0333333333333333,26.357988165680474,0.6840211059622797,21.856534409325263,0.6682787545740558
0.0088888888888888,0.0333333333333333,19.988165680473372,0.7287872908814861,16.214974221026676,0.7067743927646176
