ou_mean,ou_std,NGF2_V_num_-200_0,NGF2_V_mean_-200_0,NGF2_V_median_-200_0,NGF2_V_num_-200_-70,NGF2_V_mean_-200_-70,NGF2_V_median_-200_-70,NGF2_V_num_-70_-50,NGF2_V_mean_-70_-50,NGF2_V_median_-70_-50,NGF2_V_num_-50_0,NGF2_V_mean_-50_0,NGF2_V_median_-50_0,NGF3_V_num_-200_0,NGF3_V_mean_-200_0,NGF3_V_median_-200_0,NGF3_V_num_-200_-70,NGF3_V_mean_-200_-70,NGF3_V_median_-200_-70,NGF3_V_num_-70_-50,NGF3_V_mean_-70_-50,NGF3_V_median_-70_-50,NGF3_V_num_-50_0,NGF3_V_mean_-50_0,NGF3_V_median_-50_0,NGF4_V_num_-200_0,NGF4_V_mean_-200_0,NGF4_V_median_-200_0,NGF4_V_num_-200_-70,NGF4_V_mean_-200_-70,NGF4_V_median_-200_-70,NGF4_V_num_-70_-50,NGF4_V_mean_-70_-50,NGF4_V_median_-70_-50,NGF4_V_num_-50_0,NGF4_V_mean_-50_0,NGF4_V_median_-50_0,NGF5A_V_num_-200_0,NGF5A_V_mean_-200_0,NGF5A_V_median_-200_0,NGF5A_V_num_-200_-70,NGF5A_V_mean_-200_-70,NGF5A_V_median_-200_-70,NGF5A_V_num_-70_-50,NGF5A_V_mean_-70_-50,NGF5A_V_median_-70_-50,NGF5A_V_num_-50_0,NGF5A_V_mean_-50_0,NGF5A_V_median_-50_0,NGF5B_V_num_-200_0,NGF5B_V_mean_-200_0,NGF5B_V_median_-200_0,NGF5B_V_num_-200_-70,NGF5B_V_mean_-200_-70,NGF5B_V_median_-200_-70,NGF5B_V_num_-70_-50,NGF5B_V_mean_-70_-50,NGF5B_V_median_-70_-50,NGF5B_V_num_-50_0,NGF5B_V_mean_-50_0,NGF5B_V_median_-50_0,NGF6_V_num_-200_0,NGF6_V_mean_-200_0,NGF6_V_median_-200_0,NGF6_V_num_-200_-70,NGF6_V_mean_-200_-70,NGF6_V_median_-200_-70,NGF6_V_num_-70_-50,NGF6_V_mean_-70_-50,NGF6_V_median_-70_-50,NGF6_V_num_-50_0,NGF6_V_mean_-50_0,NGF6_V_median_-50_0
-0.03,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0.001578947368421,0.0094736842105263,312112,-84.7681970527861,-82.75827461735244,216948,-97.85985380380899,-91.91867080989408,67182,-60.88440080267947,-61.29292406222794,27982,-40.60953973214297,-43.180338129666765,312378,-85.14456716863603,-82.97081280079863,218806,-98.06073567412861,-91.96426256135149,66120,-60.9271681326303,-61.349864979646455,27452,-40.52556885331773,-43.03199657885209,312333,-84.8629213635464,-82.8522605369729,216857,-97.99927734514652,-92.17706735982543,67499,-60.96363116711102,-61.445864029048614,27977,-40.70048221236299,-43.23983206035074,312276,-85.3570145275063,-82.96852395000096,219080,-98.2032039170555,-92.10293705045156,66415,-61.04222717863585,-61.55050896536885,26781,-40.56867317777296,-43.21342900223384,312063,-85.05987129761837,-82.91366012864106,217706,-98.14466725391367,-91.91533285583097,66684,-60.84034177832947,-61.19923365715493,27673,-40.482720934558316,-43.05779719288733,312311,-85.31685386937667,-83.15875694546291,219205,-98.20998450721484,-92.22586928707696,66335,-60.80677212040817,-61.20237989165823,26771,-40.47869210293179,-43.07900492273082
-0.0205263157894736,0.0252631578947368,37487,-130.30102661899164,-135.22769790124536,33582,-139.58384564054555,-143.3347223094651,2285,-61.245949141872174,-61.6957094662228,1620,-35.27338689886563,-39.16138225231387,26496,-132.77535860633284,-138.52432783484585,23989,-141.27236758500604,-145.70051576990926,1570,-61.27180252632686,-61.989275710593745,937,-35.04412558201934,-38.91477979830933,32941,-129.5741944249543,-132.94977617769052,29248,-139.46177162282035,-142.3787934243232,2277,-61.136996352151435,-61.542269353503166,1416,-35.393150730452426,-38.93076192606291,28544,-134.5716500470514,-141.3019304423982,26035,-142.60861251893195,-148.1449292028765,1557,-61.23765030841788,-61.85569306407885,952,-34.71736395213835,-38.531027721664955,32202,-132.59755225622806,-137.70328685287143,29021,-141.60046676345075,-145.08983280186982,1875,-61.05035499854869,-61.39586708343549,1306,-35.26019616437457,-38.97203998892343,30354,-130.7629897324567,-134.2149911718322,27420,-139.3963636829186,-141.78775412446865,1734,-60.78127780456174,-61.30568605649883,1200,-34.613968700210435,-37.84207733751237
-0.0078947368421052,0.0268421052631578,236770,-113.48982237922985,-108.1255269471039,196015,-126.36349604040876,-121.63898749219827,25370,-60.89366674399909,-61.3115645638201,15385,-36.20229074255911,-39.85471584660028,235371,-114.62020584892952,-110.04689883275728,196981,-126.87668452652261,-122.89554714525701,23855,-61.051851539623115,-61.55695237661714,14535,-36.43511232691644,-40.25344484762646,237272,-114.04509111223855,-108.96917701858128,197486,-126.6092849369724,-122.34120321166941,24790,-60.99664642486293,-61.48223892511523,14996,-36.278924276325334,-40.05769085366913,234856,-114.82969403546211,-110.10866623389433,196844,-127.04861040281972,-122.81936926910245,23434,-60.961297282104624,-61.42030944788776,14578,-36.432906828852424,-40.04792745007083,236589,-113.4721494528086,-107.9989018547208,196970,-125.89810467060585,-120.92493406126599,24817,-60.97952514958793,-61.433953555194584,14802,-36.12915918686493,-39.79864024246538,235523,-114.58315546270434,-109.94501298560759,196364,-127.13913056173158,-123.19661984695165,24242,-61.022253945585966,-61.49290831339394,14917,-36.34234834549622,-39.92321641300857
0.0173684210526315,0.0,292737,-51.04116820240414,-48.74528039665021,42579,-77.33470599455234,-77.86004338767663,94753,-58.37995844562076,-57.6056230363532,155405,-39.362490311941265,-40.803499936661666,292836,-51.026207041059216,-48.7452803966489,42668,-77.32160555354216,-77.87015968321715,94956,-58.33703154191976,-57.60561911332951,155212,-39.32492933679447,-40.820131509644916,292836,-51.026207041059216,-48.7452803966489,42668,-77.32160555354216,-77.87015968321715,94956,-58.33703154191976,-57.60561911332951,155212,-39.32492933679447,-40.820131509644916,292836,-51.026207041059216,-48.7452803966489,42668,-77.32160555354216,-77.87015968321715,94956,-58.33703154191976,-57.60561911332951,155212,-39.32492933679447,-40.820131509644916,292836,-51.026207041059216,-48.7452803966489,42668,-77.32160555354216,-77.87015968321715,94956,-58.33703154191976,-57.60561911332951,155212,-39.32492933679447,-40.820131509644916,292836,-51.026207041059216,-48.7452803966489,42668,-77.32160555354216,-77.87015968321715,94956,-58.33703154191976,-57.60561911332951,155212,-39.32492933679447,-40.820131509644916
-0.0173684210526315,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
-0.0268421052631578,0.0268421052631578,7580,-134.7635199577554,-142.35653012534874,6891,-143.06648885862444,-148.4981840960097,441,-61.2868644893093,-62.149258073836236,248,-34.712900464595045,-38.157559629985144,4793,-128.61879393074005,-128.9283156472133,4266,-138.03455815708645,-136.74447185574337,347,-60.79072840241887,-61.235706985895554,180,-36.22261920148343,-40.615575379240795,5778,-135.6442067698876,-143.72073753842665,5291,-143.3170037857229,-149.32904186432475,324,-60.73304983311147,-61.175459656666405,163,-35.48743276210318,-39.3824747264093,5162,-135.06311009000473,-140.85951075505272,4649,-144.42155606063966,-149.28892965922793,295,-60.47801579667743,-60.53084903830988,218,-36.417181186562935,-40.755635560200105,5794,-136.36390887109147,-144.5864177360374,5249,-145.31835708493634,-150.1560926214429,322,-60.76136134508455,-61.149153840410435,223,-34.759073126259494,-38.388803241425315,5749,-141.77390660693047,-149.14099678259777,5445,-146.95016251645652,-152.73626789108727,175,-60.796141395104776,-60.85997771712799,129,-33.1413134650716,-35.87231242653483
0.0078947368421052,0.0284210526315789,284849,-89.67415071211349,-82.75784048523758,192492,-108.11277911992609,-97.26154711262022,56116,-60.74641039707458,-61.10634268602867,36241,-36.53049065974363,-40.136314376158694,284561,-90.03241436641069,-82.72351542831625,193440,-108.25934036906843,-97.24501327080193,55716,-60.748636048285576,-61.04799172029986,35405,-36.530322199161716,-40.07893205784851,284793,-90.03448498516673,-83.02800656415856,193512,-108.32492927590224,-97.4939840002258,55515,-60.77347231951973,-61.14466856169521,35766,-36.49214484493787,-40.03051368871389,283683,-89.89618950219966,-82.83879382345026,192765,-108.12724446965478,-97.1322515812954,55434,-60.782187618327534,-61.12884087611431,35484,-36.339551852246956,-39.858374011787646,284112,-89.81110790950365,-82.5922730515399,192564,-108.11249826770589,-96.98415996159667,55843,-60.78124779683659,-61.14375235337145,35705,-36.5111651937722,-40.051487375720136,284196,-90.3551668709126,-83.30050034987894,194958,-108.32729924401247,-97.43768307484335,53731,-60.84232248222363,-61.27920853718933,35507,-36.33606243105115,-39.783983362671
-0.0173684210526315,0.0157894736842105,9673,-150.20087139845242,-159.23339315085278,9351,-153.6077956901337,-160.71623572728052,198,-60.89155792293784,-62.13538525640477,124,-35.8871215326488,-39.27635891884569,6666,-148.52769304061124,-155.58352008537943,6403,-152.50268593772043,-158.57885076033045,157,-60.282104112580434,-60.1148178989329,106,-39.11899437561904,-44.342990726599524,7860,-153.06581887031666,-162.49482286635444,7613,-156.23204111576104,-164.04256720911877,184,-62.178209812528166,-62.47112724745547,63,-35.905026998336346,-39.48869669574355,7355,-151.38174863902861,-162.43188925675696,7053,-155.7118145743818,-164.74223072615794,170,-59.39557320040092,-59.192579517425926,132,-38.485496991458646,-43.399288360862556,7999,-153.77773357412337,-163.40527883247222,7779,-156.64765854807428,-164.58460981267527,147,-60.077859047931156,-59.980105163721575,73,-36.6371196424282,-41.50434443527694,7729,-156.35848868253808,-163.85376225003188,7473,-159.74619201789974,-165.53561034050568,226,-60.57576814891945,-60.29686982028407,30,-34.04474919720073,-37.76260551733321
0.0110526315789473,0.03,283133,-86.34854404958625,-80.23308728964028,182900,-105.82889404074248,-94.77499627497437,59617,-60.77400037612647,-61.13887018164455,40616,-36.16441850295884,-39.68908065526581,283357,-86.71149991297453,-80.23350849133695,183079,-106.25459751316122,-94.91275351730526,60474,-60.74871166253948,-61.12880644406755,39804,-36.26789854407274,-39.79837306800616,283393,-86.69288396004949,-80.51148074296293,183851,-106.08420643162762,-94.96008243007624,59432,-60.738226786721114,-61.1005613450179,40110,-36.26713370832029,-39.802683868394965,282574,-86.67225609528161,-80.27807837592673,183274,-105.979350068161,-94.6254748581523,60229,-60.73051223440141,-61.134176634777255,39071,-36.096559292319114,-39.63479258153636,282756,-86.53101948052922,-80.11134909259212,182823,-105.96927361649826,-94.5690688144759,60132,-60.727885725258616,-61.09111641966115,39801,-36.226607608256245,-39.75131725347148,283090,-87.12644380626905,-80.77960976821203,185424,-106.2055120423911,-94.97625985188749,58512,-60.798819439835825,-61.20891240111631,39154,-36.11670810401787,-39.63652003251623
