ou_mean,ou_std,ITP4_V_num_-200_0,ITP4_V_mean_-200_0,ITP4_V_median_-200_0,ITP4_V_num_-200_-70,ITP4_V_mean_-200_-70,ITP4_V_median_-200_-70,ITP4_V_num_-70_-50,ITP4_V_mean_-70_-50,ITP4_V_median_-70_-50,ITP4_V_num_-50_0,ITP4_V_mean_-50_0,ITP4_V_median_-50_0
0.0123684210526315,0.0147368421052631,316303,-68.95288389875384,-69.8227087062251,155839,-77.37673747789958,-76.32639606359879,145827,-63.19027457942464,-64.1531654754892,14637,-36.677083617912395,-42.07290113708587
-0.0035526315789473,0.0157894736842105,319948,-91.00078019052941,-90.96695411084417,312555,-91.60021427557426,-91.27532039692186,7259,-66.23788572781226,-67.21480354136068,134,-34.26742536725277,-39.255144680259534
0.006578947368421,0.0052631578947368,319996,-72.6464946664593,-72.64037516553438,246223,-74.08182006689199,-73.71878919966689,73773,-67.85598694587402,-68.33052585619966,0,,
0.006578947368421,0.0031578947368421,319996,-72.72376014643267,-72.7159910859699,286860,-73.16036363516382,-73.00218392477603,33136,-68.94406203026239,-69.17648158305839,0,,
0.0036842105263157,0.0073684210526315,319996,-78.46078948418268,-78.43688172123939,304566,-78.99694480240196,-78.74486334787035,15430,-67.87785489903875,-68.40831079341436,0,,
0.0036842105263157,0.0189473684210526,318705,-80.06948801669282,-80.25988477175359,254403,-84.63340421836573,-83.52038819464964,59786,-63.979087764754155,-65.06839315703358,4516,-35.98328252692688,-41.21856444094773
0.0094736842105263,0.0136842105263157,317700,-71.30826703243049,-72.0360239559557,185726,-77.88788407554203,-76.95381236438665,123568,-63.792976352944294,-64.81689107886771,8406,-36.409799715491445,-41.91300882502328
0.0051315789473684,0.0031578947368421,319996,-75.6849416190047,-75.67564936550427,318688,-75.71142035132064,-75.68731749182389,1308,-69.23352400104187,-69.39510661999473,0,,
0.0225,0.0094736842105263,317422,-41.37354816155818,-33.539895875583525,10678,-72.74457360918379,-72.10607543141288,80629,-61.279179072914225,-61.73646375769318,226115,-32.79406018207219,-32.49322924419896
0.0196052631578947,0.0094736842105263,316867,-44.886985517183795,-34.721286570707875,19834,-72.95827272518463,-72.33190918313184,101691,-62.15280485308745,-62.75070340908175,195342,-33.04854655080243,-32.76848022236834
0.0080263157894736,0.0063157894736842,319832,-69.87060400000183,-69.93732514297676,158213,-73.61188320218346,-73.06947511075614,161097,-66.30667276770221,-66.96025344790523,522,-35.80857969924552,-40.871658283093566
-0.0021052631578947,0.0084210526315789,319996,-89.17179831117691,-89.14253260094381,319855,-89.18089738304975,-89.14583693427554,141,-68.53077963107484,-68.96866062148514,0,,
-0.0006578947368421,0.0157894736842105,319860,-86.30997012931493,-86.30953860605933,299800,-87.73665395907933,-87.16832858573471,19652,-65.62101975007616,-66.52963592857644,408,-34.494873779919146,-39.49582142807385
0.0196052631578947,0.0189473684210526,312766,-62.771638202992655,-65.2885048532307,104643,-76.85245047306721,-75.67548944682268,158466,-61.97387783346396,-62.63638529265438,49657,-35.64473678607916,-37.34502270323458
-0.0021052631578947,0.011578947368421,319996,-88.93455931624712,-88.8984928818102,317657,-89.0952414794119,-88.96728328246898,2339,-67.11249266193424,-68.05190486536873,0,,
0.0109210526315789,0.0021052631578947,319910,-63.482559826665,-63.491453970126024,4661,-73.99039276422107,-74.24979683474271,314957,-63.352229036032064,-63.462334899665045,292,-36.33045538634152,-41.78520889385443
0.0138157894736842,0.0157894736842105,315481,-67.45992788861028,-68.94080461814147,144600,-77.38272358157889,-76.31533652334556,147064,-62.81197857493991,-63.690619699554986,23817,-35.91564274196508,-38.26994345377733
0.0210526315789473,0.0147368421052631,312318,-60.90229474802043,-63.55905405473289,71117,-74.6960842436792,-73.7867530123661,193521,-62.005636881325614,-62.70250958985104,47680,-35.85001285745589,-37.16775973553726
-0.0021052631578947,0.0178947368421052,319803,-88.62034165735491,-88.62401734770205,300855,-90.15787009381262,-89.52388357161406,18352,-65.1524066607375,-66.1136872660789,596,-35.11434385105768,-40.18165820405898
0.0022368421052631,0.02,318908,-82.33208496046156,-82.45841905970619,265671,-86.3787489535948,-85.24004778750621,49479,-64.14843902578805,-65.34926109013243,3758,-35.665599458070716,-40.68233771022467
-0.0035526315789473,0.0021052631578947,319996,-91.90389171804851,-91.89496532816429,319996,-91.90389171804851,-91.89496532816429,0,,,0,,
-0.005,0.0042105263157894,319996,-94.07862999213758,-94.06042070336628,319996,-94.07862999213758,-94.06042070336628,0,,,0,,
-0.005,0.0010526315789473,319996,-94.20643098736578,-94.20144573775059,319996,-94.20643098736578,-94.20144573775059,0,,,0,,
-0.0021052631578947,0.0147368421052631,319947,-88.7346333828309,-88.70608995160053,310474,-89.43122369847963,-89.07704271276769,9341,-66.34894026935144,-67.24691457043158,132,-34.428403930507,-39.23346025941885
-0.0035526315789473,0.0105263157894736,319996,-91.39501154316797,-91.35468362788666,319505,-91.43089692798745,-91.36883609382772,491,-68.04356576566302,-68.73414453156005,0,,
0.006578947368421,0.0042105263157894,319996,-72.68812653714907,-72.67904786443877,263669,-73.59773564561551,-73.33362054710673,56327,-68.4302089484219,-68.78321086681571,0,,
-0.0006578947368421,0.0126315789473684,319967,-86.40264819099046,-86.3789029780744,311025,-86.9758519090261,-86.67322437393413,8856,-66.7724776500499,-67.55159133364717,86,-34.82246108099996,-39.87895593171781
0.0210526315789473,0.0031578947368421,313941,-59.20016327764326,-61.253841039301385,660,-70.95876966031449,-70.83565946676441,290384,-60.93121193773067,-61.71864058000802,22897,-36.90774443135836,-42.33234747415784
0.0051315789473684,0.0052631578947368,319996,-75.61501811610363,-75.59940705376447,300452,-76.08260696538295,-75.8774625147351,19544,-68.42672478087711,-68.7976628334394,0,,
-0.0006578947368421,0.0094736842105263,319996,-86.59370458651001,-86.56430658477758,318533,-86.6808024832102,-86.60281983947924,1463,-67.63023614522616,-68.14937487427102,0,,
0.0007894736842105,0.0010526315789473,319996,-84.36042311947317,-84.35695016988018,319996,-84.36042311947317,-84.35695016988018,0,,,0,,
