ou_mean,ou_std,NGF2_r,NGF2_cv,NGF3_r,NGF3_cv,NGF4_r,NGF4_cv,NGF5A_r,NGF5A_cv,NGF5B_r,NGF5B_cv,NGF6_r,NGF6_cv
-0.03,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.001578947368421,0.0094736842105263,29.886363636363637,0.7757459911564321,29.625833333333333,0.8018494546747064,29.714285714285715,0.800944873484102,29.859375,0.7715546922931044,29.927083333333332,0.7902535960530654,29.582236842105264,0.7957887705897595
-0.0205263157894736,0.0252631578947368,3.8295454545454546,1.1403745057129653,3.5975,1.102091383901952,3.642857142857143,1.0786153193358157,3.140625,1.140703783695697,3.796875,1.2068017141287408,3.338815789473684,1.1164735399441685
-0.0078947368421052,0.0268421052631578,40.35227272727273,0.8679875507755149,40.0,0.8832003852788495,40.357142857142854,0.8701089686750966,39.546875,0.8615342916974931,40.557291666666664,0.8808178553273939,39.94736842105263,0.8795881837368071
0.0173684210526315,0.0,121.23863636363636,0.00021320030915392133,121.24916666666667,1.5668521284276134e-05,121.25,5.6235870735753427e-14,121.25,5.623587073575344e-14,121.25,5.623587073575344e-14,121.25,5.623587073575342e-14
-0.0173684210526315,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
-0.0268421052631578,0.0268421052631578,0.7613636363636364,1.0281972263508732,0.6966666666666667,0.9333329774123829,0.7321428571428571,0.8961216222311286,0.609375,1.0804070116605986,0.8020833333333334,0.9281728403698519,0.618421052631579,0.936965426959479
0.0078947368421052,0.0284210526315789,90.85227272727273,0.7166468029564128,90.45333333333333,0.7148088335288443,90.01785714285714,0.7116103527698969,89.6875,0.7262635786115668,91.09375,0.7076126781243306,90.42105263157895,0.717803132040979
-0.0173684210526315,0.0157894736842105,0.3181818181818182,0.7728002791624747,0.2125,0.8751698065769868,0.22321428571428573,,0.25,,0.22916666666666666,1.5534970579450844,0.17434210526315788,0.6907819924242459
0.0110526315789473,0.03,104.69318181818181,0.7043016705027009,103.59416666666667,0.7007261593225335,103.41071428571429,0.6968818805087761,103.015625,0.7205086979842943,104.578125,0.6979660673694207,103.5,0.7005637266637051
0.001578947368421,0.0268421052631578,68.11363636363636,0.7668738082278522,67.21833333333333,0.7664912958712018,67.25892857142857,0.7638347161054551,66.390625,0.7639849554295168,67.88020833333333,0.7561636044923831,67.18092105263158,0.7684781558825752
-0.0236842105263157,0.0094736842105263,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
-0.0173684210526315,0.0189473684210526,1.125,0.9950276015673234,1.1258333333333332,0.9547381235554362,1.2053571428571428,0.9887852931240906,0.9375,1.031226658807806,1.125,0.9610356267064268,1.0263157894736843,0.9698819804811277
0.0268421052631578,0.0157894736842105,196.6590909090909,0.5458729313656143,195.07083333333333,0.5410582627919232,195.04464285714286,0.5357368377935564,194.453125,0.5406305596302527,195.96354166666666,0.5386325443139457,194.86184210526315,0.540127482331393
-0.03,0.0157894736842105,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.03,0.0173684210526315,219.88636363636363,0.5432664215986823,218.395,0.5373489403003648,218.15178571428572,0.5324067334481787,217.953125,0.5335498773891234,219.28645833333334,0.5354232287329829,218.14473684210526,0.5370531496786203
-0.0236842105263157,0.0173684210526315,0.045454545454545456,,0.016666666666666666,,0.026785714285714284,,0.0,,0.057291666666666664,,0.013157894736842105,
0.0236842105263157,0.0268421052631578,159.67045454545453,0.646519669435293,158.4025,0.6383581985216006,158.01785714285714,0.6321814367743414,157.921875,0.6512070856398228,159.296875,0.638536233101862,158.03947368421052,0.637228236564584
-0.0268421052631578,0.0173684210526315,0.022727272727272728,,0.0016666666666666668,,0.008928571428571428,,0.0,,0.015625,,0.006578947368421052,
-0.0110526315789473,0.0252631578947368,29.102272727272727,0.914073893097601,28.219166666666666,0.9460374424736167,28.580357142857142,0.9356938529644454,28.578125,0.893562429997916,28.869791666666668,0.9187673812161773,28.37171052631579,0.9344351513166747
0.0173684210526315,0.001578947368421,120.60227272727273,0.13587333794227352,120.43583333333333,0.13535003750903418,120.35714285714286,0.13626939282075862,120.359375,0.1367758802343617,120.50520833333333,0.13569125151579264,120.41118421052632,0.13558261594108098
-0.0078947368421052,0.0047368421052631,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
-0.03,0.0078947368421052,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
-0.0047368421052631,0.0078947368421052,4.159090909090909,1.0129087126322733,3.8566666666666665,0.9575912306895676,3.7142857142857144,0.9358503460875461,3.75,0.9562868036002476,4.052083333333333,0.9976311063244307,3.7203947368421053,0.9413482990201631
-0.0205263157894736,0.0173684210526315,0.14772727272727273,,0.11416666666666667,,0.14285714285714285,,0.125,,0.14583333333333334,,0.09868421052631579,
-0.0047368421052631,0.03,55.02272727272727,0.8310911509468967,54.52,0.8334146799115186,54.151785714285715,0.8193985864502461,54.09375,0.8076410694605568,54.947916666666664,0.8237928175883091,54.13486842105263,0.8300551063313093
-0.001578947368421,0.0205263157894736,45.89772727272727,0.8012329321676468,45.57083333333333,0.8102953093481342,45.75,0.7985630049877249,45.25,0.773844740876945,45.958333333333336,0.8058127219726904,45.31578947368421,0.8045982489813429
-0.0047368421052631,0.0252631578947368,46.26136363636363,0.8328248719733415,45.73416666666667,0.845253075206942,45.794642857142854,0.8271456195957194,45.578125,0.8126326967519641,46.010416666666664,0.8388301613035484,45.4375,0.8407354239737647
0.0236842105263157,0.0221052631578947,162.2840909090909,0.6192946995949191,160.755,0.6132603317715346,160.53571428571428,0.6097182292824757,160.484375,0.6232564804558345,161.22395833333334,0.6163282282611048,160.57894736842104,0.6127320339115366
0.0236842105263157,0.0189473684210526,165.45454545454547,0.5956576654490711,163.91666666666666,0.5912184074733826,163.59821428571428,0.5896960822287918,163.546875,0.5949017206815186,164.234375,0.594218113792138,163.58552631578948,0.5918619180246207
0.001578947368421,0.0157894736842105,45.84090909090909,0.7623473002978103,45.795,0.7665042422341511,45.892857142857146,0.7596915088811542,45.21875,0.7361162178253287,46.145833333333336,0.7689273691117645,45.463815789473685,0.7666954311283544
0.0205263157894736,0.0189473684210526,143.38636363636363,0.6073666711316416,141.84,0.6024513862188303,141.63392857142858,0.5973304426728332,141.546875,0.6106880804218546,142.25520833333334,0.6025594479496431,141.5,0.6020511643630654
-0.0173684210526315,0.0094736842105263,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
-0.0078947368421052,0.0221052631578947,30.875,0.8849798283683963,30.120833333333334,0.9092254835353574,30.366071428571427,0.9107908725123405,30.234375,0.8765664145965848,30.661458333333332,0.8921156179622015,30.17105263157895,0.907108121060954
-0.0205263157894736,0.0078947368421052,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0.001578947368421,0.0110526315789473,34.19318181818182,0.7728541819872133,33.946666666666665,0.7906343131874423,34.0,0.7748456271975318,33.828125,0.7676147685261732,34.333333333333336,0.795617732603441,33.838815789473685,0.7817048616685679
-0.0142105263157894,0.0284210526315789,27.272727272727273,0.9395012197081023,26.448333333333334,0.9773742712998099,26.892857142857142,0.9655486337410321,26.84375,0.9243527142840697,27.265625,0.9474386138180071,26.388157894736842,0.9735066075419061
