ou_mean,ou_std,IT5B_V_num_-200_0,IT5B_V_mean_-200_0,IT5B_V_median_-200_0,IT5B_V_num_-200_-70,IT5B_V_mean_-200_-70,IT5B_V_median_-200_-70,IT5B_V_num_-70_-50,IT5B_V_mean_-70_-50,IT5B_V_median_-70_-50,IT5B_V_num_-50_0,IT5B_V_mean_-50_0,IT5B_V_median_-50_0,IT6_V_num_-200_0,IT6_V_mean_-200_0,IT6_V_median_-200_0,IT6_V_num_-200_-70,IT6_V_mean_-200_-70,IT6_V_median_-200_-70,IT6_V_num_-70_-50,IT6_V_mean_-70_-50,IT6_V_median_-70_-50,IT6_V_num_-50_0,IT6_V_mean_-50_0,IT6_V_median_-50_0
0.0107894736842105,0.0010526315789473,317352,-67.40116081570739,-66.93409291496826,114214,-74.48742626313783,-74.85488430878962,197764,-64.23642269059341,-64.33961171453956,5374,-33.25909694563496,-37.988311452245796,316354,-68.44566691289111,-68.98932420258049,143700,-74.5509248610284,-74.9619020938359,166250,-64.54772318631404,-64.94489435145812,6404,-32.64110373302088,-37.22084006558711
0.0147368421052631,0.0063157894736842,315168,-66.99733321493045,-68.50251562213636,127188,-73.26167380565428,-72.96565038691826,177838,-64.4219305232303,-65.13520070877965,10142,-33.597166860521504,-38.29736177892708,314504,-67.4141288372492,-68.90052323965907,134352,-73.34282818261813,-73.03048266703327,170836,-64.70289925406529,-65.47788360980118,9316,-31.630853034736628,-35.66796845993926
0.0002631578947368,0.0168421052631578,319509,-81.03126058206448,-81.01436648981644,287758,-82.78866262254792,-82.13028428160652,30969,-65.99026879673782,-67.00222308000075,782,-30.005657301194585,-32.44213424596942,319404,-75.10921784120556,-79.61664405607901,254584,-82.83363817072704,-82.27549763144684,31581,-65.85965081675074,-66.74314065057685,33239,-24.734560090623933,-24.650344982178474
0.0173684210526315,0.0147368421052631,319981,-24.751552465759275,-24.72293855859769,326,-77.28771868776434,-76.05400562141483,246,-63.370402388351565,-64.04108584611161,319409,-24.668189043722542,-24.719936003652265,318678,-31.336944098680796,-23.91118934616069,24757,-75.001030741362,-74.15490751844233,29782,-64.30007978834023,-65.13303694379289,264139,-23.527798534707685,-23.542589321175996
-0.0023684210526315,0.0042105263157894,319996,-84.92358971876645,-84.91596053115752,319996,-84.92358971876645,-84.91596053115752,0,,,0,,,319996,-84.4886382799837,-84.51752940301164,319996,-84.4886382799837,-84.51752940301164,0,,,0,,
0.0094736842105263,0.0168421052631578,318698,-43.39475174204425,-26.563301030671475,79713,-77.7323337697159,-76.87232069552142,40889,-64.57615113351869,-65.47838863490759,198096,-25.205399529532183,-25.194081023160614,317829,-50.1108604258911,-60.44939119082284,110451,-77.84909493281658,-76.97704961265521,57166,-64.793029051378,-65.76957108248573,150212,-24.127339860496804,-24.047790462106377
-0.0036842105263157,0.0147368421052631,319967,-86.65844573595993,-86.62614121286714,314514,-86.99768664936325,-86.7992737539081,5410,-67.40036592416327,-68.16304838688006,43,-28.29089093819654,-31.460163602660103,319963,-86.42964679704293,-86.53868567862597,313542,-86.83044097802603,-86.75490671148872,6370,-67.15610476126916,-68.02561884932658,51,-29.697365896573025,-32.622444119492755
0.0121052631578947,0.0010526315789473,316528,-67.42291281488873,-67.91302179518559,126561,-73.96028819628813,-74.31933060058203,182760,-64.23865130227503,-64.60229667039027,7207,-33.36975177700878,-38.03431985403292,315636,-68.0850258475675,-69.21017384698104,145700,-73.96427528591117,-74.3541119342072,162347,-64.46863919715862,-64.97594851988416,7589,-32.573480237771854,-36.96504517071804
0.0160526315789473,0.0168421052631578,319877,-25.559594723278497,-24.833919061623096,2402,-75.61767302761874,-74.13267440133143,3593,-64.12844185987336,-64.41471946012388,313882,-24.73502570737823,-24.79456846165867,318688,-32.17693848295166,-24.06038490044859,31540,-76.20793978610013,-75.19591089822198,26538,-64.2438519325918,-65.15515926572157,260610,-23.582757406907557,-23.610852258092272
0.0173684210526315,0.0052631578947368,315475,-56.14325419073018,-64.9105551107041,75769,-72.27471918814946,-71.98901391975222,156594,-64.42594162885676,-65.19438073201607,83112,-25.83133619964039,-24.821620526952266,313400,-66.1747895203515,-67.98170753085587,109049,-72.3895837424095,-72.12568425396238,193106,-64.67290836509628,-65.52667089980623,11245,-31.697703459481335,-35.751308817954616
