ou_mean,ou_std,SOM2_V_num_-200_0,SOM2_V_mean_-200_0,SOM2_V_median_-200_0,SOM2_V_num_-200_-70,SOM2_V_mean_-200_-70,SOM2_V_median_-200_-70,SOM2_V_num_-70_-50,SOM2_V_mean_-70_-50,SOM2_V_median_-70_-50,SOM2_V_num_-50_0,SOM2_V_mean_-50_0,SOM2_V_median_-50_0,SOM3_V_num_-200_0,SOM3_V_mean_-200_0,SOM3_V_median_-200_0,SOM3_V_num_-200_-70,SOM3_V_mean_-200_-70,SOM3_V_median_-200_-70,SOM3_V_num_-70_-50,SOM3_V_mean_-70_-50,SOM3_V_median_-70_-50,SOM3_V_num_-50_0,SOM3_V_mean_-50_0,SOM3_V_median_-50_0,SOM4_V_num_-200_0,SOM4_V_mean_-200_0,SOM4_V_median_-200_0,SOM4_V_num_-200_-70,SOM4_V_mean_-200_-70,SOM4_V_median_-200_-70,SOM4_V_num_-70_-50,SOM4_V_mean_-70_-50,SOM4_V_median_-70_-50,SOM4_V_num_-50_0,SOM4_V_mean_-50_0,SOM4_V_median_-50_0,SOM5A_V_num_-200_0,SOM5A_V_mean_-200_0,SOM5A_V_median_-200_0,SOM5A_V_num_-200_-70,SOM5A_V_mean_-200_-70,SOM5A_V_median_-200_-70,SOM5A_V_num_-70_-50,SOM5A_V_mean_-70_-50,SOM5A_V_median_-70_-50,SOM5A_V_num_-50_0,SOM5A_V_mean_-50_0,SOM5A_V_median_-50_0,SOM5B_V_num_-200_0,SOM5B_V_mean_-200_0,SOM5B_V_median_-200_0,SOM5B_V_num_-200_-70,SOM5B_V_mean_-200_-70,SOM5B_V_median_-200_-70,SOM5B_V_num_-70_-50,SOM5B_V_mean_-70_-50,SOM5B_V_median_-70_-50,SOM5B_V_num_-50_0,SOM5B_V_mean_-50_0,SOM5B_V_median_-50_0,SOM6_V_num_-200_0,SOM6_V_mean_-200_0,SOM6_V_median_-200_0,SOM6_V_num_-200_-70,SOM6_V_mean_-200_-70,SOM6_V_median_-200_-70,SOM6_V_num_-70_-50,SOM6_V_mean_-70_-50,SOM6_V_median_-70_-50,SOM6_V_num_-50_0,SOM6_V_mean_-50_0,SOM6_V_median_-50_0
0.03,0.0189473684210526,257754,-47.3960105323362,-51.257229266389466,2019,-74.20463809864992,-72.78607955182491,138874,-56.335596146532055,-55.90404249090797,116861,-36.30931238973755,-41.19311528312781,258301,-47.52342900690563,-51.35271855860336,2640,-75.64696597415052,-74.04572090229084,139570,-56.31839734641172,-55.930825355925634,116091,-36.31015779089068,-41.179044182935684,258103,-47.48062981242466,-51.34532288945567,1884,-74.60634187827817,-73.27399380415011,139939,-56.42726236716944,-55.995794400368254,116280,-36.27416563448781,-41.12623641089202,257729,-47.34137687500035,-51.29394308790469,1734,-75.01600750481828,-73.4836751665569,139298,-56.26563603506711,-55.8989512959392,116697,-36.27751694722942,-41.16209814635264,258360,-47.516955242194825,-51.41678050628124,1793,-73.85892689516821,-72.58844323163405,140826,-56.41957870963494,-55.996495510365705,115741,-36.276755074583484,-41.11197343390436,258208,-47.51330274402063,-51.395455564554474,1786,-75.0319565586138,-73.5868245832925,140410,-56.442374266120446,-56.061785975975454,116012,-36.282746869361986,-41.1332471883543
-0.0236842105263157,0.0284210526315789,10638,-174.22016255816615,-180.8478033407045,10638,-174.22016255816615,-180.8478033407045,0,,,0,,,6978,-170.58536487987055,-179.69755945079157,6918,-171.64040400053315,-179.9752852335067,22,-58.61400236207259,-57.68768786320483,38,-43.33824221270583,-42.7870508525905,7777,-171.42368531121377,-177.765701180507,7707,-172.5118503530736,-177.98819766224526,31,-59.25679944958391,-58.1698236906625,39,-45.54382592907929,-45.834700232992766,6878,-180.5019006426391,-183.78848566568297,6878,-180.5019006426391,-183.78848566568297,0,,,0,,,5441,-175.92167116559162,-180.96571981390875,5441,-175.92167116559162,-180.96571981390875,0,,,0,,,3733,-177.61602424430066,-181.11069595599696,3733,-177.61602424430066,-181.11069595599696,0,,,0,,
0.001578947368421,0.0236842105263157,307750,-84.86627557926587,-77.95886292534291,185337,-105.00800653387468,-98.87903168594437,89602,-60.5243314858789,-60.57416697103336,32811,-37.56746983489159,-41.42182943119637,308048,-85.70533186718204,-79.23027075413862,191199,-104.45441437891425,-97.6111870857132,88018,-60.76346468739192,-60.85458460258459,28831,-37.51163197019862,-41.20683982198469,308058,-86.00574729720715,-78.94313491415808,188407,-105.91934983975742,-99.45856474381132,88411,-60.564047780654214,-60.69479223446463,31240,-37.90920381845188,-41.70420115846973,307807,-82.80344451872593,-75.9396693456694,179140,-102.88166088258895,-96.20674477762657,95998,-60.61097074736313,-60.64224376760171,32669,-37.917510381803005,-41.64332386839678,308395,-88.03745097796708,-81.1001995289943,193782,-107.6894348521713,-101.16557692495394,85292,-60.6886991693728,-60.83954208109773,29321,-37.71273490919704,-41.598464784537434,308372,-86.62516074342592,-80.13515622317334,193969,-105.24994868746099,-99.0174728480996,85948,-60.72118840337863,-60.907939082210916,28455,-37.90834900439408,-41.6975490715088
-0.0236842105263157,0.0047368421052631,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
-0.0047368421052631,0.0,319996,-112.16444659667289,-112.1644465719601,319996,-112.16444659667289,-112.1644465719601,0,,,0,,,319996,-112.16444647311118,-112.16444632483746,319996,-112.16444647311118,-112.16444632483746,0,,,0,,,319996,-112.1644468190832,-112.1644470167815,319996,-112.1644468190832,-112.1644470167815,0,,,0,,,319996,-112.16444662138484,-112.1644470167815,319996,-112.16444662138484,-112.1644470167815,0,,,0,,,319996,-112.16444701678152,-112.1644470167815,319996,-112.16444701678152,-112.1644470167815,0,,,0,,,319996,-112.16444662138481,-112.1644470167815,319996,-112.16444662138481,-112.1644470167815,0,,,0,,
0.0173684210526315,0.001578947368421,270966,-49.59484558704149,-53.39127285750431,0,,,171289,-56.89718183808529,-57.59596742522005,99677,-37.04621476844701,-41.79194028848162,271013,-49.59894974256156,-53.39078594220712,0,,,171342,-56.90178748709594,-57.60296662074916,99671,-37.044818402211725,-41.794860319241174,271011,-49.60636767779952,-53.395877859896785,0,,,171342,-56.911908406456575,-57.61546927213709,99669,-37.04733769325511,-41.782953257866616,271035,-49.58797722389205,-53.39508386647614,0,,,171354,-56.902832265585964,-57.599095044713486,99681,-37.013568150804716,-41.752386385254326,271030,-49.60767850994706,-53.39194028280303,0,,,171393,-56.906534675135454,-57.60576922288852,99637,-37.052374208130125,-41.793192106452906,271032,-49.603835001803915,-53.38986797004402,0,,,171347,-56.90738122122338,-57.60528728831186,99685,-37.04988271150083,-41.795678785469185
-0.0236842105263157,0.0110526315789473,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
-0.0047368421052631,0.0110526315789473,319732,-111.50504560715821,-111.05188553446084,301925,-114.48199533414964,-112.79872340796923,16405,-62.79726523367569,-63.664155470661974,1402,-40.34640844958004,-42.549229232940704,319745,-114.15208039726285,-113.54049584923813,306794,-116.37243280826188,-115.01645899731687,12052,-63.23147878332034,-64.36826450382661,899,-39.07342975341913,-41.502685272523195,319812,-114.30557805517392,-113.88115988766026,306045,-116.68687122238161,-115.29750637181093,12735,-63.11690172157892,-64.12865726434127,1032,-39.7948471930274,-41.94238971196714,319538,-111.92963477421993,-111.60787024284357,305666,-114.18045265772406,-113.04619498476403,13184,-63.51682034763158,-64.14641201353288,688,-39.65644614192621,-41.67932467990559,319743,-115.70751152935668,-115.01535789814714,308231,-117.71358238585029,-116.33025147920966,10922,-63.27960663741255,-64.08608152145939,590,-38.223360786840594,-40.02575815062902,319703,-115.56470697292951,-114.91272279022324,310027,-117.2221968793258,-115.89012805722886,9036,-63.94613906286942,-64.91246926063859,640,-41.43776388697495,-43.23012610030101
-0.0047368421052631,0.0142105263157894,317934,-113.14073489141525,-111.91635476972944,290207,-118.22930643208491,-115.4668301325969,24465,-62.705727190179275,-63.5856106489677,3262,-38.69358047927688,-41.60360826972851,317199,-115.54978575001886,-114.53408379954047,294389,-119.86730902397323,-117.74331202201894,19933,-62.78873967004608,-63.72153343975546,2877,-39.308761216107875,-41.84866675849684,317940,-116.27652477453786,-115.35531763247394,294957,-120.66412092862727,-118.30819075275829,20535,-62.55732431752788,-63.45597077188048,2448,-38.24204052737916,-40.99370784945384,317587,-112.84320414228465,-112.07721498855841,294545,-117.01331940184262,-115.09768643243426,20026,-62.52191081955275,-63.326688270880815,3016,-39.71575750917513,-42.2706499928733,317317,-117.49970690568942,-116.42004696229507,295765,-121.66895467487207,-119.45440354699255,19250,-62.83314217940984,-63.703930015771675,2302,-38.965304007585715,-41.19740303843776,317155,-117.09365883655849,-116.20926345954817,298641,-120.61743555393667,-118.4562077548013,16750,-62.423835966699244,-63.109806696292566,1764,-39.64203208803108,-41.8192796983799
-0.0142105263157894,0.0126315789473684,72770,-181.07558149319547,-184.83461698023717,72770,-181.07558149319547,-184.83461698023717,0,,,0,,,61017,-182.47245399926783,-186.26629759936995,61017,-182.47245399926783,-186.26629759936995,0,,,0,,,60802,-181.87318073517125,-186.00628212957028,60802,-181.87318073517125,-186.00628212957028,0,,,0,,,63625,-183.46537773392137,-187.2746973081526,63625,-183.46537773392137,-187.2746973081526,0,,,0,,,56614,-183.49671797623384,-186.8593846022709,56614,-183.49671797623384,-186.8593846022709,0,,,0,,,51141,-185.14759784169328,-188.57482838858303,51141,-185.14759784169328,-188.57482838858303,0,,,0,,
