pop_name,ou_mean_min,ou_mean_max
IT2,-0.01,0.03
IT3,-0.01,0.03
ITS4,-0.01,0.02
ITP4,-0.02,0.04
IT5A,-0.02,0.02
CT5A,-0.02,0.05
IT5B,-0.02,0.02
CT5B,-0.02,0.05
PT5B,-0.02,0.02
IT6,-0.02,0.04
CT6,-0.01,0.05
