ou_mean,ou_std,TI_V_num_-200_0,TI_V_mean_-200_0,TI_V_median_-200_0,TI_V_num_-200_-70,TI_V_mean_-200_-70,TI_V_median_-200_-70,TI_V_num_-70_-50,TI_V_mean_-70_-50,TI_V_median_-70_-50,TI_V_num_-50_0,TI_V_mean_-50_0,TI_V_median_-50_0,TIM_V_num_-200_0,TIM_V_mean_-200_0,TIM_V_median_-200_0,TIM_V_num_-200_-70,TIM_V_mean_-200_-70,TIM_V_median_-200_-70,TIM_V_num_-70_-50,TIM_V_mean_-70_-50,TIM_V_median_-70_-50,TIM_V_num_-50_0,TIM_V_mean_-50_0,TIM_V_median_-50_0
-0.0032105263157894,0.0110526315789473,319474,-91.68566000868702,-90.14603786687304,265450,-97.85318414810472,-95.16514810482525,52054,-62.282902844263354,-62.84029770055305,1970,-37.55461362720874,-43.447460629559146,319619,-92.93460684890535,-92.85724782242404,275792,-97.91536070322938,-96.48708710925555,42379,-62.428273275580516,-62.99104032428286,1448,-37.116819219210406,-43.36428797317861
0.0083947368421052,0.0,316560,-56.01654907851047,-57.34717733468757,0,,,304060,-56.761067006434104,-57.38119949802775,12500,-37.9062993853541,-44.03298842788828,316560,-56.01654907851047,-57.34717733468757,0,,,304060,-56.761067006434104,-57.38119949802775,12500,-37.9062993853541,-44.03298842788828
0.0001052631578947,0.0055263157894736,319358,-71.78920864883408,-71.26698012622853,175789,-79.34543671515004,-78.01583252348678,141165,-62.96255514226387,-63.72329108433666,2404,-37.55991027336177,-43.82164470937735,319393,-71.63603109566881,-71.43570522686358,176113,-79.10348263109405,-78.01779954197738,141095,-62.84159105906889,-63.517062937751376,2185,-37.64803324931767,-43.84263439656699
0.02,0.0039473684210526,315055,-55.902571151655394,-56.684484237357076,0,,,295285,-57.10317550601815,-56.89604272354562,19770,-37.9703275108863,-44.54450473404533,315021,-55.92643581074924,-56.71727893292154,0,,,295200,-57.12633787210474,-56.937604248080476,19821,-38.0559404516777,-44.53354208189968
-0.0065263157894736,0.0039473684210526,319996,-110.26799629824083,-110.28426884608723,319996,-110.26799629824083,-110.28426884608723,0,,,0,,,319996,-110.4944731783968,-110.61653876817678,319996,-110.4944731783968,-110.61653876817678,0,,,0,,
-0.0081842105263157,0.0094736842105263,319996,-122.04467799272399,-122.08075691244973,319730,-122.0903764651795,-122.09513407558464,266,-67.11545769869039,-67.45084836183463,0,,,319996,-122.57069220738599,-122.86037274254555,319992,-122.57135020003966,-122.86047496778355,4,-69.93259590083545,-69.93789320154386,0,,
0.0083947368421052,0.0110526315789473,316577,-63.49952359355343,-62.71672206553871,76675,-76.52430300566866,-74.97967839082983,226500,-60.61992953024969,-60.33131751253614,13402,-37.64913513767805,-43.79977523707983,316624,-63.25911048097595,-62.575919265080245,72456,-76.15063085046255,-74.88010033033143,230889,-60.69273265904479,-60.47922745940916,13279,-37.540337157407976,-43.71459532197435
0.0017631578947368,0.0023684210526315,318890,-60.8174629693904,-60.66515937145704,9870,-71.65643871022219,-71.33288796700432,305064,-60.765203874752046,-60.549573363595755,3956,-37.80474251558318,-44.03581661971726,318898,-60.944106002774014,-60.78025155108458,11004,-72.39043388365636,-71.77952075065227,303938,-60.83154756251874,-60.637494623922095,3956,-37.75285100102633,-43.913158212119995
0.0001052631578947,0.0047368421052631,319485,-71.25711468895699,-70.99078488174044,172297,-78.38026631082793,-77.29195872039004,145327,-63.23984094186384,-63.893580299494126,1861,-37.84963852039193,-44.074155504404345,319545,-70.92970680381387,-70.62426325193023,167513,-78.03480716864001,-77.05022432774922,150441,-63.36853167417575,-64.10341452747426,1591,-37.81472896897237,-43.89935839348283
0.0117105263157894,0.0118421052631578,316070,-62.26285702482383,-61.62659676065697,61021,-76.00072316146908,-74.79339384494736,239505,-60.366607603667916,-60.01329546243386,15544,-37.54997025756441,-43.672592402273544,316089,-62.13752787128712,-61.5339029702871,58743,-75.56924427050146,-74.2746708957664,241729,-60.45777018260157,-60.095519779523315,15617,-37.61468929084359,-43.79720054998591
