ou_mean,ou_std,CT5A_r,CT5A_cv
0.04,0.0063157894736842,3.348189415041783,0.23955576901794376
0.0242105263157894,0.0,15.0,8.012351324266654e-06
0.0163157894736842,0.0063157894736842,6.671309192200557,0.3944858368080122
0.04,0.0031578947368421,14.434540389972145,0.10119808465876631
0.0242105263157894,0.0178947368421052,0.0,
-0.0047368421052631,0.0147368421052631,0.5264623955431755,
0.0294736842105263,0.0031578947368421,20.044568245125348,0.11050375620111157
0.0242105263157894,0.0052631578947368,15.005571030640668,0.22013709774291484
0.0084210526315789,0.0147368421052631,2.5710306406685235,0.5695871239666007
0.0057894736842105,0.0168421052631578,1.9108635097493036,0.5773819723498423
0.0031578947368421,0.02,1.0083565459610029,0.6026374362633131
0.021578947368421,0.0136842105263157,0.1615598885793872,0.5251716369950774
0.0294736842105263,0.0147368421052631,0.0,
0.0321052631578947,0.0042105263157894,22.30640668523677,0.13848808653844086
0.021578947368421,0.0189473684210526,0.0,
-0.0047368421052631,0.0031578947368421,0.0,
0.021578947368421,0.0126315789473684,0.9972144846796658,0.4696667539563411
-0.0047368421052631,0.0094736842105263,0.019498607242339833,
0.0189473684210526,0.0168421052631578,0.06128133704735376,0.5663864026759344
0.0163157894736842,0.02,0.027855153203342618,0.30245011434362573
0.0084210526315789,0.0189473684210526,0.5125348189415042,0.6145891180492037
0.0057894736842105,0.0178947368421052,1.4373259052924792,0.557505946605667
0.0373684210526315,0.0126315789473684,0.0,
-0.0047368421052631,0.0136842105263157,0.3398328690807799,
0.0347368421052631,0.0147368421052631,0.0,
-0.0047368421052631,0.0073684210526315,0.0,
0.04,0.0157894736842105,0.0,
0.0057894736842105,0.0147368421052631,2.543175487465181,0.5276229297240433
0.0268421052631578,0.0,18.0,0.0004388060273039748
0.0294736842105263,0.0178947368421052,0.0,
-0.0073684210526315,0.0063157894736842,0.0,
0.04,0.0189473684210526,0.0,
0.04,0.0105263157894736,0.0,
0.0321052631578947,0.0094736842105263,0.8245125348189415,0.3152487440099453
0.0268421052631578,0.0021052631578947,17.610027855153202,0.0807294698493273
0.0136842105263157,0.0136842105263157,2.551532033426184,0.5090325105021668
-0.0021052631578947,0.0052631578947368,0.0,
0.0005263157894736,0.0168421052631578,1.8245125348189415,0.5678756764673527
0.0031578947368421,0.0157894736842105,2.1782729805013927,0.5845651001986891
0.0136842105263157,0.0105263157894736,5.270194986072424,0.4736896762115345
0.0268421052631578,0.0084210526315789,8.665738161559888,0.3042003700990805
-0.0021052631578947,0.0094736842105263,0.03899721448467967,
0.0189473684210526,0.0105263157894736,5.724233983286908,0.41999610645105867
0.0347368421052631,0.0126315789473684,0.0,
-0.0021052631578947,0.02,1.5988857938718664,0.6581002914554315
0.0163157894736842,0.0042105263157894,5.211699164345404,0.3548896593372242
0.021578947368421,0.0073684210526315,12.130919220055711,0.31952675438419215
0.0242105263157894,0.0105263157894736,3.0807799442896937,0.39904298133520444
0.0189473684210526,0.0094736842105263,7.729805013927576,0.3990544989900908
0.0373684210526315,0.0063157894736842,7.582172701949861,0.22693647098474676
0.0031578947368421,0.0168421052631578,2.002785515320334,0.5672649807751804
-0.0021052631578947,0.0073684210526315,0.005571030640668524,
0.0136842105263157,0.0084210526315789,5.203342618384401,0.4525614831499025
0.0242105263157894,0.0094736842105263,6.401114206128134,0.3622562579637298
0.0136842105263157,0.011578947368421,4.646239554317549,0.48403067007972717
0.021578947368421,0.0105263157894736,4.729805013927576,0.40078382312813454
0.0294736842105263,0.0052631578947368,19.807799442896936,0.18290797431819858
0.0373684210526315,0.0105263157894736,0.0,
0.0057894736842105,0.0126315789473684,2.3036211699164344,0.5153373852197372
0.0268421052631578,0.0157894736842105,0.0,
0.021578947368421,0.0031578947368421,12.153203342618385,0.16762702828394507
0.0110526315789473,0.0157894736842105,1.2952646239554317,0.5629254270242051
-0.0073684210526315,0.0157894736842105,0.46518105849582175,
0.0242105263157894,0.0126315789473684,0.4568245125348189,0.481539280442304
0.0268421052631578,0.0052631578947368,17.596100278551532,0.19735293976837465
0.0242105263157894,0.02,0.0,
0.0136842105263157,0.0052631578947368,2.629526462395543,0.4160231350230029
0.0110526315789473,0.0126315789473684,3.598885793871866,0.5045637209274553
0.021578947368421,0.0052631578947368,12.364902506963789,0.251509045817546
0.0005263157894736,0.011578947368421,0.48467966573816157,
0.0189473684210526,0.0157894736842105,0.07799442896935933,0.49572117268201377
0.0031578947368421,0.0052631578947368,0.0,
0.0057894736842105,0.0157894736842105,2.183844011142061,0.5627288467027893
0.0268421052631578,0.0147368421052631,0.0,
0.0294736842105263,0.0168421052631578,0.0,
0.0189473684210526,0.0084210526315789,9.573816155988858,0.37615852627526636
-0.0047368421052631,0.0010526315789473,0.0,
0.021578947368421,0.011578947368421,2.3565459610027855,0.42681395500721786
0.0005263157894736,0.0189473684210526,1.607242339832869,0.5946019846482952
0.0136842105263157,0.0178947368421052,0.22841225626740946,0.5629804805494567
0.0373684210526315,0.0010526315789473,27.328690807799443,0.0332297223667495
0.021578947368421,0.0084210526315789,10.462395543175488,0.34334593584530243
-0.0047368421052631,0.0042105263157894,0.0,
-0.0047368421052631,0.0,0.0,
-0.01,0.0136842105263157,0.0807799442896936,
0.0189473684210526,0.02,0.0,
0.0189473684210526,0.0042105263157894,9.052924791086351,0.28115891545101834
-0.0021052631578947,0.0126315789473684,0.3816155988857939,
0.0057894736842105,0.011578947368421,1.916434540389972,0.4745917632595237
0.0163157894736842,0.0,0.0,
-0.0073684210526315,0.0084210526315789,0.0,
0.0242105263157894,0.0189473684210526,0.0,
0.0005263157894736,0.0031578947368421,0.0,
0.0242105263157894,0.0136842105263157,0.06406685236768803,0.3613396871456933
0.0347368421052631,0.0073684210526315,5.103064066852368,0.2763055419260095
-0.01,0.0042105263157894,0.0,
0.0347368421052631,0.0136842105263157,0.0,
0.0242105263157894,0.0147368421052631,0.011142061281337047,
0.0347368421052631,0.0052631578947368,20.26740947075209,0.1762271473665636
0.0057894736842105,0.0136842105263157,2.5069637883008355,0.5461680550722818
0.0084210526315789,0.0042105263157894,0.013927576601671309,
0.0268421052631578,0.0105263157894736,1.3036211699164346,0.37659110452182487
0.0110526315789473,0.0094736842105263,3.682451253481894,0.4714583825703439
0.0110526315789473,0.0147368421052631,2.1420612813370474,0.542415966727233
0.0163157894736842,0.0157894736842105,0.43454038997214484,0.4894497904921446
0.0242105263157894,0.0084210526315789,10.493036211699165,0.3219324431522833
-0.01,0.0105263157894736,0.008356545961002786,
0.021578947368421,0.0021052631578947,12.178272980501394,0.11275098411377653
-0.0021052631578947,0.0,0.0,
0.0321052631578947,0.0136842105263157,0.0,
0.0057894736842105,0.0021052631578947,0.0,
0.0373684210526315,0.02,0.0,
0.021578947368421,0.0147368421052631,0.06406685236768803,0.5957104635553583
0.0321052631578947,0.0189473684210526,0.0,
-0.01,0.0063157894736842,0.0,
0.0057894736842105,0.0084210526315789,0.479108635097493,
-0.0073684210526315,0.0021052631578947,0.0,
-0.0047368421052631,0.0021052631578947,0.0,
0.0268421052631578,0.0168421052631578,0.0,
0.0163157894736842,0.0189473684210526,0.03899721448467967,0.29836068560494705
-0.01,0.0189473684210526,0.7994428969359332,
0.04,0.0010526315789473,13.749303621169917,0.032458979148998
0.0268421052631578,0.0178947368421052,0.0,
0.0373684210526315,0.0094736842105263,0.0,
0.0294736842105263,0.02,0.0,
0.0163157894736842,0.0178947368421052,0.07242339832869081,0.3862431135823002
0.0373684210526315,0.0157894736842105,0.0,
0.0189473684210526,0.0010526315789473,8.481894150417828,0.10595026968559434
-0.01,0.0010526315789473,0.0,
0.0005263157894736,0.0147368421052631,1.4540389972144847,0.51015457720546
-0.0021052631578947,0.0084210526315789,0.019498607242339833,
0.0347368421052631,0.0189473684210526,0.0,
-0.0021052631578947,0.0063157894736842,0.0,
-0.0073684210526315,0.0073684210526315,0.0,
0.0294736842105263,0.0010526315789473,20.11699164345404,0.036698203926808975
0.0373684210526315,0.0084210526315789,0.116991643454039,0.38437433652462216
-0.0021052631578947,0.0031578947368421,0.0,
0.04,0.02,0.0,
0.0163157894736842,0.0084210526315789,7.403899721448468,0.4257402389603847
0.0110526315789473,0.0136842105263157,2.902506963788301,0.521000485818299
-0.0047368421052631,0.0168421052631578,1.011142061281337,
0.04,0.0094736842105263,0.0,
0.0031578947368421,0.0126315789473684,1.4401114206128134,0.45159927455674226
-0.0047368421052631,0.0189473684210526,1.3983286908077994,0.5854294432216215
0.04,0.0,0.0,
0.0005263157894736,0.0010526315789473,0.0,
0.0242105263157894,0.0010526315789473,15.027855153203342,0.04626715165126366
0.0189473684210526,0.0178947368421052,0.03899721448467967,0.6366259695898699
0.0057894736842105,0.0063157894736842,0.06128133704735376,
0.0321052631578947,0.0073684210526315,10.061281337047355,0.2608005512661107
0.0373684210526315,0.0168421052631578,0.0,
0.0321052631578947,0.0147368421052631,0.0,
